# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = luz do estadio do maracana e cortada por divida de r 3 milhoes empresa responsavel pelo abastecimento de energia no rio confirmou informacao a globonews o abastecimento de energia eletrica do estadio do maracana na zona norte do rio foi cortado na manha desta quintafeira 26 por falta de pagamento de acordo com a globonews ja sao 5 meses de atraso num total de r 3 milhoes em divida em setembro e outubro o comite rio 2016 ainda era o responsavel pela gestao do estadio
1	luz	luz	NOUN	NOUN	_	26	nsubj	_	TokenRange=0:3
2-3	do	_	_	_	_	_	_	_	TokenRange=4:6
2	de	de	ADP	ADP	_	4	case	_	_
3	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	4	det	_	_
4	estadio	estadio	NOUN	NOUN	_	1	nmod	_	TokenRange=7:14
5-6	do	_	_	_	_	_	_	_	TokenRange=15:17
5	de	de	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	maracana	maracana	NOUN	NOUN	_	4	nmod	_	TokenRange=18:26
8	e	e	CCONJ	CONJ	_	9	cc	_	TokenRange=27:28
9	cortada	cortar	VERB	VERB	_	1	conj	_	TokenRange=29:36
10	por	por	ADP	ADP	_	11	case	_	TokenRange=37:40
11	divida	divida	NOUN	NOUN	_	9	nmod	_	TokenRange=41:47
12	de	de	ADP	ADP	_	13	case	_	TokenRange=48:50
13	r	r	NOUN	NOUN	_	11	nmod	_	TokenRange=51:52
14	3	_	NUM	NUM	NumType=Card	15	nummod	_	TokenRange=53:54
15	milhoes	_	NUM	NUM	NumType=Card	13	nummod	_	TokenRange=55:62
16	empresa	empresa	NOUN	NOUN	_	1	appos	_	TokenRange=63:70
17	responsavel	responsavel	ADJ	ADJ	_	16	amod	_	TokenRange=71:82
18-19	pelo	_	_	_	_	_	_	_	TokenRange=83:87
18	por	por	ADP	ADP	_	20	case	_	_
19	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	20	det	_	_
20	abastecimento	abastecimento	NOUN	NOUN	_	17	nmod	_	TokenRange=88:101
21	de	de	ADP	ADP	_	22	case	_	TokenRange=102:104
22	energia	energia	NOUN	NOUN	_	20	nmod	_	TokenRange=105:112
23-24	no	_	_	_	_	_	_	_	TokenRange=113:115
23	em	em	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	rio	rio	NOUN	NOUN	_	20	nmod	_	TokenRange=116:119
26	confirmou	confirmar	VERB	VERB	_	0	root	_	TokenRange=120:129
27	informacao	informacao	NOUN	NOUN	_	26	obj	_	TokenRange=130:140
28	a	_	ADP	ADP	_	29	case	_	TokenRange=141:142
29	globonews	_	NOUN	NOUN	_	26	iobj	_	TokenRange=143:152
30	o	o	DET	DET	_	31	det	_	TokenRange=153:154
31	abastecimento	abastecimento	NOUN	NOUN	_	49	nsubj:pass	_	TokenRange=155:168
32	de	de	ADP	ADP	_	33	case	_	TokenRange=169:171
33	energia	energia	NOUN	NOUN	_	31	nmod	_	TokenRange=172:179
34	eletrica	eletrico	ADJ	ADJ	_	33	amod	_	TokenRange=180:188
35-36	do	_	_	_	_	_	_	_	TokenRange=189:191
35	de	de	ADP	ADP	_	37	case	_	_
36	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	37	det	_	_
37	estadio	estadio	NOUN	NOUN	_	31	nmod	_	TokenRange=192:199
38-39	do	_	_	_	_	_	_	_	TokenRange=200:202
38	de	de	ADP	ADP	_	40	case	_	_
39	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	40	det	_	_
40	maracana	maracana	NOUN	NOUN	_	37	nmod	_	TokenRange=203:211
41-42	na	_	_	_	_	_	_	_	TokenRange=212:214
41	em	em	ADP	ADP	_	43	case	_	_
42	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	43	det	_	_
43	zona	zona	NOUN	NOUN	_	49	nmod	_	TokenRange=215:219
44	norte	norte	ADJ	ADJ	_	43	amod	_	TokenRange=220:225
45-46	do	_	_	_	_	_	_	_	TokenRange=226:228
45	de	de	ADP	ADP	_	47	case	_	_
46	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	47	det	_	_
47	rio	rio	NOUN	NOUN	_	43	nmod	_	TokenRange=229:232
48	foi	_	AUX	AUX	_	49	aux:pass	_	TokenRange=233:236
49	cortado	cortar	VERB	VERB	_	26	ccomp	_	TokenRange=237:244
50-51	na	_	_	_	_	_	_	_	TokenRange=245:247
50	em	em	ADP	ADP	_	52	case	_	_
51	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	52	det	_	_
52	manha	manha	NOUN	NOUN	_	49	nmod	_	TokenRange=248:253
53	desta	_	ADP	ADP	_	54	case	_	TokenRange=254:259
54	quintafeira	quintafeira	NOUN	NOUN	_	52	nmod	_	TokenRange=260:271
55	26	_	NUM	NUM	NumType=Card	54	appos	_	TokenRange=272:274
56	por	por	ADP	ADP	_	57	case	_	TokenRange=275:278
57	falta	_	NOUN	NOUN	_	49	nmod	_	TokenRange=279:284
58	de	de	ADP	ADP	_	59	case	_	TokenRange=285:287
59	pagamento	pagamento	NOUN	NOUN	_	57	nmod	_	TokenRange=288:297
60	de	de	ADP	ADP	_	61	case	_	TokenRange=298:300
61	acordo	acordo	NOUN	NOUN	_	49	nmod	_	TokenRange=301:307
62	com	com	ADP	ADP	_	64	case	_	TokenRange=308:311
63	a	o	DET	DET	_	64	det	_	TokenRange=312:313
64	globonews	_	NOUN	NOUN	_	61	nmod	_	TokenRange=314:323
65	ja	ja	ADV	ADV	_	66	advmod	_	TokenRange=324:326
66	sao	_	VERB	VERB	_	49	parataxis	_	TokenRange=327:330
67	5	_	NUM	NUM	NumType=Card	68	nummod	_	TokenRange=331:332
68	meses	mês	NOUN	NOUN	_	66	nsubj	_	TokenRange=333:338
69	de	de	ADP	ADP	_	70	case	_	TokenRange=339:341
70	atraso	atraso	NOUN	NOUN	_	68	nmod	_	TokenRange=342:348
71-72	num	_	_	_	_	_	_	_	TokenRange=349:352
71	em	em	ADP	ADP	_	73	case	_	_
72	um	um	DET	DET	_	73	det	_	_
