# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = exaerotrem e agora bigodao fidelix diz que nao teme clausula de barreira com otimismo e ataques aos adversarios o empresario levy fidelix 65 lancou no ulitmo dia 26 de novembro sua precandidatura a presidencia fundador do prtb e com varias eleicoes no curriculo ele diz estar preparado para fazer o pais voltar a crescer nas campanhas desde 1996 e nas presidenciais de 2010 e 2014 ficou conhecido por ter como vitrine o aerotrem especie de veiculo leve sobre trilhos que segundo ele foi copiado por outros partidos ao longo dos anos no lancamento de sua precandidatura na assembleia de sp apresentou seu novo jingle bigodao e a solucao mesmo sem nunca ter sido eleito para cargos publicos ele ja se lancou a vereador prefeito governador e presidente nao se ve como um outsider outsiders sao esses que entram de repente mesmo sem sequer ter partido e se acham preparados tenho 23 anos no partido e ao contrario dos
1	exaerotrem	exaerotrar	VERB	VERB	_	0	root	_	TokenRange=0:10
2	e	e	CCONJ	CONJ	_	4	cc	_	TokenRange=11:12
3	agora	agora	ADV	ADV	_	4	advmod	_	TokenRange=13:18
4	bigodao	bigodao	ADJ	ADJ	_	1	conj	_	TokenRange=19:26
5	fidelix	_	NOUN	NOUN	_	1	nsubj	_	TokenRange=27:34
6	diz	dizer	VERB	VERB	_	1	conj	_	TokenRange=35:38
7	que	que	CCONJ	CONJ	_	9	mark	_	TokenRange=39:42
8	nao	nao	ADV	ADV	Polarity=Neg	9	advmod	_	TokenRange=43:46
9	teme	temer	VERB	VERB	_	6	ccomp	_	TokenRange=47:51
10	clausula	clausula	NOUN	NOUN	_	9	obj	_	TokenRange=52:60
11	de	de	ADP	ADP	_	12	case	_	TokenRange=61:63
12	barreira	barreira	NOUN	NOUN	_	10	nmod	_	TokenRange=64:72
13	com	com	ADP	ADP	_	14	case	_	TokenRange=73:76
14	otimismo	otimismo	NOUN	NOUN	_	9	nmod	_	TokenRange=77:85
15	e	e	CCONJ	CONJ	_	16	cc	_	TokenRange=86:87
16	ataques	ataque	NOUN	NOUN	_	14	conj	_	TokenRange=88:95
17-18	aos	_	_	_	_	_	_	_	TokenRange=96:99
17	a	a	ADP	ADP	_	19	case	_	_
18	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	19	det	_	_
19	adversarios	adversario	NOUN	NOUN	_	16	nmod	_	TokenRange=100:111
20	o	o	DET	DET	_	21	det	_	TokenRange=112:113
21	empresario	empresario	NOUN	NOUN	_	25	nsubj	_	TokenRange=114:124
22	levy	levy	NOUN	NOUN	_	21	appos	_	TokenRange=125:129
23	fidelix	_	NOUN	NOUN	_	21	appos	_	TokenRange=130:137
24	65	_	NUM	NUM	NumType=Card	21	appos	_	TokenRange=138:140
25	lancou	lancar	VERB	VERB	_	6	parataxis	_	TokenRange=141:147
26-27	no	_	_	_	_	_	_	_	TokenRange=148:150
26	em	em	ADP	ADP	_	28	case	_	_
