# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na proxima tercafeira dia 19 o empresario marcelo odebrecht vai ficar frente a frente com o juiz de execucao penal da 12 vara federal de curitiba danilo pereira junior e indicara ao magistrado o endereco onde vai cumprir sua prisao domiciliar a formalidade e o ultimo passo para que o empreiteiro herdeiro de uma das maiores construtoras do pais volte para casa exatos 914 dias depois de ser preso na 14 fase da operacao lava jato a foto publicada pelo estado nesta quartafeira 13 e pelo portal wwwestadaocom como sendo da casa do empresario marcelo odebrecht em sao paulo nao e a foto da casa dele o estado errou ao afirmar que odebrecht cumpriria sua prisao domiciliar nesse imovel da imagem publicada a partir da semana que vem odebrecht pagou us 200 milhoes a politicos latinoamericanos em andorra diz jornal espanhol marcelo vai trocar a cela mal iluminada de 12 metros quadrados nos fundos da superintendencia da policia federal na capital paranaense que dividia com outros
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	4	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
3	proxima	proximo	ADJ	ADJ	_	4	amod	_	TokenRange=3:10
4	tercafeira	_	NOUN	NOUN	_	12	nmod	_	TokenRange=11:21
5	dia	dia	NOUN	NOUN	_	4	nmod	_	TokenRange=22:25
6	19	_	NUM	NUM	NumType=Card	5	appos	_	TokenRange=26:28
7	o	o	DET	DET	_	8	det	_	TokenRange=29:30
8	empresario	empresario	NOUN	NOUN	_	12	nsubj	_	TokenRange=31:41
9	marcelo	marcelo	NOUN	NOUN	_	8	appos	_	TokenRange=42:49
10	odebrecht	_	PROPN	PNOUN	_	9	flat	_	TokenRange=50:59
11	vai	ir	AUX	AUX	_	12	aux	_	TokenRange=60:63
12	ficar	ficar	VERB	VERB	_	0	root	_	TokenRange=64:69
13	frente	frente	NOUN	NOUN	_	12	advmod	_	TokenRange=70:76
14	a	_	ADP	ADP	_	15	case	_	TokenRange=77:78
15	frente	frente	NOUN	NOUN	_	13	nmod	_	TokenRange=79:85
16	com	com	ADP	ADP	_	18	case	_	TokenRange=86:89
17	o	o	DET	DET	_	18	det	_	TokenRange=90:91
18	juiz	juiz	NOUN	NOUN	_	12	nmod	_	TokenRange=92:96
19	de	de	ADP	ADP	_	20	case	_	TokenRange=97:99
20	execucao	execucao	NOUN	NOUN	_	18	nmod	_	TokenRange=100:108
21	penal	penal	ADJ	ADJ	_	20	amod	_	TokenRange=109:114
22-23	da	_	_	_	_	_	_	_	TokenRange=115:117
22	de	de	ADP	ADP	_	25	case	_	_
23	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	25	det	_	_
24	12	_	NUM	NUM	NumType=Card	25	nummod	_	TokenRange=118:120
25	vara	vara	NOUN	NOUN	_	18	nmod	_	TokenRange=121:125
26	federal	federal	ADJ	ADJ	_	25	amod	_	TokenRange=126:133
27	de	de	ADP	ADP	_	28	case	_	TokenRange=134:136
