# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja as medidas anunciadas pelo governo para incentivar a economia objetivo e ampliar a oferta do credito reduzir o custo de empresas e desburocratizar o comercio exterior o governo federal anunciou nesta quintafeira 15 um pacote de medidas microeconomicas para reduzir custos das empresas aliviar dividas de pessoas fisicas e juridicas e reduzir a burocracia do comercio exterior o ministro da fazenda henrique meirelles disse que o pacote e um
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	as	o	DET	DET	_	3	det	_	TokenRange=5:7
3	medidas	medida	NOUN	NOUN	_	1	obj	_	TokenRange=8:15
4	anunciadas	anunciar	VERB	VERB	_	3	acl	_	TokenRange=16:26
5-6	pelo	_	_	_	_	_	_	_	TokenRange=27:31
5	por	por	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	governo	governo	NOUN	NOUN	_	4	nmod	_	TokenRange=32:39
8	para	_	ADP	ADP	_	9	mark	_	TokenRange=40:44
9	incentivar	incentivar	VERB	VERB	_	4	advcl	_	TokenRange=45:55
10	a	o	DET	DET	_	11	det	_	TokenRange=56:57
11	economia	economia	NOUN	NOUN	_	9	obj	_	TokenRange=58:66
12	objetivo	objetivo	NOUN	NOUN	_	11	amod	_	TokenRange=67:75
13	e	e	CCONJ	CONJ	_	14	cc	_	TokenRange=76:77
14	ampliar	ampliar	VERB	VERB	_	9	conj	_	TokenRange=78:85
15	a	o	DET	DET	_	16	det	_	TokenRange=86:87
16	oferta	oferta	NOUN	NOUN	_	14	obj	_	TokenRange=88:94
17-18	do	_	_	_	_	_	_	_	TokenRange=95:97
17	de	de	ADP	ADP	_	19	case	_	_
18	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	19	det	_	_
19	credito	credito	NOUN	NOUN	_	16	nmod	_	TokenRange=98:105
20	reduzir	reduzir	VERB	VERB	_	14	xcomp	_	TokenRange=106:113
21	o	o	DET	DET	_	22	det	_	TokenRange=114:115
22	custo	custo	NOUN	NOUN	_	20	obj	_	TokenRange=116:121
23	de	de	ADP	ADP	_	24	case	_	TokenRange=122:124
24	empresas	empresa	NOUN	NOUN	_	22	nmod	_	TokenRange=125:133
