# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = intervencao federal na seguranca do rio o que se sabe e o que falta ser definido onda de violencia fez temer e pezao tomarem a decisao no fim da noite de quinta 15 as forcas armadas e a cupula de seguranca do rj se reunem na manha desta sextafeira para tracar plano de acao sim o decreto foi assinado em cerimonia no planalto na tarde desta sextafeira 16 e passou a vigorar assim que foi publicado no diario oficial da uniao ate 31 de dezembro de 2018 ultimo dia de pezao no governo do estado do rio de janeiro o general walter souza braga netto do comando militar do leste ele foi um dos responsaveis pela coordenacao da seguranca durante a olimpiada do rio em 2016 e tambem ocupou o servico de inteligencia do exercito tem um perfil combatente e e considerado parceiro pelas forcas auxiliares de seguranca do estado o general braga netto passa a exercer todas as funcoes da area de seguranca ele comanda agora as policias civil e militar o corpo de bombeiros e a secretaria que administra os presidios do rj ele responde diretamente ao presidente da republica roberto sa sera afastado das funcoes a
1	intervencao	intervencao	NOUN	NOUN	_	22	nsubj	_	TokenRange=0:11
2	federal	federal	ADJ	ADJ	_	1	amod	_	TokenRange=12:19
3-4	na	_	_	_	_	_	_	_	TokenRange=20:22
3	em	em	ADP	ADP	_	5	case	_	_
4	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	5	det	_	_
5	seguranca	_	NOUN	NOUN	_	1	nmod	_	TokenRange=23:32
6-7	do	_	_	_	_	_	_	_	TokenRange=33:35
6	de	de	ADP	ADP	_	8	case	_	_
7	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	_
8	rio	rio	NOUN	NOUN	_	5	nmod	_	TokenRange=36:39
9	o	_	PRON	PRON	_	1	appos	_	TokenRange=40:41
10	que	_	PRON	PRON	_	12	nsubj	_	TokenRange=42:45
11	se	_	PRON	PRON	_	12	obj	_	TokenRange=46:48
12	sabe	saber	VERB	VERB	_	9	acl:relcl	_	TokenRange=49:53
13	e	e	CCONJ	CONJ	_	14	cc	_	TokenRange=54:55
14	o	_	PRON	PRON	_	9	conj	_	TokenRange=56:57
15	que	_	PRON	PRON	_	16	nsubj	_	TokenRange=58:61
16	falta	faltar	VERB	VERB	_	14	acl:relcl	_	TokenRange=62:67
17	ser	ser	AUX	AUX	_	18	aux:pass	_	TokenRange=68:71
18	definido	definir	VERB	VERB	_	16	xcomp	_	TokenRange=72:80
19	onda	onda	NOUN	NOUN	_	18	nsubj:pass	_	TokenRange=81:85
20	de	de	ADP	ADP	_	21	case	_	TokenRange=86:88
21	violencia	violencia	NOUN	NOUN	_	19	nmod	_	TokenRange=89:98
22	fez	fazer	VERB	VERB	_	0	root	_	TokenRange=99:102
23	temer	temer	NOUN	NOUN	_	22	obj	_	TokenRange=103:108
