# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = no mesmo bau de arquivos da familia de luiz inacio da silva em que a defesa do petista informou ter localizado os 26 recibos alguns com erros de datas que comprovariam os pagamentos do aluguel do apartamento 121 do edificio hill house que a operacao lava jato afirma ser propriedade oculta do expresidente a policia federal apreendeu um controle de contas mensais 2 sem 2011 que nao registra despesas com a locacao do imovel a forcatarefa da acusa lula de ter recebido o apartamento comprado por r 504 mil em 2010 como propina da odebrecht em operacao de lavagem de dinheiro feita pelo advogado roberto teixera e pelo pecuarista jose carlos bumlai amigos do petista para isso usaram como laranja o primo de bumlai glaucos da costamarques a compra do apartamento 121 que e vizinho ao 122 em que lula reside e e dono em sao bernardo do campo e objeto do segundo processo criminal em que o petista sera julgado pelo juiz federal sergio moro da lava jato em curitiba a sentenca deve sair antes do final do ano o expresidente foi condenado a 9 anos e 6 meses de prisao em junho outras do
1-2	no	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	4	case	_	_
2	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	4	det	_	_
3	mesmo	mesmo	ADJ	ADJ	_	4	amod	_	TokenRange=3:8
4	bau	bau	NOUN	NOUN	_	65	nmod	_	TokenRange=9:12
5	de	de	ADP	ADP	_	6	case	_	TokenRange=13:15
6	arquivos	arquivo	NOUN	NOUN	_	4	nmod	_	TokenRange=16:24
7-8	da	_	_	_	_	_	_	_	TokenRange=25:27
7	de	de	ADP	ADP	_	9	case	_	_
8	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	9	det	_	_
9	familia	familia	NOUN	NOUN	_	4	nmod	_	TokenRange=28:35
10	de	de	ADP	ADP	_	11	case	_	TokenRange=36:38
11	luiz	luiz	NOUN	NOUN	_	9	nmod	_	TokenRange=39:43
12	inacio	_	NOUN	NOUN	_	11	flat	_	TokenRange=44:50
13-14	da	_	_	_	_	_	_	_	TokenRange=51:53
13	de	de	ADP	ADP	_	15	case	_	_
14	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	15	det	_	_
15	silva	silva	NOUN	NOUN	_	11	nmod	_	TokenRange=54:59
16	em	em	ADP	ADP	_	17	case	_	TokenRange=60:62
17	que	_	PRON	PRON	_	23	nmod	_	TokenRange=63:66
18	a	o	DET	DET	_	19	det	_	TokenRange=67:68
19	defesa	_	NOUN	NOUN	_	23	nsubj	_	TokenRange=69:75
20-21	do	_	_	_	_	_	_	_	TokenRange=76:78
20	de	de	ADP	ADP	_	22	case	_	_
21	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	22	det	_	_
22	petista	petista	NOUN	NOUN	_	19	nmod	_	TokenRange=79:86
23	informou	informar	VERB	VERB	_	4	acl:relcl	_	TokenRange=87:95
24	ter	ter	AUX	AUX	_	25	aux	_	TokenRange=96:99
25	localizado	localizar	VERB	VERB	_	23	xcomp	_	TokenRange=100:110
26	os	o	DET	DET	_	28	det	_	TokenRange=111:113
27	26	_	NUM	NUM	NumType=Card	28	nummod	_	TokenRange=114:116
28	recibos	recibo	NOUN	NOUN	_	25	obj	_	TokenRange=117:124
29	alguns	_	PRON	PRON	_	28	appos	_	TokenRange=125:131
30	com	com	ADP	ADP	_	31	case	_	TokenRange=132:135
31	erros	erro	NOUN	NOUN	_	29	nmod	_	TokenRange=136:141
32	de	de	ADP	ADP	_	33	case	_	TokenRange=142:144
33	datas	data	NOUN	NOUN	_	31	nmod	_	TokenRange=145:150
34	que	_	PRON	PRON	_	35	nsubj	_	TokenRange=151:154
35	comprovariam	comprovar	VERB	VERB	_	67	acl:relcl	_	TokenRange=155:167
36	os	o	DET	DET	_	37	det	_	TokenRange=168:170
37	pagamentos	pagamento	NOUN	NOUN	_	35	obj	_	TokenRange=171:181
38-39	do	_	_	_	_	_	_	_	TokenRange=182:184
38	de	de	ADP	ADP	_	40	case	_	_
39	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	40	det	_	_
40	aluguel	aluguel	NOUN	NOUN	_	37	nmod	_	TokenRange=185:192
41-42	do	_	_	_	_	_	_	_	TokenRange=193:195
41	de	de	ADP	ADP	_	43	case	_	_
42	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	43	det	_	_
43	apartamento	apartamento	NOUN	NOUN	_	40	nmod	_	TokenRange=196:207
44	121	_	NUM	NUM	NumType=Card	43	appos	_	TokenRange=208:211
45-46	do	_	_	_	_	_	_	_	TokenRange=212:214
45	de	de	ADP	ADP	_	47	case	_	_
46	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	47	det	_	_
47	edificio	edificio	NOUN	NOUN	_	43	nmod	_	TokenRange=215:223
48	hill	_	NOUN	NOUN	_	47	appos	_	TokenRange=224:228
49	house	house	NOUN	NOUN	_	48	flat	_	TokenRange=229:234
50	que	_	CCONJ	CONJ	_	55	mark	_	TokenRange=235:238
