# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = prefeituras e outros orgaos publicos devem r 679 milhoes ao fgts dividas da administracao publica e menos de 1 do total de debitos que pode ser cobrado segundo dados da fazenda nacional veja lista dos 20 maiores devedores os orgaos publicos e demais empregadores da administracao publica devem aproximadamente r 679 milhoes ao fundo de garantia por tempo de servico fgts no entanto eles sao minoria entre os que fazem parte da lista devedores do fundo a maioria das dividas e de empresas privadas e o que aponta levantamento feito pelo g1 com dados da a procuradoria geral da fazenda nacional pgfn a lista de empregadores que devem ao fgts e aberta e pode ser consultada neste link da pgfn muitos trabalhadores so descobriram que seus empregadores nao
1	prefeituras	prefeitura	NOUN	NOUN	_	6	nsubj	_	TokenRange=0:11
2	e	e	CCONJ	CONJ	_	4	cc	_	TokenRange=12:13
3	outros	_	DET	DET	_	4	det	_	TokenRange=14:20
4	orgaos	orgao	NOUN	NOUN	_	1	conj	_	TokenRange=21:27
5	publicos	publico	ADJ	ADJ	_	4	amod	_	TokenRange=28:36
6	devem	_	VERB	VERB	_	0	root	_	TokenRange=37:42
7	r	r	NOUN	NOUN	_	6	obj	_	TokenRange=43:44
8	679	_	NUM	NUM	NumType=Card	9	nummod	_	TokenRange=45:48
9	milhoes	_	NUM	NUM	NumType=Card	7	appos	_	TokenRange=49:56
10-11	ao	_	_	_	_	_	_	_	TokenRange=57:59
10	a	a	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	fgts	_	NOUN	NOUN	_	6	iobj	_	TokenRange=60:64
13	dividas	divida	NOUN	NOUN	_	12	appos	_	TokenRange=65:72
14-15	da	_	_	_	_	_	_	_	TokenRange=73:75
14	de	de	ADP	ADP	_	16	case	_	_
15	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
16	administracao	administracao	NOUN	NOUN	_	13	nmod	_	TokenRange=76:89
17	publica	publico	ADJ	ADJ	_	16	amod	_	TokenRange=90:97
18	e	e	CCONJ	CONJ	_	21	cc	_	TokenRange=98:99
19	menos	menos	ADV	ADV	_	21	advmod	_	TokenRange=100:105
20	de	de	ADP	ADP	_	19	case	_	TokenRange=106:108
21	1	_	NUM	NUM	NumType=Card	7	conj	_	TokenRange=109:110
22-23	do	_	_	_	_	_	_	_	TokenRange=111:113
22	de	de	ADP	ADP	_	24	case	_	_
23	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	24	det	_	_
24	total	total	NOUN	NOUN	_	21	nmod	_	TokenRange=114:119
25	de	de	ADP	ADP	_	26	case	_	TokenRange=120:122
26	debitos	debito	NOUN	NOUN	_	24	nmod	_	TokenRange=123:130
27	que	_	PRON	PRON	_	30	nsubj:pass	_	TokenRange=131:134
28	pode	_	AUX	AUX	_	30	aux	_	TokenRange=135:139
29	ser	ser	AUX	AUX	_	30	aux:pass	_	TokenRange=140:143
30	cobrado	cobrar	VERB	VERB	_	26	acl:relcl	_	TokenRange=144:151
31	segundo	_	ADP	ADP	_	32	case	_	TokenRange=152:159
32	dados	dado	NOUN	NOUN	_	30	nmod	_	TokenRange=160:165
33-34	da	_	_	_	_	_	_	_	TokenRange=166:168
33	de	de	ADP	ADP	_	35	case	_	_
34	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	35	det	_	_
35	fazenda	fazenda	NOUN	NOUN	_	32	nmod	_	TokenRange=169:176
36	nacional	nacional	ADJ	ADJ	_	35	amod	_	TokenRange=177:185
37	veja	ver	VERB	VERB	_	6	parataxis	_	TokenRange=186:190
38	lista	lista	NOUN	NOUN	_	37	obj	_	TokenRange=191:196
39-40	dos	_	_	_	_	_	_	_	TokenRange=197:200
39	de	de	ADP	ADP	_	43	case	_	_
40	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	43	det	_	_
41	20	_	NUM	NUM	NumType=Card	43	nummod	_	TokenRange=201:203
42	maiores	maior	ADJ	ADJ	_	43	amod	_	TokenRange=204:211
43	devedores	devedor	NOUN	NOUN	_	38	nmod	_	TokenRange=212:221
44	os	o	DET	DET	_	45	det	_	TokenRange=222:224
45	orgaos	orgao	NOUN	NOUN	_	54	nsubj	_	TokenRange=225:231
46	publicos	publico	ADJ	ADJ	_	45	amod	_	TokenRange=232:240
47	e	e	CCONJ	CONJ	_	49	cc	_	TokenRange=241:242
48	demais	_	DET	DET	_	49	det	_	TokenRange=243:249
49	empregadores	empregador	NOUN	NOUN	_	45	conj	_	TokenRange=250:262
50-51	da	_	_	_	_	_	_	_	TokenRange=263:265
50	de	de	ADP	ADP	_	52	case	_	_
51	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	52	det	_	_
52	administracao	administracao	NOUN	NOUN	_	49	nmod	_	TokenRange=266:279
53	publica	publico	ADJ	ADJ	_	52	amod	_	TokenRange=280:287
54	devem	_	VERB	VERB	_	6	conj	_	TokenRange=288:293
55	aproximadamente	aproximadamente	ADV	ADV	_	58	advmod	_	TokenRange=294:309
56	r	r	NOUN	NOUN	_	54	obj	_	TokenRange=310:311
57	679	_	NUM	NUM	NumType=Card	58	nummod	_	TokenRange=312:315
58	milhoes	_	NUM	NUM	NumType=Card	56	nummod	_	TokenRange=316:323
59-60	ao	_	_	_	_	_	_	_	TokenRange=324:326
59	a	a	ADP	ADP	_	61	case	_	_
60	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	61	det	_	_
61	fundo	fundo	NOUN	NOUN	_	54	iobj	_	TokenRange=327:332
62	de	de	ADP	ADP	_	63	case	_	TokenRange=333:335
63	garantia	garantia	NOUN	NOUN	_	61	nmod	_	TokenRange=336:344
64	por	por	ADP	ADP	_	65	case	_	TokenRange=345:348
65	tempo	tempo	NOUN	NOUN	_	63	nmod	_	TokenRange=349:354
66	de	de	ADP	ADP	_	67	case	_	TokenRange=355:357
67	servico	servico	NOUN	NOUN	_	65	nmod	_	TokenRange=358:365
68	fgts	_	NOUN	NOUN	_	54	parataxis	_	TokenRange=366:370
69-70	no	_	_	_	_	_	_	_	TokenRange=371:373
69	em	em	ADP	ADP	_	71	case	_	_
70	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	71	det	_	_
71	entanto	entanto	ADV	ADV	_	74	nmod	_	TokenRange=374:381
72	eles	_	PRON	PRON	_	74	nsubj	_	TokenRange=382:386
73	sao	ser	AUX	AUX	_	74	cop	_	TokenRange=387:390
74	minoria	minoria	NOUN	NOUN	_	54	conj	_	TokenRange=391:398
75	entre	_	ADP	ADP	_	76	case	_	TokenRange=399:404
76	os	_	PRON	PRON	_	74	nmod	_	TokenRange=405:407
77	que	_	PRON	PRON	_	78	nsubj	_	TokenRange=408:411
