# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = rupturas na oferta de petroleo e reducao da demanda criaram novo paradigma diz parente em palestra no rio pedro parente diz que projecoes indicam que havera queda brusca no consumo de derivados do petroleo a partir de 2040 o presidente da petrobras pedro parente disse nesta tercafeira 1 que o mercado de petroleo no mundo vive um novo paradigma segundo ele as previsoes dos analistas apontam que em duas decadas havera queda significativa de combustiveis fosseis esse mercado esta sofrendo ataque dos dois lados do lado da oferta representado pela industria que nao e nada tradicional e do lado da demanda representado pelo crescente interesse em se reduzir o consumo de combustiveis fosseis disse segundo o executivo as projecoes do mercado petroleiro apontam que havera um pico de consumo dos derivados de petroleo entre 2030 e 2040 que sera seguido por uma queda brusca da demanda ha um declinio da participacao do petroleo no consumo de energia no longo prazo apontou parente palestrou na sede da fundacao
1	rupturas	ruptura	NOUN	NOUN	_	12	nsubj	_	TokenRange=0:8
2-3	na	_	_	_	_	_	_	_	TokenRange=9:11
2	em	em	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	oferta	oferta	NOUN	NOUN	_	1	nmod	_	TokenRange=12:18
5	de	de	ADP	ADP	_	6	case	_	TokenRange=19:21
6	petroleo	petroleo	NOUN	NOUN	_	4	nmod	_	TokenRange=22:30
7	e	e	CCONJ	CONJ	_	8	cc	_	TokenRange=31:32
8	reducao	reducao	NOUN	NOUN	_	1	conj	_	TokenRange=33:40
9-10	da	_	_	_	_	_	_	_	TokenRange=41:43
9	de	de	ADP	ADP	_	11	case	_	_
10	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	11	det	_	_
11	demanda	demanda	NOUN	NOUN	_	8	nmod	_	TokenRange=44:51
12	criaram	criar	VERB	VERB	_	0	root	_	TokenRange=52:59
13	novo	novo	ADJ	ADJ	_	14	amod	_	TokenRange=60:64
14	paradigma	_	NOUN	NOUN	_	12	obj	_	TokenRange=65:74
15	diz	dizer	VERB	VERB	_	12	parataxis	_	TokenRange=75:78
16	parente	parente	NOUN	NOUN	_	15	nsubj	_	TokenRange=79:86
17	em	em	ADP	ADP	_	18	case	_	TokenRange=87:89
18	palestra	palestra	NOUN	NOUN	_	12	nmod	_	TokenRange=90:98
19-20	no	_	_	_	_	_	_	_	TokenRange=99:101
19	em	em	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	rio	rio	NOUN	NOUN	_	18	nmod	_	TokenRange=102:105
22	pedro	pedro	NOUN	NOUN	_	24	nsubj	_	TokenRange=106:111
23	parente	parente	ADJ	ADJ	_	22	amod	_	TokenRange=112:119
24	diz	dizer	VERB	VERB	_	12	parataxis	_	TokenRange=120:123
25	que	que	CCONJ	CONJ	_	27	mark	_	TokenRange=124:127
26	projecoes	projecoe	NOUN	NOUN	_	27	nsubj	_	TokenRange=128:137
27	indicam	indicar	VERB	VERB	_	24	ccomp	_	TokenRange=138:145
28	que	que	CCONJ	CONJ	_	29	mark	_	TokenRange=146:149
29	havera	haver	VERB	VERB	_	27	ccomp	_	TokenRange=150:156
30	queda	queda	NOUN	NOUN	_	29	obj	_	TokenRange=157:162
31	brusca	brusco	ADJ	ADJ	_	30	amod	_	TokenRange=163:169
32-33	no	_	_	_	_	_	_	_	TokenRange=170:172
32	em	em	ADP	ADP	_	34	case	_	_
33	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	34	det	_	_
34	consumo	consumo	NOUN	NOUN	_	30	nmod	_	TokenRange=173:180
35	de	de	ADP	ADP	_	36	case	_	TokenRange=181:183
36	derivados	derivado	NOUN	NOUN	_	34	nmod	_	TokenRange=184:193
37-38	do	_	_	_	_	_	_	_	TokenRange=194:196
37	de	de	ADP	ADP	_	39	case	_	_
38	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	39	det	_	_
39	petroleo	petroleo	NOUN	NOUN	_	36	nmod	_	TokenRange=197:205
40	a	_	ADP	ADP	_	41	mark	_	TokenRange=206:207
41	partir	partir	VERB	VERB	_	29	nmod	_	TokenRange=208:214
42	de	de	ADP	ADP	_	43	case	_	TokenRange=215:217
43	2040	_	NUM	NUM	NumType=Card	41	nmod	_	TokenRange=218:222
44	o	o	DET	DET	_	45	det	_	TokenRange=223:224
45	presidente	presidente	NOUN	NOUN	_	51	nsubj	_	TokenRange=225:235
46-47	da	_	_	_	_	_	_	_	TokenRange=236:238
46	de	de	ADP	ADP	_	48	case	_	_
47	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	48	det	_	_
48	petrobras	petrobra	NOUN	NOUN	_	45	nmod	_	TokenRange=239:248
