# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = lista de janot deve ser entregue nesta terca ao gabinete de fachin 83 pedidos de abertura de inquerito foram enviados ao stf na semana passada com base nas delacoes da odebrecht area tecnica da corte digitalizou todo material antes de envialo a fachin um semana depois de terem sido protocolados no supremo tribunal federal stf os 83 pedidos para investigar politicos citados nas delacoes da odebrecht devem ser encaminhados nesta tercafeira 21 ao gabinete do ministro edson fachin relator da lava jato na corte antes de ser encaminhado para o relator o material teve de passar por um processo de protocolo na secretaria judiciaria da corte a area tecnica do stf rotulou o nome de fachin nas pastas emitiu certidoes e digitalizou o material fachin assumiu
1	lista	lista	NOUN	NOUN	_	6	nsubj:pass	_	TokenRange=0:5
2	de	de	ADP	ADP	_	3	case	_	TokenRange=6:8
3	janot	_	NOUN	NOUN	_	1	nmod	_	TokenRange=9:14
4	deve	dever	AUX	AUX	_	6	aux	_	TokenRange=15:19
5	ser	ser	AUX	AUX	_	6	aux:pass	_	TokenRange=20:23
6	entregue	entregar	VERB	VERB	_	0	root	_	TokenRange=24:32
7	nesta	_	ADP	ADP	_	8	case	_	TokenRange=33:38
8	terca	_	PROPN	PNOUN	_	6	nmod	_	TokenRange=39:44
9-10	ao	_	_	_	_	_	_	_	TokenRange=45:47
9	a	a	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	gabinete	gabinete	NOUN	NOUN	_	6	iobj	_	TokenRange=48:56
12	de	de	ADP	ADP	_	13	case	_	TokenRange=57:59
13	fachin	_	NOUN	NOUN	_	11	nmod	_	TokenRange=60:66
14	83	_	NUM	NUM	NumType=Card	15	nummod	_	TokenRange=67:69
15	pedidos	pedido	NOUN	NOUN	_	21	nsubj:pass	_	TokenRange=70:77
16	de	de	ADP	ADP	_	17	case	_	TokenRange=78:80
17	abertura	abertura	NOUN	NOUN	_	15	nmod	_	TokenRange=81:89
18	de	de	ADP	ADP	_	19	case	_	TokenRange=90:92
19	inquerito	inquerito	NOUN	NOUN	_	17	nmod	_	TokenRange=93:102
20	foram	_	AUX	AUX	_	21	aux:pass	_	TokenRange=103:108
21	enviados	enviar	VERB	VERB	_	6	parataxis	_	TokenRange=109:117
22-23	ao	_	_	_	_	_	_	_	TokenRange=118:120
22	a	a	ADP	ADP	_	24	case	_	_
23	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	24	det	_	_
24	stf	stf	NOUN	NOUN	_	21	iobj	_	TokenRange=121:124
25-26	na	_	_	_	_	_	_	_	TokenRange=125:127
25	em	em	ADP	ADP	_	27	case	_	_
26	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	27	det	_	_
27	semana	semana	NOUN	NOUN	_	21	nmod	_	TokenRange=128:134
28	passada	passado	ADJ	ADJ	_	27	amod	_	TokenRange=135:142
29	com	com	ADP	ADP	_	30	case	_	TokenRange=143:146
