# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba como o mundo politico reagiu a nova denuncia da pgr contra temer presidente foi denunciado pelos crimes de obstrucao de justica e organizacao criminosa alem dele politicos do pmdb tambem foram denunciados stf encaminhara denuncia a camara o procuradorgeral da republica rodrigo janot ofereceu nesta quintafeira 14 nova denuncia contra o presidente michel temer pelos crimes de obstrucao de justica e organizacao criminosa leia tambem pgr diz que grupo do pmdb atuou em estatais e ministerios tambem foram denunciados por organizacao criminosa os ministros do pmdb eliseu padilha casa civil e moreira franco secretariageral os exministros do pmdb geddel vieira lima secretaria de governo e henrique eduardo alves turismo e o exdeputado eduardo cunha pmdbrj alem disso assim como temer foram denunciados por obstrucao de justica os executivos do grupo jf joesley batista e ricardo saud cujos acordos de delacao foram rescindidos pela pgr por ser o presidente
1	saiba	saber	VERB	VERB	_	6	acl	_	TokenRange=0:5
2	como	como	ADP	ADP	_	4	case	_	TokenRange=6:10
3	o	o	DET	DET	_	4	det	_	TokenRange=11:12
4	mundo	mundo	NOUN	NOUN	_	1	nmod	_	TokenRange=13:18
5	politico	politico	ADJ	ADJ	_	4	amod	_	TokenRange=19:27
6	reagiu	reagir	VERB	VERB	_	0	root	_	TokenRange=28:34
7	a	o	DET	DET	_	9	det	_	TokenRange=35:36
8	nova	novo	ADJ	ADJ	_	9	amod	_	TokenRange=37:41
9	denuncia	denuncia	NOUN	NOUN	_	6	nsubj	_	TokenRange=42:50
10-11	da	_	_	_	_	_	_	_	TokenRange=51:53
10	de	de	ADP	ADP	_	12	case	_	_
11	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	12	det	_	_
12	pgr	_	NOUN	NOUN	_	9	nmod	_	TokenRange=54:57
13	contra	_	ADP	ADP	_	14	case	_	TokenRange=58:64
14	temer	temer	NOUN	NOUN	_	9	nmod	_	TokenRange=65:70
15	presidente	presidente	NOUN	NOUN	_	17	nsubj:pass	_	TokenRange=71:81
16	foi	_	AUX	AUX	_	17	aux:pass	_	TokenRange=82:85
