# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = presos piloto e copiloto de aviao interceptado com mais de 600 kg de cocaina em goias eles disseram a pf que sairam da bolivia com a droga e iriam para fazenda em jussara sem pousar na propriedade arrendada pela familia do ministro blairo maggi a policia federal prendeu no inicio da noite desta segundafeira 26 o piloto e o copiloto do aviao bimotor interceptado pela forca aerea brasileira fab no fim de semana com 662 kg de cocaina em jussara na regiao noroeste de goias segundo apurou a tv anhanguera os dois ocupantes da aeronave sao o piloto apoena indio do brasil e o copiloto fabiano junior da silva eles disseram a pf que trouxeram a droga da bolivia e que ao contrario do que a fab divulgou nao estiveram na fazenda itamarati norte no mato grosso arrendada para a empresa amaggi da familia do
1	presos	preso	NOUN	NOUN	_	18	nsubj	_	TokenRange=0:6
2	piloto	piloto	NOUN	NOUN	_	18	nsubj	_	TokenRange=7:13
3	e	e	CCONJ	CONJ	_	4	cc	_	TokenRange=14:15
4	copiloto	copiloto	NOUN	NOUN	_	2	conj	_	TokenRange=16:24
5	de	de	ADP	ADP	_	6	case	_	TokenRange=25:27
6	aviao	aviao	NOUN	NOUN	_	4	nmod	_	TokenRange=28:33
7	interceptado	interceptar	VERB	VERB	_	2	acl	_	TokenRange=34:46
8	com	com	ADP	ADP	_	12	case	_	TokenRange=47:50
9	mais	mais	ADV	ADV	_	11	advmod	_	TokenRange=51:55
10	de	de	ADP	ADP	_	9	case	_	TokenRange=56:58
11	600	_	NUM	NUM	NumType=Card	12	nummod	_	TokenRange=59:62
12	kg	kg	NOUN	NOUN	_	7	nmod	_	TokenRange=63:65
13	de	de	ADP	ADP	_	14	case	_	TokenRange=66:68
14	cocaina	cocaina	NOUN	NOUN	_	12	nmod	_	TokenRange=69:76
15	em	em	ADP	ADP	_	16	case	_	TokenRange=77:79
16	goias	goia	NOUN	NOUN	_	12	nmod	_	TokenRange=80:85
17	eles	_	PRON	PRON	_	18	nsubj	_	TokenRange=86:90
18	disseram	dizer	VERB	VERB	_	0	root	_	TokenRange=91:99
19	a	_	ADP	ADP	_	20	case	_	TokenRange=100:101
20	pf	pf	NOUN	NOUN	_	18	iobj	_	TokenRange=102:104
21	que	que	CCONJ	CONJ	_	22	mark	_	TokenRange=105:108
22	sairam	sair	VERB	VERB	_	18	ccomp	_	TokenRange=109:115
23-24	da	_	_	_	_	_	_	_	TokenRange=116:118
23	de	de	ADP	ADP	_	25	case	_	_
24	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	25	det	_	_
25	bolivia	bolivia	NOUN	NOUN	_	22	nmod	_	TokenRange=119:126
26	com	com	ADP	ADP	_	28	case	_	TokenRange=127:130
27	a	o	DET	DET	_	28	det	_	TokenRange=131:132
28	droga	droga	NOUN	NOUN	_	22	nmod	_	TokenRange=133:138
29	e	e	CCONJ	CONJ	_	30	cc	_	TokenRange=139:140
