# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na semana em que o relator da operacao lava jato no supremo tribunal federal stf comemorou em silencio cerimonioso a vitoria por 11 a 0 contra os colegas que desafiam seu poder absoluto sobre os destinos dos reus sob o peso de seu martelo seu parceiro procuradorgeral da republica recorreu a uma metafora primitiva o ministro do stf luiz edson fachin e o chefao do ministerio publico federal mpf rodrigo janot este em fim de linha nao se sentem forcados a dar explicacoes por terem patrocinado a delacao premiada mais generosa da historia da humanidade que ambos concederam a joesley batista o bamba do abate todo mundo sabe pelo menos dentro dos limites do distrito federal que ricardo saud um dos delatores premiados da holding jf que deixaram anapolis em goias para brilhar nesse mundao grandao de deus foi solicito parceiro do excelentissimo e eminentissimo relator em sua peregrinacao a cata de votos a seu favor na sabatina do senado para aprovar sua nomeacao para o supremo e ainda de conhecimento publico que sua escolha nao foi abencoada pela ausencia de suspeitas e desconfiancas no momento em que a dra dilma vana rousseff linhares resolveu substituir o relator do mensalao joaquim barbosa por ele e nao eram meros detalhes desprezaveis como diria o dr michel miguel devoto de palavras dicionarizadas que nao tem uso corriqueiro ou como o lente de direito constitucional da puc de sao paulo podia preferir lana caprina assim que findou sua passagem pela presidencia do stf alegando ter sido ameacado barbosa aposentouse a chefa do poder executivo levou oito longos meses quase uma gestacao para substituilo os cheios de pruridos eticos na escolha para ser membro tao poderoso de uma instituicao que deveria ficar acima de qualquer suspeita na vida toda entre os quais o autor destas linhas insistiram na tecla de que o ilustre jurista tinha advogado quando ainda era procurador do estado do parana o que fora proibido pela constituicao usei fora e nao era porque a mudanca constitucional foi usada como argumento para defendelo por entidades que nao tinham por que se meter no caso a ordem dos advogados do brasil oab e a associacao dos procuradores do estado do parana que apresentaram pareceres juridicos a respeito ao aprovalo na sabatina o senado estendeu aos pretendentes ao stf o principio basico do direito de defesa no direito romano in dubio pro reo ou seja na duvida a favor do reu para os insignes candidatos
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	semana	semana	NOUN	NOUN	_	55	nmod	_	TokenRange=3:9
4	em	em	ADP	ADP	_	5	case	_	TokenRange=10:12
5	que	_	PRON	PRON	_	19	nmod	_	TokenRange=13:16
6	o	o	DET	DET	_	7	det	_	TokenRange=17:18
7	relator	relator	NOUN	NOUN	_	19	nsubj	_	TokenRange=19:26
8-9	da	_	_	_	_	_	_	_	TokenRange=27:29
8	de	de	ADP	ADP	_	10	case	_	_
9	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	10	det	_	_
10	operacao	operacao	NOUN	NOUN	_	7	nmod	_	TokenRange=30:38
11	lava	lava	NOUN	NOUN	_	10	appos	_	TokenRange=39:43
12	jato	jato	NOUN	NOUN	_	11	flat	_	TokenRange=44:48
13-14	no	_	_	_	_	_	_	_	TokenRange=49:51
13	em	em	ADP	ADP	_	16	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	16	det	_	_
15	supremo	supremo	ADJ	ADJ	_	16	amod	_	TokenRange=52:59
16	tribunal	tribunal	NOUN	NOUN	_	7	nmod	_	TokenRange=60:68
17	federal	federal	ADJ	ADJ	_	16	amod	_	TokenRange=69:76
18	stf	_	NOUN	NOUN	_	16	appos	_	TokenRange=77:80
19	comemorou	comemorar	VERB	VERB	_	3	acl:relcl	_	TokenRange=81:90
20	em	em	ADP	ADP	_	21	case	_	TokenRange=91:93
21	silencio	silencio	NOUN	NOUN	_	19	nmod	_	TokenRange=94:102
22	cerimonioso	cerimonioso	ADJ	ADJ	_	58	amod	_	TokenRange=103:114
23	a	o	DET	DET	_	24	det	_	TokenRange=115:116
24	vitoria	vitoria	NOUN	NOUN	_	19	obj	_	TokenRange=117:124
25	por	por	ADP	ADP	_	26	case	_	TokenRange=125:128
26	11	_	NUM	NUM	NumType=Card	24	nmod	_	TokenRange=129:131
27	a	_	ADP	ADP	_	28	case	_	TokenRange=132:133
