# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = fechase o cerco pro anastasia em mg depois da pressao do governador e precandidato geraldo alckmin agora intensificase a dos deputados federais e estatuais do psdb de minas para que o senador e exgovernador antonio anastasia aceite disputar o governo do estado pelo psdb os sete deputados federais e os oito estaduais do partido tem jantar marcado para segundafeira em belo horizonte na casa de um deles eduardo barboza presidente da federacao das apaes e um dos principais especialistas em politicas sociais no congresso anastasia tentava reagir a candidatura mas conversou longamente com alckmin nesta semana e esta sendo convencido de que e peca estrategica para a campanha nacional do psdb e para unir as oposicoes mineiras ao governo do petista fernando pimentel em outubro em desvantagem historica no nordeste principal reduto do pt o psdb tambem
1	fechase	fechaser	VERB	VERB	_	0	root	_	TokenRange=0:7
2	o	o	DET	DET	_	3	det	_	TokenRange=8:9
3	cerco	cerco	NOUN	NOUN	_	1	obj	_	TokenRange=10:15
4	pro	_	ADP	ADP	_	5	case	_	TokenRange=16:19
5	anastasia	anastasia	NOUN	NOUN	_	3	nmod	_	TokenRange=20:29
6	em	em	ADP	ADP	_	7	case	_	TokenRange=30:32
7	mg	_	NOUN	NOUN	_	1	nmod	_	TokenRange=33:35
8	depois	depois	ADV	ADV	_	20	mark	_	TokenRange=36:42
9-10	da	_	_	_	_	_	_	_	TokenRange=43:45
9	de	de	ADP	ADP	_	8	case	_	_
10	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	8	det	_	_
11	pressao	pressao	NOUN	NOUN	_	20	nsubj	_	TokenRange=46:53
12-13	do	_	_	_	_	_	_	_	TokenRange=54:56
12	de	de	ADP	ADP	_	14	case	_	_
13	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	14	det	_	_
14	governador	governador	NOUN	NOUN	_	11	nmod	_	TokenRange=57:67
15	e	e	CCONJ	CONJ	_	16	cc	_	TokenRange=68:69
16	precandidato	precandidato	NOUN	NOUN	_	14	conj	_	TokenRange=70:82
17	geraldo	geraldo	ADJ	ADJ	_	14	amod	_	TokenRange=83:90
18	alckmin	alckmin	NOUN	NOUN	_	17	appos	_	TokenRange=91:98
19	agora	agora	ADV	ADV	_	20	advmod	_	TokenRange=99:104
20	intensificase	intensificr	VERB	VERB	_	1	advcl	_	TokenRange=105:118
21	a	_	PRON	PRON	_	20	obj	_	TokenRange=119:120
22-23	dos	_	_	_	_	_	_	_	TokenRange=121:124
22	de	de	ADP	ADP	_	24	case	_	_
23	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	24	det	_	_
24	deputados	deputado	NOUN	NOUN	_	21	nmod	_	TokenRange=125:134
25	federais	federal	ADJ	ADJ	_	24	amod	_	TokenRange=135:143
26	e	e	CCONJ	CONJ	_	27	cc	_	TokenRange=144:145
27	estatuais	estatual	ADJ	ADJ	_	25	conj	_	TokenRange=146:155
28-29	do	_	_	_	_	_	_	_	TokenRange=156:158
28	de	de	ADP	ADP	_	30	case	_	_
