# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = entender objetivos dos eua e pressionar putin a estrategia do g7 sobre conflito na siria em reuniao de ministros das relacoes exteriores potencias querem estabelecer demandas para minar apoio de governo russo a regime assad apos suposto ataque quimico a busca por uma estrategia unificada para lidar com o conflito na siria apos o suposto ataque quimico no pais na semana passada deve dominar a reuniao do g7 o grupo das sete maiores economias do mundo que ocorre nesta segundafeira 10 na italia ministros de relacoes exteriores de canada franca alemanha italia japao reino unido e dos estados unidos estao buscando formas de pressionar a russia a distanciarse do presidente sirio bashar alassad os aliados tambem deverao exigir mais clareza sobre a posicao dos estados unidos em relacao a siria apos o que foi interpretado como mensagens confusas da administracao trump o secretario de estado americano rex tillerson criticou duramente a russia no ultimo domingo afirmando que o pais nao impediu o governo sirio de realizar
1	entender	entender	VERB	VERB	_	28	csubj	_	TokenRange=0:8
2	objetivos	objetivo	NOUN	NOUN	_	1	obj	_	TokenRange=9:18
3-4	dos	_	_	_	_	_	_	_	TokenRange=19:22
3	de	de	ADP	ADP	_	5	case	_	_
4	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	5	det	_	_
5	eua	_	NOUN	NOUN	_	2	nmod	_	TokenRange=23:26
6	e	e	CCONJ	CONJ	_	7	cc	_	TokenRange=27:28
7	pressionar	pressionar	VERB	VERB	_	1	conj	_	TokenRange=29:39
8	putin	_	NOUN	NOUN	_	7	obj	_	TokenRange=40:45
9	a	o	DET	DET	_	10	det	_	TokenRange=46:47
10	estrategia	estrategia	NOUN	NOUN	_	7	obj	_	TokenRange=48:58
11-12	do	_	_	_	_	_	_	_	TokenRange=59:61
11	de	de	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	g7	g7	NOUN	NOUN	_	10	nmod	_	TokenRange=62:64
14	sobre	_	ADP	ADP	_	15	case	_	TokenRange=65:70
15	conflito	conflito	NOUN	NOUN	_	10	nmod	_	TokenRange=71:79
16-17	na	_	_	_	_	_	_	_	TokenRange=80:82
16	em	em	ADP	ADP	_	18	case	_	_
