# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = nos 15 minutos finais do interrogatorio do expresidente luiz inacio lula da silva feito pelo juiz federal sergio moro nesta quartafeira 10 em curitiba o magistrado questionou o petista sobre cinco fatos que podem caracterizar tentativa de intimidacao as autoridades da operacao lava jato e advertiu o reu sobre a conduta inadequada sao episodios de declaracoes publicas em que lula disse que poderia um dia mandar prender os procuradores da republica que o investigam que lembraria dos delegados que o conduziram coercitivamente em marco de 2016 que so ele poderia brigar com a lava jato alem de processos movidos contra testemunhas investigadores e ate o proprio juiz o interrogatorio comecou as 14 horas do dia 10 com um frio de 13 graus e uma leve garoa a sede da justica federal no bairro ahu sitiada por um exercito de policiais militares acionados para evitar protestos dos cerca de 20 mil manifestantes a maior parte membros do mst e de centrais sindicais
1-2	nos	_	_	_	_	_	_	_	TokenRange=0:3
1	em	em	ADP	ADP	_	4	case	_	_
2	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	4	det	_	_
3	15	_	NUM	NUM	NumType=Card	4	nummod	_	TokenRange=4:6
4	minutos	minuto	NOUN	NOUN	_	32	nmod	_	TokenRange=7:14
5	finais	final	ADJ	ADJ	_	4	amod	_	TokenRange=15:21
6-7	do	_	_	_	_	_	_	_	TokenRange=22:24
6	de	de	ADP	ADP	_	8	case	_	_
7	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	_
8	interrogatorio	interrogatorio	NOUN	NOUN	_	4	nmod	_	TokenRange=25:39
9-10	do	_	_	_	_	_	_	_	TokenRange=40:42
9	de	de	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	expresidente	expresidente	NOUN	NOUN	_	8	nmod	_	TokenRange=43:55
12	luiz	luiz	ADJ	ADJ	_	11	amod	_	TokenRange=56:60
13	inacio	_	ADJ	ADJ	_	12	flat	_	TokenRange=61:67
14	lula	_	NOUN	NOUN	_	12	flat	_	TokenRange=68:72
15-16	da	_	_	_	_	_	_	_	TokenRange=73:75
15	de	de	ADP	ADP	_	17	case	_	_
16	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	17	det	_	_
17	silva	silva	NOUN	NOUN	_	12	nmod	_	TokenRange=76:81
18	feito	_	VERB	VERB	_	4	acl	_	TokenRange=82:87
19-20	pelo	_	_	_	_	_	_	_	TokenRange=88:92
19	por	por	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	juiz	juiz	NOUN	NOUN	_	18	nmod	_	TokenRange=93:97
22	federal	federal	ADJ	ADJ	_	21	amod	_	TokenRange=98:105
23	sergio	sergio	NOUN	NOUN	_	21	appos	_	TokenRange=106:112
24	moro	moro	NOUN	NOUN	_	23	flat	_	TokenRange=113:117
25	nesta	_	ADP	ADP	_	26	case	_	TokenRange=118:123
26	quartafeira	_	NOUN	NOUN	_	18	nmod	_	TokenRange=124:135
27	10	_	NUM	NUM	NumType=Card	26	appos	_	TokenRange=136:138
28	em	em	ADP	ADP	_	29	case	_	TokenRange=139:141
29	curitiba	_	NOUN	NOUN	_	18	nmod	_	TokenRange=142:150
30	o	o	DET	DET	_	31	det	_	TokenRange=151:152
31	magistrado	magistrado	NOUN	NOUN	_	32	nsubj	_	TokenRange=153:163
32	questionou	questionar	VERB	VERB	_	0	root	_	TokenRange=164:174
33	o	o	DET	DET	_	34	det	_	TokenRange=175:176
34	petista	petista	NOUN	NOUN	_	32	obj	_	TokenRange=177:184
35	sobre	_	ADP	ADP	_	37	case	_	TokenRange=185:190
36	cinco	_	NUM	NUM	NumType=Card	37	nummod	_	TokenRange=191:196
37	fatos	fato	NOUN	NOUN	_	32	nmod	_	TokenRange=197:202
38	que	_	PRON	PRON	_	40	nsubj	_	TokenRange=203:206
39	podem	_	AUX	AUX	_	40	aux	_	TokenRange=207:212
40	caracterizar	caracterizar	VERB	VERB	_	37	acl:relcl	_	TokenRange=213:225
41	tentativa	_	NOUN	NOUN	_	40	obj	_	TokenRange=226:235
42	de	de	ADP	ADP	_	43	case	_	TokenRange=236:238
43	intimidacao	intimidacao	NOUN	NOUN	_	41	nmod	_	TokenRange=239:250
44	as	_	ADP	ADP	_	45	case	_	TokenRange=251:253
45	autoridades	autoridade	NOUN	NOUN	_	41	nmod	_	TokenRange=254:265
46-47	da	_	_	_	_	_	_	_	TokenRange=266:268
46	de	de	ADP	ADP	_	48	case	_	_
47	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	48	det	_	_
48	operacao	operacao	NOUN	NOUN	_	45	nmod	_	TokenRange=269:277
49	lava	lava	NOUN	NOUN	_	48	appos	_	TokenRange=278:282
50	jato	jato	NOUN	NOUN	_	49	flat	_	TokenRange=283:287
51	e	e	CCONJ	CONJ	_	52	cc	_	TokenRange=288:289
52	advertiu	advertir	VERB	VERB	_	32	conj	_	TokenRange=290:298
53	o	o	DET	DET	_	54	det	_	TokenRange=299:300
54	reu	reu	NOUN	NOUN	_	52	obj	_	TokenRange=301:304
55	sobre	_	ADP	ADP	_	57	case	_	TokenRange=305:310
56	a	o	DET	DET	_	57	det	_	TokenRange=311:312
