# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja quem sao os mortos na tragedia em creche no norte de mg sete criancas uma professora de 43 anos e o autor do crime morreram damiao soares dos santos ateou fogo ao seu proprio corpo e em alunos da creche gente inocente sete criancas uma professora e o proprio autor do crime morreram na quintafeira 5 no incendio criminoso ocorrido no centro municipal de educacao infantil gente inocente damiao soares dos santos que trabalhava como vigia noturno no local desde 2008 jogou alcool nas criancas e nele mesmo e em seguida ateou fogo nesta sextafeira 6 41 pessoas seguiam internadas em hospitais de janauba montes claros e belo horizonte de acordo com informacoes
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	quem	_	PRON	PRON	_	1	ccomp	_	TokenRange=5:9
3	sao	_	AUX	AUX	_	2	cop	_	TokenRange=10:13
4	os	o	DET	DET	_	5	det	_	TokenRange=14:16
5	mortos	morto	NOUN	NOUN	_	2	nsubj	_	TokenRange=17:23
6-7	na	_	_	_	_	_	_	_	TokenRange=24:26
6	em	em	ADP	ADP	_	8	case	_	_
7	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	8	det	_	_
8	tragedia	tragedia	NOUN	NOUN	_	5	nmod	_	TokenRange=27:35
9	em	em	ADP	ADP	_	10	case	_	TokenRange=36:38
10	creche	creche	NOUN	NOUN	_	8	nmod	_	TokenRange=39:45
11-12	no	_	_	_	_	_	_	_	TokenRange=46:48
11	em	em	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	norte	norte	NOUN	NOUN	_	8	nmod	_	TokenRange=49:54
14	de	de	ADP	ADP	_	15	case	_	TokenRange=55:57
15	mg	_	NOUN	NOUN	_	13	nmod	_	TokenRange=58:60
16	sete	_	NUM	NUM	NumType=Card	17	nummod	_	TokenRange=61:65
17	criancas	crianca	NOUN	NOUN	_	29	nsubj	_	TokenRange=66:74
18	uma	um	DET	DET	_	19	det	_	TokenRange=75:78
19	professora	professor	NOUN	NOUN	_	29	nsubj	_	TokenRange=79:89
20	de	de	ADP	ADP	_	22	case	_	TokenRange=90:92
21	43	_	NUM	NUM	NumType=Card	22	nummod	_	TokenRange=93:95
22	anos	ano	NOUN	NOUN	_	19	nmod	_	TokenRange=96:100
23	e	e	CCONJ	CONJ	_	25	cc	_	TokenRange=101:102
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	TokenRange=103:104
25	autor	autor	NOUN	NOUN	_	19	conj	_	TokenRange=105:110
26-27	do	_	_	_	_	_	_	_	TokenRange=111:113
26	de	de	ADP	ADP	_	28	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	crime	crime	NOUN	NOUN	_	25	nmod	_	TokenRange=114:119
29	morreram	morrer	VERB	VERB	_	1	ccomp	_	TokenRange=120:128
30	damiao	damiao	NOUN	NOUN	_	35	nsubj	_	TokenRange=129:135
31	soares	_	NOUN	NOUN	_	35	nsubj	_	TokenRange=136:142
32-33	dos	_	_	_	_	_	_	_	TokenRange=143:146
32	de	de	ADP	ADP	_	34	case	_	_
33	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	34	det	_	_
34	santos	santo	NOUN	NOUN	_	31	nmod	_	TokenRange=147:153
35	ateou	atear	VERB	VERB	_	1	ccomp	_	TokenRange=154:159
36	fogo	fogo	NOUN	NOUN	_	35	obj	_	TokenRange=160:164
37-38	ao	_	_	_	_	_	_	_	TokenRange=165:167
37	a	a	ADP	ADP	_	41	case	_	_
38	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	41	det	_	_
39	seu	_	DET	DET	_	41	det:poss	_	TokenRange=168:171
40	proprio	proprio	ADJ	ADJ	_	41	amod	_	TokenRange=172:179
41	corpo	corpo	NOUN	NOUN	_	35	nmod	_	TokenRange=180:185
42	e	e	CCONJ	CONJ	_	35	cc	_	TokenRange=186:187
43	em	em	ADP	ADP	_	44	case	_	TokenRange=188:190
44	alunos	aluno	NOUN	NOUN	_	35	conj	_	TokenRange=191:197
45-46	da	_	_	_	_	_	_	_	TokenRange=198:200
45	de	de	ADP	ADP	_	47	case	_	_
46	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	47	det	_	_
47	creche	creche	NOUN	NOUN	_	44	nmod	_	TokenRange=201:207
48	gente	gente	NOUN	NOUN	_	35	nsubj	_	TokenRange=208:213
49	inocente	inocente	ADJ	ADJ	_	48	amod	_	TokenRange=214:222
50	sete	_	NUM	NUM	NumType=Card	51	nummod	_	TokenRange=223:227
51	criancas	crianca	NOUN	NOUN	_	61	nmod	_	TokenRange=228:236
52	uma	um	DET	DET	_	53	det	_	TokenRange=237:240
53	professora	professor	NOUN	NOUN	_	61	nsubj	_	TokenRange=241:251
54	e	e	CCONJ	CONJ	_	57	cc	_	TokenRange=252:253
55	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	57	det	_	TokenRange=254:255
56	proprio	proprio	ADJ	ADJ	_	57	amod	_	TokenRange=256:263
57	autor	autor	NOUN	NOUN	_	53	conj	_	TokenRange=264:269
58-59	do	_	_	_	_	_	_	_	TokenRange=270:272
58	de	de	ADP	ADP	_	60	case	_	_
59	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	60	det	_	_
60	crime	crime	NOUN	NOUN	_	57	nmod	_	TokenRange=273:278
61	morreram	morrer	VERB	VERB	_	1	conj	_	TokenRange=279:287
62-63	na	_	_	_	_	_	_	_	TokenRange=288:290
62	em	em	ADP	ADP	_	64	case	_	_
63	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	64	det	_	_
64	quintafeira	quintafeira	NOUN	NOUN	_	61	nmod	_	TokenRange=291:302
65	5	_	NUM	NUM	NumType=Card	64	appos	_	TokenRange=303:304
66-67	no	_	_	_	_	_	_	_	TokenRange=305:307
66	em	em	ADP	ADP	_	68	case	_	_
67	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	68	det	_	_
68	incendio	incendio	NOUN	NOUN	_	61	nmod	_	TokenRange=308:316
69	criminoso	criminoso	ADJ	ADJ	_	68	amod	_	TokenRange=317:326
70	ocorrido	ocorrer	VERB	VERB	_	68	acl	_	TokenRange=327:335
71-72	no	_	_	_	_	_	_	_	TokenRange=336:338
71	em	em	ADP	ADP	_	73	case	_	_
72	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	73	det	_	_
73	centro	centro	NOUN	NOUN	_	70	nmod	_	TokenRange=339:345
74	municipal	municipal	ADJ	ADJ	_	73	amod	_	TokenRange=346:355
75	de	de	ADP	ADP	_	76	case	_	TokenRange=356:358
76	educacao	educacao	NOUN	NOUN	_	73	nmod	_	TokenRange=359:367
77	infantil	infantil	ADJ	ADJ	_	76	amod	_	TokenRange=368:376
78	gente	gente	NOUN	NOUN	_	61	nsubj	_	TokenRange=377:382
79	inocente	inocente	ADJ	ADJ	_	78	amod	_	TokenRange=383:391
80	damiao	damiao	NOUN	NOUN	_	78	appos	_	TokenRange=392:398
81	soares	_	ADJ	ADJ	_	80	flat	_	TokenRange=399:405
82-83	dos	_	_	_	_	_	_	_	TokenRange=406:409
82	de	de	ADP	ADP	_	84	case	_	_
83	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	84	det	_	_
84	santos	santo	NOUN	NOUN	_	80	nmod	_	TokenRange=410:416
85	que	_	PRON	PRON	_	86	nsubj	_	TokenRange=417:420
86	trabalhava	trabalhar	VERB	VERB	_	80	acl:relcl	_	TokenRange=421:431
87	como	como	ADP	ADP	_	88	case	_	TokenRange=432:436
88	vigia	vigia	NOUN	NOUN	_	86	nmod	_	TokenRange=437:442
89	noturno	noturno	ADJ	ADJ	_	88	amod	_	TokenRange=443:450
90-91	no	_	_	_	_	_	_	_	TokenRange=451:453
90	em	em	ADP	ADP	_	92	case	_	_
91	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	92	det	_	_
92	local	local	NOUN	NOUN	_	86	nmod	_	TokenRange=454:459
93	desde	_	ADP	ADP	_	94	case	_	TokenRange=460:465
94	2008	_	NUM	NUM	NumType=Card	86	nmod	_	TokenRange=466:470
95	jogou	jogar	VERB	VERB	_	1	ccomp	_	TokenRange=471:476
96	alcool	alcool	NOUN	NOUN	_	95	obj	_	TokenRange=477:483
97-98	nas	_	_	_	_	_	_	_	TokenRange=484:487
97	em	em	ADP	ADP	_	99	case	_	_
98	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	99	det	_	_
99	criancas	crianca	NOUN	NOUN	_	95	nmod	_	TokenRange=488:496
100	e	e	CCONJ	CONJ	_	101	cc	_	TokenRange=497:498
101	nele	_	X	ADPPRON	_	99	conj	_	TokenRange=499:503
