# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = conhecido por tatuar nome de temer wladimir costa e eleito lider do solidariedade na camara parlamentar foi um dos principais defensores do presidente no ano passado alvo de dois processos no conselho de etica wladimir costa esta no quarto mandato como deputado famoso por ter tatuado o nome do presidente michel temer no ano passado o deputado wladimir costa sdpa foi escolhido como novo lider da bancada do solidariedade na camara a lideranca de bancada e um dos postos fundamentais no cotidiano de atividades da camara dos deputados cabe ao lider por exemplo indicar os nomes dos deputados que vao compor as comissoes
1	conhecido	conhecer	VERB	VERB	_	20	acl	_	TokenRange=0:9
2	por	_	ADP	ADP	_	3	mark	_	TokenRange=10:13
3	tatuar	tatuar	VERB	VERB	_	1	nmod	_	TokenRange=14:20
4	nome	nome	NOUN	NOUN	_	3	obj	_	TokenRange=21:25
5	de	de	ADP	ADP	_	6	case	_	TokenRange=26:28
6	temer	temer	NOUN	NOUN	_	4	nmod	_	TokenRange=29:34
7	wladimir	_	VERB	VERB	_	3	obj	_	TokenRange=35:43
8	costa	costa	NOUN	NOUN	_	7	obj	_	TokenRange=44:49
9	e	e	CCONJ	CONJ	_	11	cc	_	TokenRange=50:51
10	eleito	eleger	VERB	AUX	_	11	cop	_	TokenRange=52:58
11	lider	lider	NOUN	NOUN	_	7	conj	_	TokenRange=59:64
12-13	do	_	_	_	_	_	_	_	TokenRange=65:67
12	de	de	ADP	ADP	_	14	case	_	_
13	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	14	det	_	_
14	solidariedade	solidariedade	NOUN	NOUN	_	11	nmod	_	TokenRange=68:81
15-16	na	_	_	_	_	_	_	_	TokenRange=82:84
15	em	em	ADP	ADP	_	17	case	_	_
16	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	17	det	_	_
17	camara	camara	NOUN	NOUN	_	11	nmod	_	TokenRange=85:91
18	parlamentar	parlamentar	ADJ	ADJ	_	17	amod	_	TokenRange=92:103
19	foi	_	AUX	AUX	_	20	cop	_	TokenRange=104:107
20	um	_	PRON	PRON	_	0	root	_	TokenRange=108:110
21-22	dos	_	_	_	_	_	_	_	TokenRange=111:114
21	de	de	ADP	ADP	_	24	case	_	_
22	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	24	det	_	_
23	principais	principal	ADJ	ADJ	_	24	amod	_	TokenRange=115:125
24	defensores	defensor	NOUN	NOUN	_	20	nmod	_	TokenRange=126:136
25-26	do	_	_	_	_	_	_	_	TokenRange=137:139
25	de	de	ADP	ADP	_	27	case	_	_
26	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	27	det	_	_
27	presidente	presidente	NOUN	NOUN	_	24	nmod	_	TokenRange=140:150
28-29	no	_	_	_	_	_	_	_	TokenRange=151:153
28	em	em	ADP	ADP	_	30	case	_	_
29	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	30	det	_	_
30	ano	ano	NOUN	NOUN	_	24	nmod	_	TokenRange=154:157
31	passado	passado	ADJ	ADJ	_	30	amod	_	TokenRange=158:165
32	alvo	alvo	NOUN	NOUN	_	20	appos	_	TokenRange=166:170
33	de	de	ADP	ADP	_	35	case	_	TokenRange=171:173
34	dois	_	NUM	NUM	NumType=Card	35	nummod	_	TokenRange=174:178
35	processos	processo	NOUN	NOUN	_	32	nmod	_	TokenRange=179:188
36-37	no	_	_	_	_	_	_	_	TokenRange=189:191
36	em	em	ADP	ADP	_	38	case	_	_
37	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	38	det	_	_
38	conselho	conselho	NOUN	NOUN	_	35	nmod	_	TokenRange=192:200
39	de	de	ADP	ADP	_	40	case	_	TokenRange=201:203
40	etica	etica	NOUN	NOUN	_	38	nmod	_	TokenRange=204:209
41	wladimir	_	PROPN	PNOUN	_	43	nsubj	_	TokenRange=210:218
42	costa	_	NOUN	NOUN	_	41	flat	_	TokenRange=219:224
43	esta	_	VERB	VERB	_	20	conj	_	TokenRange=225:229
44-45	no	_	_	_	_	_	_	_	TokenRange=230:232
44	em	em	ADP	ADP	_	47	case	_	_
45	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	47	det	_	_
46	quarto	_	ADJ	ADJ	_	47	amod	_	TokenRange=233:239
47	mandato	mandato	NOUN	NOUN	_	43	nmod	_	TokenRange=240:247
48	como	como	ADP	ADP	_	49	case	_	TokenRange=248:252
49	deputado	deputado	NOUN	NOUN	_	43	nmod	_	TokenRange=253:261
50	famoso	famoso	ADJ	ADJ	_	49	amod	_	TokenRange=262:268
51	por	_	ADP	ADP	_	53	mark	_	TokenRange=269:272
52	ter	ter	AUX	AUX	_	53	aux	_	TokenRange=273:276
53	tatuado	tatuar	VERB	VERB	_	50	nmod	_	TokenRange=277:284
54	o	o	DET	DET	_	55	det	_	TokenRange=285:286
55	nome	nome	NOUN	NOUN	_	53	obj	_	TokenRange=287:291
56-57	do	_	_	_	_	_	_	_	TokenRange=292:294
56	de	de	ADP	ADP	_	58	case	_	_
57	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	58	det	_	_
58	presidente	presidente	NOUN	NOUN	_	55	nmod	_	TokenRange=295:305
59	michel	_	ADJ	ADJ	_	58	appos	_	TokenRange=306:312
60	temer	temer	NOUN	NOUN	_	58	appos	_	TokenRange=313:318
61-62	no	_	_	_	_	_	_	_	TokenRange=319:321
61	em	em	ADP	ADP	_	63	case	_	_
62	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	63	det	_	_
63	ano	ano	NOUN	NOUN	_	53	nmod	_	TokenRange=322:325
64	passado	passado	ADJ	ADJ	_	63	amod	_	TokenRange=326:333
65	o	o	DET	DET	_	66	det	_	TokenRange=334:335
66	deputado	deputado	NOUN	NOUN	_	71	nsubj:pass	_	TokenRange=336:344
67	wladimir	_	NOUN	NOUN	_	66	appos	_	TokenRange=345:353
68	costa	costa	NOUN	NOUN	_	67	flat	_	TokenRange=354:359
69	sdpa	sdpa	NOUN	NOUN	_	67	flat	_	TokenRange=360:364
70	foi	_	AUX	AUX	_	71	aux:pass	_	TokenRange=365:368
71	escolhido	escolher	VERB	VERB	_	20	parataxis	_	TokenRange=369:378
72	como	como	ADP	ADP	_	74	case	_	TokenRange=379:383
73	novo	novo	ADJ	ADJ	_	74	amod	_	TokenRange=384:388
74	lider	lider	NOUN	NOUN	_	71	nmod	_	TokenRange=389:394
75-76	da	_	_	_	_	_	_	_	TokenRange=395:397
75	de	de	ADP	ADP	_	77	case	_	_
76	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	77	det	_	_
77	bancada	bancada	NOUN	NOUN	_	74	nmod	_	TokenRange=398:405
78-79	do	_	_	_	_	_	_	_	TokenRange=406:408
78	de	de	ADP	ADP	_	80	case	_	_
79	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	80	det	_	_
80	solidariedade	solidariedade	NOUN	NOUN	_	77	nmod	_	TokenRange=409:422
81-82	na	_	_	_	_	_	_	_	TokenRange=423:425
81	em	em	ADP	ADP	_	83	case	_	_
82	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	83	det	_	_
83	camara	camara	NOUN	NOUN	_	77	nmod	_	TokenRange=426:432
84	a	o	DET	DET	_	85	det	_	TokenRange=433:434
85	lideranca	lideranca	NOUN	NOUN	_	71	nsubj:pass	_	TokenRange=435:444
86	de	de	ADP	ADP	_	87	case	_	TokenRange=445:447
87	bancada	bancada	NOUN	NOUN	_	85	nmod	_	TokenRange=448:455
88	e	e	CCONJ	CONJ	_	89	cc	_	TokenRange=456:457
89	um	_	PRON	PRON	_	71	conj	_	TokenRange=458:460
90-91	dos	_	_	_	_	_	_	_	TokenRange=461:464
90	de	de	ADP	ADP	_	92	case	_	_
91	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	92	det	_	_
92	postos	posto	NOUN	NOUN	_	89	nmod	_	TokenRange=465:471
93	fundamentais	fundamental	ADJ	ADJ	_	92	amod	_	TokenRange=472:484
94-95	no	_	_	_	_	_	_	_	TokenRange=485:487
94	em	em	ADP	ADP	_	96	case	_	_
95	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	96	det	_	_
96	cotidiano	_	NOUN	NOUN	_	92	nmod	_	TokenRange=488:497
97	de	de	ADP	ADP	_	98	case	_	TokenRange=498:500
98	atividades	atividade	NOUN	NOUN	_	96	nmod	_	TokenRange=501:511
99-100	da	_	_	_	_	_	_	_	TokenRange=512:514
99	de	de	ADP	ADP	_	101	case	_	_
100	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	101	det	_	_
101	camara	camara	NOUN	NOUN	_	98	nmod	_	TokenRange=515:521
102-103	dos	_	_	_	_	_	_	_	TokenRange=522:525
102	de	de	ADP	ADP	_	104	case	_	_
103	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	104	det	_	_
104	deputados	deputado	NOUN	NOUN	_	101	nmod	_	TokenRange=526:535
105	cabe	caber	VERB	VERB	_	71	parataxis	_	TokenRange=536:540
106-107	ao	_	_	_	_	_	_	_	TokenRange=541:543
106	a	a	ADP	ADP	_	108	case	_	_
107	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	108	det	_	_
108	lider	lider	NOUN	NOUN	_	105	iobj	_	TokenRange=544:549
109	por	por	ADP	ADP	_	110	case	_	TokenRange=550:553
110	exemplo	exemplo	NOUN	NOUN	_	105	nmod	_	TokenRange=554:561
111	indicar	indicar	VERB	VERB	_	105	xcomp	_	TokenRange=562:569
112	os	o	DET	DET	_	113	det	_	TokenRange=570:572
113	nomes	nome	NOUN	NOUN	_	111	obj	_	TokenRange=573:578
114-115	dos	_	_	_	_	_	_	_	TokenRange=579:582
114	de	de	ADP	ADP	_	116	case	_	_
115	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	116	det	_	_
116	deputados	deputado	NOUN	NOUN	_	113	nmod	_	TokenRange=583:592
117	que	_	PRON	PRON	_	119	nsubj	_	TokenRange=593:596
118	vao	ir	AUX	AUX	_	119	aux	_	TokenRange=597:600
119	compor	compor	VERB	VERB	_	116	acl:relcl	_	TokenRange=601:607
120	as	o	DET	DET	_	121	det	_	TokenRange=608:610
121	comissoes	comissoe	NOUN	NOUN	_	119	obj	_	SpacesAfter=\s\s|TokenRange=611:620

