# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja os principais trechos do julgamento do recurso de lula no trf4 em porto alegre tres desembargadores julgaram o recurso do expresidente lula no processo do triplex na segunda instancia sessao aconteceu nesta quartafeira 24 o recurso apresentado pelo expresidente luiz inacio lula da silva pt no processo do triplex foi julgado nesta quartafeira 24 pelo tribunal regional federal da 4 regiao trf4 segunda instancia das acoes da operacao lava jato ele foi condenado em decisao unanime dos tres desembargadores que aumentaram a pena de nove para 12 anos o g1 acompanhou ao vivo julgamento veja como foi votaram no julgamento que durou 8 horas e 15 minutos alem de uma hora de intervalo o relator do processo joao pedro gebran neto o revisor leandro paulsen
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	os	o	DET	DET	_	4	det	_	TokenRange=5:7
3	principais	principal	ADJ	ADJ	_	4	amod	_	TokenRange=8:18
4	trechos	trecho	NOUN	NOUN	_	1	nsubj	_	TokenRange=19:26
5-6	do	_	_	_	_	_	_	_	TokenRange=27:29
5	de	de	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	julgamento	julgamento	NOUN	NOUN	_	4	nmod	_	TokenRange=30:40
8-9	do	_	_	_	_	_	_	_	TokenRange=41:43
8	de	de	ADP	ADP	_	10	case	_	_
9	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	10	det	_	_
10	recurso	recurso	NOUN	NOUN	_	7	nmod	_	TokenRange=44:51
11	de	de	ADP	ADP	_	12	case	_	TokenRange=52:54
12	lula	lula	NOUN	NOUN	_	10	nmod	_	TokenRange=55:59
13-14	no	_	_	_	_	_	_	_	TokenRange=60:62
13	em	em	ADP	ADP	_	15	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	15	det	_	_
15	trf4	_	NOUN	NOUN	_	10	nmod	_	TokenRange=63:67
16	em	em	ADP	ADP	_	17	case	_	TokenRange=68:70
17	porto	_	PROPN	PNOUN	_	1	nmod	_	TokenRange=71:76
18	alegre	alegre	ADJ	ADJ	_	17	amod	_	TokenRange=77:83
19	tres	_	NUM	NUM	NumType=Card	20	nummod	_	TokenRange=84:88
20	desembargadores	desembargador	NOUN	NOUN	_	21	nsubj	_	TokenRange=89:104
