# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = repercussao da carne fraca nas financas da brf nao preocupa diz presidente da empresa frigorificos da brf estao no centro da nova fase da operacao carne fraca que investiga fraudes em laudos na segunda empresa perdeu r 5 bilhoes em valor de mercado o presidente global da brf jose drummond afirmou nesta tercafeira 6 que nao esta preocupado com os reflexos da nova fase da operacao carne fraca nas financas da empresa que esta no centro das investigacoes conduzidas pela policia federal na segunda 5 apos a deflagracao da nova fase da carne fraca a
1	repercussao	repercussao	NOUN	NOUN	_	13	nsubj	_	TokenRange=0:11
2-3	da	_	_	_	_	_	_	_	TokenRange=12:14
2	de	de	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	carne	carne	NOUN	NOUN	_	1	nmod	_	TokenRange=15:20
5	fraca	fraco	ADJ	ADJ	_	4	amod	_	TokenRange=21:26
6-7	nas	_	_	_	_	_	_	_	TokenRange=27:30
6	em	em	ADP	ADP	_	8	case	_	_
7	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	8	det	_	_
8	financas	_	NOUN	NOUN	_	1	nmod	_	TokenRange=31:39
9-10	da	_	_	_	_	_	_	_	TokenRange=40:42
9	de	de	ADP	ADP	_	11	case	_	_
10	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	11	det	_	_
11	brf	brf	NOUN	NOUN	_	8	nmod	_	TokenRange=43:46
12	nao	nao	ADV	ADV	Polarity=Neg	13	advmod	_	TokenRange=47:50
13	preocupa	preocupar	VERB	VERB	_	0	root	_	TokenRange=51:59
14	diz	dizer	VERB	VERB	_	13	xcomp	_	TokenRange=60:63
15	presidente	presidente	NOUN	NOUN	_	23	nsubj	_	TokenRange=64:74
16-17	da	_	_	_	_	_	_	_	TokenRange=75:77
16	de	de	ADP	ADP	_	18	case	_	_
17	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	18	det	_	_
18	empresa	empresa	NOUN	NOUN	_	15	nmod	_	TokenRange=78:85
19	frigorificos	frigorifico	ADJ	ADJ	_	18	amod	_	TokenRange=86:98
20-21	da	_	_	_	_	_	_	_	TokenRange=99:101
20	de	de	ADP	ADP	_	22	case	_	_
21	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	22	det	_	_
22	brf	brf	NOUN	NOUN	_	15	nmod	_	TokenRange=102:105
23	estao	_	VERB	VERB	_	13	ccomp	_	TokenRange=106:111
24-25	no	_	_	_	_	_	_	_	TokenRange=112:114
24	em	em	ADP	ADP	_	26	case	_	_
25	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	26	det	_	_
26	centro	centro	NOUN	NOUN	_	23	nmod	_	TokenRange=115:121
27-28	da	_	_	_	_	_	_	_	TokenRange=122:124
27	de	de	ADP	ADP	_	30	case	_	_
28	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	30	det	_	_
29	nova	novo	ADJ	ADJ	_	30	amod	_	TokenRange=125:129
30	fase	fase	NOUN	NOUN	_	26	nmod	_	TokenRange=130:134
31-32	da	_	_	_	_	_	_	_	TokenRange=135:137
31	de	de	ADP	ADP	_	33	case	_	_
32	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	33	det	_	_
33	operacao	operacao	NOUN	NOUN	_	30	nmod	_	TokenRange=138:146
34	carne	carne	NOUN	NOUN	_	33	appos	_	TokenRange=147:152
35	fraca	fraco	ADJ	ADJ	_	33	amod	_	TokenRange=153:158
36	que	_	PRON	PRON	_	37	nsubj	_	TokenRange=159:162
37	investiga	investigar	VERB	VERB	_	33	acl:relcl	_	TokenRange=163:172
38	fraudes	fraude	NOUN	NOUN	_	37	obj	_	TokenRange=173:180
39	em	em	ADP	ADP	_	40	case	_	TokenRange=181:183
40	laudos	laudo	NOUN	NOUN	_	38	nmod	_	TokenRange=184:190
41-42	na	_	_	_	_	_	_	_	TokenRange=191:193
41	em	em	ADP	ADP	_	44	case	_	_
42	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	44	det	_	_
43	segunda	segundo	ADJ	ADJ	_	44	amod	_	TokenRange=194:201
44	empresa	empresa	NOUN	NOUN	_	37	nmod	_	TokenRange=202:209
45	perdeu	perder	VERB	VERB	_	37	parataxis	_	TokenRange=210:216
46	r	r	NOUN	NOUN	_	45	obj	_	TokenRange=217:218
47	5	_	NUM	NUM	NumType=Card	48	nummod	_	TokenRange=219:220
48	bilhoes	_	NUM	NUM	NumType=Card	46	nummod	_	TokenRange=221:228
49	em	em	ADP	ADP	_	50	case	_	TokenRange=229:231
50	valor	valor	NOUN	NOUN	_	45	nmod	_	TokenRange=232:237
51	de	de	ADP	ADP	_	52	case	_	TokenRange=238:240
52	mercado	mercado	NOUN	NOUN	_	50	nmod	_	TokenRange=241:248
53	o	o	DET	DET	_	54	det	_	TokenRange=249:250
54	presidente	presidente	NOUN	NOUN	_	45	nsubj	_	TokenRange=251:261
55	global	global	ADJ	ADJ	_	54	amod	_	TokenRange=262:268
56-57	da	_	_	_	_	_	_	_	TokenRange=269:271
56	de	de	ADP	ADP	_	58	case	_	_
57	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	58	det	_	_
58	brf	brf	NOUN	NOUN	_	54	nmod	_	TokenRange=272:275
59	jose	jose	NOUN	NOUN	_	54	appos	_	TokenRange=276:280
60	drummond	_	NOUN	NOUN	_	59	flat	_	TokenRange=281:289
61	afirmou	afirmar	VERB	VERB	_	13	parataxis	_	TokenRange=290:297
62	nesta	_	ADP	ADP	_	63	case	_	TokenRange=298:303
63	tercafeira	_	NOUN	NOUN	_	61	nmod	_	TokenRange=304:314
64	6	_	NUM	NUM	NumType=Card	63	appos	_	TokenRange=315:316
65	que	que	CCONJ	CONJ	_	67	mark	_	TokenRange=317:320
66	nao	nao	ADV	ADV	Polarity=Neg	67	advmod	_	TokenRange=321:324
67	esta	_	VERB	VERB	_	61	ccomp	_	TokenRange=325:329
68	preocupado	preocupado	ADJ	ADJ	_	67	xcomp	_	TokenRange=330:340
69	com	com	ADP	ADP	_	71	case	_	TokenRange=341:344
70	os	o	DET	DET	_	71	det	_	TokenRange=345:347
71	reflexos	reflexo	NOUN	NOUN	_	68	nmod	_	TokenRange=348:356
72-73	da	_	_	_	_	_	_	_	TokenRange=357:359
72	de	de	ADP	ADP	_	75	case	_	_
73	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	75	det	_	_
74	nova	novo	ADJ	ADJ	_	75	amod	_	TokenRange=360:364
75	fase	fase	NOUN	NOUN	_	71	nmod	_	TokenRange=365:369
76-77	da	_	_	_	_	_	_	_	TokenRange=370:372
76	de	de	ADP	ADP	_	78	case	_	_
77	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	78	det	_	_
78	operacao	operacao	NOUN	NOUN	_	75	nmod	_	TokenRange=373:381
79	carne	carne	NOUN	NOUN	_	78	flat	_	TokenRange=382:387
80	fraca	fraco	ADJ	ADJ	_	79	amod	_	TokenRange=388:393
81-82	nas	_	_	_	_	_	_	_	TokenRange=394:397
81	em	em	ADP	ADP	_	83	case	_	_
82	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	83	det	_	_
83	financas	_	NOUN	NOUN	_	75	nmod	_	TokenRange=398:406
84-85	da	_	_	_	_	_	_	_	TokenRange=407:409
84	de	de	ADP	ADP	_	86	case	_	_
85	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	86	det	_	_
86	empresa	empresa	NOUN	NOUN	_	83	nmod	_	TokenRange=410:417
87	que	_	PRON	PRON	_	88	nsubj	_	TokenRange=418:421
88	esta	_	VERB	VERB	_	83	acl:relcl	_	TokenRange=422:426
89-90	no	_	_	_	_	_	_	_	TokenRange=427:429
89	em	em	ADP	ADP	_	91	case	_	_
90	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	91	det	_	_
91	centro	centro	NOUN	NOUN	_	88	nmod	_	TokenRange=430:436
92-93	das	_	_	_	_	_	_	_	TokenRange=437:440
92	de	de	ADP	ADP	_	94	case	_	_
93	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	94	det	_	_
94	investigacoes	investigacoe	NOUN	NOUN	_	91	nmod	_	TokenRange=441:454
95	conduzidas	conduzir	VERB	VERB	_	94	acl	_	TokenRange=455:465
96-97	pela	_	_	_	_	_	_	_	TokenRange=466:470
96	por	por	ADP	ADP	_	98	case	_	_
97	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	98	det	_	_
98	policia	policia	NOUN	NOUN	_	95	nmod	_	TokenRange=471:478
99	federal	federal	ADJ	ADJ	_	98	amod	_	TokenRange=479:486
100-101	na	_	_	_	_	_	_	_	TokenRange=487:489
100	em	em	ADP	ADP	_	103	case	_	_
101	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	103	det	_	_
102	segunda	segundo	ADJ	ADJ	_	103	amod	_	TokenRange=490:497
103	5	_	NUM	NUM	NumType=Card	95	nmod	_	TokenRange=498:499
104	apos	_	ADP	ADP	_	106	case	_	TokenRange=500:504
105	a	o	DET	DET	_	106	det	_	TokenRange=505:506
106	deflagracao	deflagracao	NOUN	NOUN	_	88	nmod	_	TokenRange=507:518
107-108	da	_	_	_	_	_	_	_	TokenRange=519:521
107	de	de	ADP	ADP	_	110	case	_	_
108	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	110	det	_	_
109	nova	novo	ADJ	ADJ	_	110	amod	_	TokenRange=522:526
110	fase	fase	NOUN	NOUN	_	106	nmod	_	TokenRange=527:531
111-112	da	_	_	_	_	_	_	_	TokenRange=532:534
111	de	de	ADP	ADP	_	113	case	_	_
112	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	113	det	_	_
113	carne	carne	NOUN	NOUN	_	110	nmod	_	TokenRange=535:540
114	fraca	fraco	ADJ	ADJ	_	113	amod	_	TokenRange=541:546
115	a	_	ADP	ADP	_	106	case	_	SpacesAfter=\s\s|TokenRange=547:548

