# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = lula foi levado pela pf porque foi delatado diz malafaia comigo e uma vergonha pastor alvo da operacao timoteo afirmou ainda querer me comparar com petistas corruptos piada o mandado de conducao coercitiva na operacao timoteo provocou a ira do pastor silas malafaia nesta sextafeira 16 em seu twitter colerico o pastor publicou mensagens audio e video negando as suspeitas da investigacao que mira em um esquema de corrupcao em cobrancas judiciais de royalties da exploracao mineral eu sei o poder das trevas afirmou em audio malafaia e suspeito de apoiar na lavagem do dinheiro do esquema que recebeu valores do principal escritorio de advocacia investigado a suspeita a ser esclarecida pelos policiais e que este lider religioso pode ter emprestado contas correntes de uma instituicao religiosa sob sua influencia com a intencao de ocultar a origem ilicita dos valores a justica expediu mandado de conducao coercitiva do pastor para o rio em sua conta na rede social malafaia declarou estar em sao paulo nas mensagens que escreveu a seus seguidores no twitter malafaia negou as suspeitas e mirou tambem nos esquerdopatas aviso aos esquerdopatas n fui delatado por ninguem n estou envolvido em nada querer me comparar com petistas
1	lula	lula	NOUN	NOUN	_	3	nsubj:pass	_	TokenRange=0:4
2	foi	_	AUX	AUX	_	3	aux:pass	_	TokenRange=5:8
3	levado	levar	VERB	VERB	_	0	root	_	TokenRange=9:15
4-5	pela	_	_	_	_	_	_	_	TokenRange=16:20
4	por	por	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	pf	_	NOUN	NOUN	_	3	nmod	_	TokenRange=21:23
7	porque	_	CCONJ	CONJ	_	9	mark	_	TokenRange=24:30
8	foi	_	AUX	AUX	_	9	aux:pass	_	TokenRange=31:34
9	delatado	delatar	VERB	VERB	_	3	advcl	_	TokenRange=35:43
10	diz	dizer	VERB	VERB	_	3	advcl	_	TokenRange=44:47
11	malafaia	malafaia	NOUN	NOUN	_	10	nsubj	_	TokenRange=48:56
12	comigo	_	X	ADPPRON	_	10	nmod	_	TokenRange=57:63
13	e	e	CCONJ	CONJ	_	16	cc	_	TokenRange=64:65
14	uma	um	DET	DET	_	16	det	_	TokenRange=66:69
15	vergonha	vergonha	ADJ	ADJ	_	16	amod	_	TokenRange=70:78
16	pastor	pastor	NOUN	NOUN	_	12	conj	_	TokenRange=79:85
17	alvo	alvo	NOUN	NOUN	_	16	appos	_	TokenRange=86:90
18-19	da	_	_	_	_	_	_	_	TokenRange=91:93
18	de	de	ADP	ADP	_	20	case	_	_
19	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	20	det	_	_
