# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na duvida de que curso escolher apos o enem especialistas dao dicas de areas promissoras confira dicas de carreiras e profissoes que sao tendencias e continuarao em alta em 2018 muitos alunos que fazem o enem este ano estao ansiosos com a proximidade da segunda e ultima prova que acontecera no proximo domingo 12 seja medicina direito educacao fisica engenharia ou qualquer outro curso muitos ja decidiram qual pretendem seguir mas ainda em uma grande quantidade
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	duvida	duvida	NOUN	NOUN	_	17	nmod	_	TokenRange=3:9
4	de	_	ADP	ADP	_	7	mark	_	TokenRange=10:12
5	que	que	CCONJ	CONJ	_	7	mark	_	TokenRange=13:16
6	curso	curso	NOUN	NOUN	_	7	nsubj	_	TokenRange=17:22
7	escolher	escolher	VERB	VERB	_	3	nmod	_	TokenRange=23:31
8	apos	_	ADP	ADP	_	10	case	_	TokenRange=32:36
9	o	o	DET	DET	_	10	det	_	TokenRange=37:38
10	enem	_	NOUN	NOUN	_	7	nmod	_	TokenRange=39:43
11	especialistas	especialista	NOUN	NOUN	_	7	nsubj	_	TokenRange=44:57
12	dao	dar	VERB	VERB	_	3	nmod	_	TokenRange=58:61
13	dicas	dica	NOUN	NOUN	_	12	obj	_	TokenRange=62:67
14	de	de	ADP	ADP	_	15	case	_	TokenRange=68:70
15	areas	_	NOUN	NOUN	_	13	nmod	_	TokenRange=71:76
16	promissoras	promissor	ADJ	ADJ	_	15	amod	_	TokenRange=77:88
17	confira	conferir	VERB	VERB	_	0	root	_	TokenRange=89:96
18	dicas	dica	NOUN	NOUN	_	17	obj	_	TokenRange=97:102
19	de	de	ADP	ADP	_	20	case	_	TokenRange=103:105
20	carreiras	_	NOUN	NOUN	_	18	nmod	_	TokenRange=106:115
21	e	e	CCONJ	CONJ	_	22	cc	_	TokenRange=116:117
22	profissoes	profissoe	NOUN	NOUN	_	20	conj	_	TokenRange=118:128
23	que	_	PRON	PRON	_	24	nsubj	_	TokenRange=129:132
24	sao	_	VERB	VERB	_	20	acl:relcl	_	TokenRange=133:136
25	tendencias	tendencia	ADJ	ADJ	_	24	xcomp	_	TokenRange=137:147
26	e	e	CCONJ	CONJ	_	27	cc	_	TokenRange=148:149
27	continuarao	continuar	VERB	VERB	_	24	conj	_	TokenRange=150:161
28	em	em	ADP	ADP	_	29	case	_	TokenRange=162:164
29	alta	_	NOUN	NOUN	_	27	nmod	_	TokenRange=165:169
30	em	em	ADP	ADP	_	31	case	_	TokenRange=170:172
31	2018	_	NUM	NUM	NumType=Card	27	nmod	_	TokenRange=173:177
32	muitos	_	DET	DET	_	33	det	_	TokenRange=178:184
33	alunos	aluno	NOUN	NOUN	_	40	nsubj	_	TokenRange=185:191
34	que	_	PRON	PRON	_	35	nsubj	_	TokenRange=192:195
35	fazem	fazer	VERB	VERB	_	33	acl:relcl	_	TokenRange=196:201
36	o	o	DET	DET	_	37	det	_	TokenRange=202:203
37	enem	enem	NOUN	NOUN	_	35	obj	_	TokenRange=204:208
