# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja pontoschave da decisao de moro sobre recurso de lula defesa do expresidente apresentou embargos de declaracao contra sentenca que condenou lula por corrupcao passiva e lavagem de dinheiro recurso foi negado o juiz sergio moro negou nesta tercafeira 18 o primeiro recurso da defesa do expresidente luiz inacio lula da silva contra a sentenca que o condenou a 9 anos e 6 meses de prisao por corrupcao passiva e lavagem de dinheiro no processo que apura se um triplex em guaruja litoral de sao paulo foi propina paga pela oas a lula por meio de contratos da petrobras a defesa ainda pode apresentar uma apelacao recurso que vai ser analisado pelo trf
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	pontoschave	_	NOUN	NOUN	_	1	obj	_	TokenRange=5:16
3-4	da	_	_	_	_	_	_	_	TokenRange=17:19
3	de	de	ADP	ADP	_	5	case	_	_
4	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	5	det	_	_
5	decisao	decisao	NOUN	NOUN	_	2	nmod	_	TokenRange=20:27
6	de	de	ADP	ADP	_	7	case	_	TokenRange=28:30
7	moro	moro	NOUN	NOUN	_	5	nmod	_	TokenRange=31:35
8	sobre	_	ADP	ADP	_	9	case	_	TokenRange=36:41
9	recurso	recurso	NOUN	NOUN	_	5	nmod	_	TokenRange=42:49
10	de	de	ADP	ADP	_	11	case	_	TokenRange=50:52
11	lula	lula	NOUN	NOUN	_	9	nmod	_	TokenRange=53:57
12	defesa	_	NOUN	NOUN	_	16	nsubj	_	TokenRange=58:64
13-14	do	_	_	_	_	_	_	_	TokenRange=65:67
13	de	de	ADP	ADP	_	15	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	15	det	_	_
15	expresidente	expresidente	NOUN	NOUN	_	12	nmod	_	TokenRange=68:80
16	apresentou	apresentar	VERB	VERB	_	1	ccomp	_	TokenRange=81:91
17	embargos	embargo	NOUN	NOUN	_	16	obj	_	TokenRange=92:100
18	de	de	ADP	ADP	_	19	case	_	TokenRange=101:103
19	declaracao	declaracao	NOUN	NOUN	_	17	nmod	_	TokenRange=104:114
20	contra	_	ADP	ADP	_	21	case	_	TokenRange=115:121
21	sentenca	_	NOUN	NOUN	_	17	nmod	_	TokenRange=122:130
22	que	_	PRON	PRON	_	23	nsubj	_	TokenRange=131:134
23	condenou	condenar	VERB	VERB	_	21	acl:relcl	_	TokenRange=135:143
24	lula	_	NOUN	NOUN	_	23	obj	_	TokenRange=144:148
25	por	por	ADP	ADP	_	26	case	_	TokenRange=149:152
26	corrupcao	corrupcao	NOUN	NOUN	_	23	nmod	_	TokenRange=153:162
27	passiva	passivo	ADJ	ADJ	_	26	amod	_	TokenRange=163:170
28	e	e	CCONJ	CONJ	_	29	cc	_	TokenRange=171:172
29	lavagem	lavagem	NOUN	NOUN	_	26	conj	_	TokenRange=173:180
30	de	de	ADP	ADP	_	31	case	_	TokenRange=181:183
31	dinheiro	dinheiro	NOUN	NOUN	_	29	nmod	_	TokenRange=184:192
32	recurso	recurso	NOUN	NOUN	_	34	nsubj:pass	_	TokenRange=193:200
33	foi	_	AUX	AUX	_	34	aux:pass	_	TokenRange=201:204
34	negado	negar	VERB	VERB	_	1	parataxis	_	TokenRange=205:211
35	o	o	DET	DET	_	36	det	_	TokenRange=212:213
36	juiz	juiz	NOUN	NOUN	_	34	nsubj:pass	_	TokenRange=214:218
37	sergio	sergio	ADJ	ADJ	_	36	appos	_	TokenRange=219:225
38	moro	moro	NOUN	NOUN	_	36	appos	_	TokenRange=226:230
39	negou	negar	VERB	VERB	_	1	parataxis	_	TokenRange=231:236
40	nesta	_	ADP	ADP	_	41	case	_	TokenRange=237:242
41	tercafeira	_	NOUN	NOUN	_	39	nmod	_	TokenRange=243:253
42	18	_	NUM	NUM	NumType=Card	41	appos	_	TokenRange=254:256
43	o	o	DET	DET	_	45	det	_	TokenRange=257:258
44	primeiro	primeiro	ADJ	ADJ	_	45	amod	_	TokenRange=259:267
45	recurso	recurso	NOUN	NOUN	_	39	obj	_	TokenRange=268:275
46-47	da	_	_	_	_	_	_	_	TokenRange=276:278
46	de	de	ADP	ADP	_	48	case	_	_
47	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	48	det	_	_
48	defesa	_	NOUN	NOUN	_	45	nmod	_	TokenRange=279:285
49-50	do	_	_	_	_	_	_	_	TokenRange=286:288
49	de	de	ADP	ADP	_	51	case	_	_
50	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	51	det	_	_
51	expresidente	expresidente	NOUN	NOUN	_	48	nmod	_	TokenRange=289:301
52	luiz	luiz	ADJ	ADJ	_	51	appos	_	TokenRange=302:306
53	inacio	_	NOUN	NOUN	_	52	flat	_	TokenRange=307:313
54	lula	_	PROPN	PNOUN	_	52	flat	_	TokenRange=314:318
55-56	da	_	_	_	_	_	_	_	TokenRange=319:321
55	de	de	ADP	ADP	_	57	case	_	_
56	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	57	det	_	_
57	silva	silva	NOUN	NOUN	_	52	nmod	_	TokenRange=322:327
58	contra	_	ADP	ADP	_	60	case	_	TokenRange=328:334
59	a	o	DET	DET	_	60	det	_	TokenRange=335:336
60	sentenca	sentenca	NOUN	NOUN	_	39	nmod	_	TokenRange=337:345
61	que	_	PRON	PRON	_	63	nsubj	_	TokenRange=346:349
62	o	_	PRON	PRON	_	63	obj	_	TokenRange=350:351
63	condenou	condenar	VERB	VERB	_	60	acl:relcl	_	TokenRange=352:360
64	a	_	ADP	ADP	_	66	case	_	TokenRange=361:362
65	9	_	NUM	NUM	NumType=Card	66	nummod	_	TokenRange=363:364
66	anos	ano	NOUN	NOUN	_	63	nmod	_	TokenRange=365:369
67	e	e	CCONJ	CONJ	_	69	cc	_	TokenRange=370:371
68	6	_	NUM	NUM	NumType=Card	69	nummod	_	TokenRange=372:373
69	meses	mês	NOUN	NOUN	_	66	conj	_	TokenRange=374:379
70	de	de	ADP	ADP	_	71	case	_	TokenRange=380:382
71	prisao	prisao	NOUN	NOUN	_	69	nmod	_	TokenRange=383:389
72	por	por	ADP	ADP	_	73	case	_	TokenRange=390:393
73	corrupcao	corrupcao	NOUN	NOUN	_	63	nmod	_	TokenRange=394:403
74	passiva	passivo	ADJ	ADJ	_	73	amod	_	TokenRange=404:411
75	e	e	CCONJ	CONJ	_	76	cc	_	TokenRange=412:413
76	lavagem	lavagem	NOUN	NOUN	_	73	conj	_	TokenRange=414:421
77	de	de	ADP	ADP	_	78	case	_	TokenRange=422:424
78	dinheiro	dinheiro	NOUN	NOUN	_	76	nmod	_	TokenRange=425:433
79-80	no	_	_	_	_	_	_	_	TokenRange=434:436
79	em	em	ADP	ADP	_	81	case	_	_
80	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	81	det	_	_
81	processo	processo	NOUN	NOUN	_	63	nmod	_	TokenRange=437:445
82	que	_	PRON	PRON	_	83	nsubj	_	TokenRange=446:449
83	apura	apurar	VERB	VERB	_	81	acl:relcl	_	TokenRange=450:455
84	se	_	CCONJ	CONJ	_	94	mark	_	TokenRange=456:458
85	um	um	DET	DET	_	86	det	_	TokenRange=459:461
86	triplex	_	NOUN	NOUN	_	94	nsubj	_	TokenRange=462:469
87	em	em	ADP	ADP	_	88	case	_	TokenRange=470:472
88	guaruja	guaruja	NOUN	NOUN	_	86	nmod	_	TokenRange=473:480
89	litoral	litoral	ADJ	ADJ	_	88	amod	_	TokenRange=481:488
90	de	de	ADP	ADP	_	91	case	_	TokenRange=489:491
91	sao	sao	NOUN	NOUN	_	88	nmod	_	TokenRange=492:495
92	paulo	paulo	ADJ	ADJ	_	91	amod	_	TokenRange=496:501
93	foi	_	AUX	AUX	_	94	cop	_	TokenRange=502:505
94	propina	propina	NOUN	NOUN	_	83	ccomp	_	TokenRange=506:513
95	paga	pagar	VERB	VERB	_	94	acl	_	TokenRange=514:518
96-97	pela	_	_	_	_	_	_	_	TokenRange=519:523
96	por	por	ADP	ADP	_	98	case	_	_
97	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	98	det	_	_
98	oas	_	NOUN	NOUN	_	95	nmod	_	TokenRange=524:527
99	a	_	ADP	ADP	_	100	case	_	TokenRange=528:529
100	lula	lula	NOUN	NOUN	_	95	nmod	_	TokenRange=530:534
101	por	por	ADP	ADP	_	102	case	_	TokenRange=535:538
102	meio	meio	NOUN	NOUN	_	95	nmod	_	TokenRange=539:543
103	de	de	ADP	ADP	_	104	case	_	TokenRange=544:546
104	contratos	contrato	NOUN	NOUN	_	102	nmod	_	TokenRange=547:556
105-106	da	_	_	_	_	_	_	_	TokenRange=557:559
105	de	de	ADP	ADP	_	107	case	_	_
106	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	107	det	_	_
107	petrobras	petrobra	NOUN	NOUN	_	104	nmod	_	TokenRange=560:569
108	a	o	DET	DET	_	109	det	_	TokenRange=570:571
109	defesa	_	NOUN	NOUN	_	112	nsubj	_	TokenRange=572:578
110	ainda	ainda	ADV	ADV	_	112	advmod	_	TokenRange=579:584
111	pode	_	AUX	AUX	_	112	aux	_	TokenRange=585:589
