# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja fhc testemunha de lula expresidente tucano foi arrolado pela defesa do petista em acao sobre suposto trafico de influencia na aquisicao de cacas e na edicao de medida provisoria que beneficiou o setor automotivo o expresidente fernando henrique cardoso psdb testemunhou nesta tercafeira 12 ao juiz da 10 vara federal de brasilia vallisney oliveira arrolado pela defesa de lula em acao na qual o petista e reu por suposto trafico de influencia para que o governo da sucessora dilma rousseff adquirisse os cacas da saab e tambem para viabilizar a edicao da medida provisoria 627 editada pela petista em 2013 que prorrogou incentivos fiscais de montadoras de veiculos alem do tucano prestaram depoimento como testemunhas de lula o exministro da fazenda na gestao de fernando henrique pedro malan alem dos exministros da justica jose eduardo cardozo e da defesa nelson jobim os dois ultimos exerceram os cargos nos governos petistas
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	fhc	_	X	NOUN	_	1	obj	_	TokenRange=5:8
3	testemunha	testemunha	NOUN	NOUN	_	1	nsubj	_	TokenRange=9:19
4	de	de	ADP	ADP	_	5	case	_	TokenRange=20:22
5	lula	_	NOUN	NOUN	_	3	nmod	_	TokenRange=23:27
6	expresidente	expresidente	NOUN	NOUN	_	3	appos	_	TokenRange=28:40
7	tucano	tucano	ADJ	ADJ	_	6	amod	_	TokenRange=41:47
8	foi	_	AUX	AUX	_	9	aux:pass	_	TokenRange=48:51
9	arrolado	arrolar	VERB	VERB	_	1	ccomp	_	TokenRange=52:60
10-11	pela	_	_	_	_	_	_	_	TokenRange=61:65
10	por	por	ADP	ADP	_	12	case	_	_
11	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	12	det	_	_
12	defesa	_	NOUN	NOUN	_	9	nmod	_	TokenRange=66:72
13-14	do	_	_	_	_	_	_	_	TokenRange=73:75
13	de	de	ADP	ADP	_	15	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	15	det	_	_
15	petista	petista	NOUN	NOUN	_	12	nmod	_	TokenRange=76:83
16	em	em	ADP	ADP	_	17	case	_	TokenRange=84:86
17	acao	acao	NOUN	NOUN	_	9	nmod	_	TokenRange=87:91
18	sobre	_	ADP	ADP	_	20	case	_	TokenRange=92:97
19	suposto	suposto	ADJ	ADJ	_	20	amod	_	TokenRange=98:105
20	trafico	trafico	NOUN	NOUN	_	17	nmod	_	TokenRange=106:113
21	de	de	ADP	ADP	_	22	case	_	TokenRange=114:116
22	influencia	_	NOUN	NOUN	_	20	nmod	_	TokenRange=117:127
23-24	na	_	_	_	_	_	_	_	TokenRange=128:130
23	em	em	ADP	ADP	_	25	case	_	_
24	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	25	det	_	_
25	aquisicao	aquisicao	NOUN	NOUN	_	20	nmod	_	TokenRange=131:140
26	de	de	ADP	ADP	_	27	case	_	TokenRange=141:143
27	cacas	caca	NOUN	NOUN	_	25	nmod	_	TokenRange=144:149
28	e	e	CCONJ	CONJ	_	31	cc	_	TokenRange=150:151
29-30	na	_	_	_	_	_	_	_	TokenRange=152:154
29	em	em	ADP	ADP	_	31	case	_	_
30	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	31	det	_	_
31	edicao	edicao	NOUN	NOUN	_	20	conj	_	TokenRange=155:161
32	de	de	ADP	ADP	_	33	case	_	TokenRange=162:164
33	medida	medida	NOUN	NOUN	_	31	nmod	_	TokenRange=165:171
34	provisoria	provisorio	ADJ	ADJ	_	33	amod	_	TokenRange=172:182
35	que	_	PRON	PRON	_	36	nsubj	_	TokenRange=183:186
36	beneficiou	beneficiar	VERB	VERB	_	33	acl:relcl	_	TokenRange=187:197
37	o	o	DET	DET	_	38	det	_	TokenRange=198:199
38	setor	setor	NOUN	NOUN	_	36	obj	_	TokenRange=200:205
39	automotivo	automotivo	ADJ	ADJ	_	38	amod	_	TokenRange=206:216
40	o	o	DET	DET	_	41	det	_	TokenRange=217:218
41	expresidente	expresidente	NOUN	NOUN	_	36	nsubj	_	TokenRange=219:231
42	fernando	fernando	NOUN	NOUN	_	41	appos	_	TokenRange=232:240
43	henrique	henrique	NOUN	NOUN	_	42	flat	_	TokenRange=241:249
44	cardoso	cardoso	ADJ	ADJ	_	42	amod	_	TokenRange=250:257
45	psdb	_	PROPN	PNOUN	_	42	appos	_	TokenRange=258:262
