# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = brasilia na esteira do crime organizado que promove massacres em presidios e duela para assumir o comando do trafico em todo o pais uma nova faccao criminosa tenta controlar uma das maiores favelas da america latina a comunidade sol nascente a apenas 32 quilometros da praca dos tres poderes onde se tomam todas as decisoes da republica as drogas no entanto deixaram de
1	brasilia	brasilia	NOUN	NOUN	_	0	root	_	TokenRange=0:8
2-3	na	_	_	_	_	_	_	_	TokenRange=9:11
2	em	em	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	esteira	esteira	NOUN	NOUN	_	1	nmod	_	TokenRange=12:19
5-6	do	_	_	_	_	_	_	_	TokenRange=20:22
5	de	de	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	crime	crime	NOUN	NOUN	_	4	nmod	_	TokenRange=23:28
8	organizado	organizado	ADJ	ADJ	_	7	amod	_	TokenRange=29:39
9	que	_	PRON	PRON	_	10	nsubj	_	TokenRange=40:43
10	promove	promover	VERB	VERB	_	4	acl:relcl	_	TokenRange=44:51
11	massacres	massacre	NOUN	NOUN	_	10	obj	_	TokenRange=52:61
12	em	em	ADP	ADP	_	13	case	_	TokenRange=62:64
13	presidios	presidio	NOUN	NOUN	_	11	nmod	_	TokenRange=65:74
14	e	e	CCONJ	CONJ	_	15	cc	_	TokenRange=75:76
15	duela	duelar	VERB	VERB	_	10	conj	_	TokenRange=77:82
16	para	_	ADP	ADP	_	17	mark	_	TokenRange=83:87
17	assumir	assumir	VERB	VERB	_	15	advcl	_	TokenRange=88:95
18	o	o	DET	DET	_	19	det	_	TokenRange=96:97
19	comando	comando	NOUN	NOUN	_	17	obj	_	TokenRange=98:105
20-21	do	_	_	_	_	_	_	_	TokenRange=106:108
20	de	de	ADP	ADP	_	22	case	_	_
21	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	22	det	_	_
22	trafico	trafico	NOUN	NOUN	_	19	nmod	_	TokenRange=109:116
23	em	em	ADP	ADP	_	26	case	_	TokenRange=117:119
24	todo	_	DET	DET	_	26	det	_	TokenRange=120:124
25	o	o	DET	DET	_	26	det	_	TokenRange=125:126
26	pais	_	NOUN	NOUN	_	17	nmod	_	TokenRange=127:131
27	uma	um	DET	DET	_	29	det	_	TokenRange=132:135
28	nova	novo	ADJ	ADJ	_	29	amod	_	TokenRange=136:140
29	faccao	faccao	NOUN	NOUN	_	31	nsubj	_	TokenRange=141:147
30	criminosa	criminoso	ADJ	ADJ	_	29	amod	_	TokenRange=148:157
31	tenta	tentar	VERB	VERB	_	1	parataxis	_	TokenRange=158:163
32	controlar	controlar	VERB	VERB	_	31	xcomp	_	TokenRange=164:173
33	uma	_	PRON	PRON	_	32	obj	_	TokenRange=174:177
34-35	das	_	_	_	_	_	_	_	TokenRange=178:181
34	de	de	ADP	ADP	_	37	case	_	_
35	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	37	det	_	_
36	maiores	maior	ADJ	ADJ	_	37	amod	_	TokenRange=182:189
37	favelas	favela	NOUN	NOUN	_	33	nmod	_	TokenRange=190:197
38-39	da	_	_	_	_	_	_	_	TokenRange=198:200
38	de	de	ADP	ADP	_	40	case	_	_
39	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	40	det	_	_
40	america	america	NOUN	NOUN	_	37	nmod	_	TokenRange=201:208
41	latina	latino	ADJ	ADJ	_	40	amod	_	TokenRange=209:215
42	a	o	DET	DET	_	43	det	_	TokenRange=216:217
43	comunidade	comunidade	NOUN	NOUN	_	31	nsubj	_	TokenRange=218:228
44	sol	sol	NOUN	NOUN	_	43	appos	_	TokenRange=229:232
45	nascente	nascente	ADJ	ADJ	_	44	amod	_	TokenRange=233:241
46	a	_	ADP	ADP	_	49	case	_	TokenRange=242:243
47	apenas	apenas	ADV	ADV	_	48	advmod	_	TokenRange=244:250
48	32	_	NUM	NUM	NumType=Card	49	nummod	_	TokenRange=251:253
49	quilometros	quilometro	NOUN	NOUN	_	43	nmod	_	TokenRange=254:265
50-51	da	_	_	_	_	_	_	_	TokenRange=266:268
50	de	de	ADP	ADP	_	52	case	_	_
51	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	52	det	_	_
52	praca	praca	NOUN	NOUN	_	49	nmod	_	TokenRange=269:274
53-54	dos	_	_	_	_	_	_	_	TokenRange=275:278
53	de	de	ADP	ADP	_	56	case	_	_
54	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	56	det	_	_
55	tres	_	NUM	NUM	NumType=Card	56	nummod	_	TokenRange=279:283
