# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = notas fiscais contratos de fornecimentos de servicos e equipamentos registros do imovel copias de mensagens de email registros fotograficos laudos periciais relatorios de comissoes internas da petrobras e apuracoes do tribunal de contas da uniao tcu integram o rol de provas que levaram o juiz federal sergio moro a concluir pela culpa do expresidente luiz inacio lula da silva na primeira condenacao dele por envolvimento no mega esquema de corrupcao descoberto pela operacao lava jato lula foi condenado a 9 anos e seis meses de prisao nesta quintafeira 12 por moro pelo recebimento em beneficio proprio de r 22 milhoes de propinas da oas no apartamento triplex do guaruja sp que segundo a sentenca era propriedade oculta do petista lula e condenado a 9 anos e seis meses moro noa decreta prisao do petista os autos da acao penal do triplex do guaruja o processo foi aberto no dia 20 de setembro de 2016 a propina seria parte de uma corrupcao de r 87 milhoes paga pela oas pela participacao do grupo em
1	notas	nota	NOUN	NOUN	_	41	nsubj	_	TokenRange=0:5
2	fiscais	fiscal	ADJ	ADJ	_	1	amod	_	TokenRange=6:13
3	contratos	contrato	NOUN	NOUN	_	1	appos	_	TokenRange=14:23
4	de	de	ADP	ADP	_	5	case	_	TokenRange=24:26
5	fornecimentos	fornecimento	NOUN	NOUN	_	3	nmod	_	TokenRange=27:40
6	de	de	ADP	ADP	_	7	case	_	TokenRange=41:43
7	servicos	servico	NOUN	NOUN	_	5	nmod	_	TokenRange=44:52
8	e	e	CCONJ	CONJ	_	9	cc	_	TokenRange=53:54
9	equipamentos	equipamento	NOUN	NOUN	_	7	conj	_	TokenRange=55:67
10	registros	registro	NOUN	NOUN	_	1	amod	_	TokenRange=68:77
11-12	do	_	_	_	_	_	_	_	TokenRange=78:80
11	de	de	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	imovel	imovel	NOUN	NOUN	_	10	nmod	_	TokenRange=81:87
14	copias	copia	NOUN	NOUN	_	1	appos	_	TokenRange=88:94
15	de	de	ADP	ADP	_	16	case	_	TokenRange=95:97
16	mensagens	mensagem	NOUN	NOUN	_	14	nmod	_	TokenRange=98:107
17	de	de	ADP	ADP	_	18	case	_	TokenRange=108:110
18	email	email	NOUN	NOUN	_	16	nmod	_	TokenRange=111:116
19	registros	registro	NOUN	NOUN	_	1	appos	_	TokenRange=117:126
20	fotograficos	fotografico	ADJ	ADJ	_	19	amod	_	TokenRange=127:139
21	laudos	laudo	NOUN	NOUN	_	19	appos	_	TokenRange=140:146
22	periciais	pericial	ADJ	ADJ	_	21	amod	_	TokenRange=147:156
23	relatorios	relatorio	NOUN	NOUN	_	19	appos	_	TokenRange=157:167
24	de	de	ADP	ADP	_	25	case	_	TokenRange=168:170
25	comissoes	comissoe	NOUN	NOUN	_	23	nmod	_	TokenRange=171:180
26	internas	interno	ADJ	ADJ	_	25	amod	_	TokenRange=181:189
27-28	da	_	_	_	_	_	_	_	TokenRange=190:192
27	de	de	ADP	ADP	_	29	case	_	_
28	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	29	det	_	_
29	petrobras	petrobra	NOUN	NOUN	_	25	nmod	_	TokenRange=193:202
30	e	e	CCONJ	CONJ	_	31	cc	_	TokenRange=203:204
31	apuracoes	apuracoe	NOUN	NOUN	_	29	conj	_	TokenRange=205:214
32-33	do	_	_	_	_	_	_	_	TokenRange=215:217
32	de	de	ADP	ADP	_	34	case	_	_
33	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	34	det	_	_
34	tribunal	tribunal	NOUN	NOUN	_	31	nmod	_	TokenRange=218:226
35	de	de	ADP	ADP	_	36	case	_	TokenRange=227:229
36	contas	conta	NOUN	NOUN	_	34	nmod	_	TokenRange=230:236
37-38	da	_	_	_	_	_	_	_	TokenRange=237:239
37	de	de	ADP	ADP	_	39	case	_	_
38	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	39	det	_	_
39	uniao	uniao	NOUN	NOUN	_	34	nmod	_	TokenRange=240:245
40	tcu	_	ADJ	ADJ	_	39	flat	_	TokenRange=246:249
41	integram	integrar	VERB	VERB	_	0	root	_	TokenRange=250:258
