# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = durmo e acordo pensando nele diz mae de menino que sumiu no ac e deixou 14 livros criptografados desaparecimento de bruno borges de 25 anos completou mais de 40 dias mae diz que leu quatro livros do estudante entao me sinto gravida gravida dessa espera de esperar voce voltar de outra vez te acolher dentro dos meus bracos o trecho do texto faz parte de uma carta escrita pela psicologa e empresaria denise borges mae do estudante bruno borges desaparecido desde 27 de marco o jovem deixou para tras a familia e 14 livros codificados em seu quarto na capital do acre rio branco a carta que denise fez para o filho ganhou proporcao nas redes sociais e tambem nos aplicativos de mensagens no domingo 7 quando o sumico do jovem completou 40 dias e ela acreditava que ele voltaria no texto ela fala da saudade e da falta de noticias do filho que sumiu ha quase 50 dias a empresaria diz que esta gravida de bruno e que sente a necessidade de velo ao g1 a mae diz que nao cria mais expectativas em relacao a data que o filho deve voltar segundo ela a familia chegou a esperar que bruno chegasse no aniversario do pai ou ate mesmo no do irmao que e gemeo do estudante porem a espera foi frustrada e denise diz tentar evitar a
1	durmo	durmo	VERB	VERB	_	0	root	_	TokenRange=0:5
2	e	e	CCONJ	CONJ	_	3	cc	_	TokenRange=6:7
3	acordo	acordo	NOUN	NOUN	_	1	conj	_	TokenRange=8:14
4	pensando	pensar	VERB	VERB	_	1	acl	_	TokenRange=15:23
5	nele	_	X	ADPPRON	_	4	nmod	_	TokenRange=24:28
6	diz	dizer	VERB	VERB	_	1	parataxis	_	TokenRange=29:32
7	mae	mae	NOUN	NOUN	_	6	nsubj	_	TokenRange=33:36
8	de	de	ADP	ADP	_	9	case	_	TokenRange=37:39
9	menino	menino	NOUN	NOUN	_	7	nmod	_	TokenRange=40:46
10	que	_	PRON	PRON	_	11	nsubj	_	TokenRange=47:50
11	sumiu	sumir	VERB	VERB	_	7	acl:relcl	_	TokenRange=51:56
12-13	no	_	_	_	_	_	_	_	TokenRange=57:59
12	em	em	ADP	ADP	_	14	case	_	_
13	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	14	det	_	_
14	ac	_	PROPN	PNOUN	_	11	nmod	_	TokenRange=60:62
15	e	e	CCONJ	CONJ	_	16	cc	_	TokenRange=63:64
16	deixou	deixar	VERB	VERB	_	11	conj	_	TokenRange=65:71
17	14	_	NUM	NUM	NumType=Card	18	nummod	_	TokenRange=72:74
18	livros	livro	NOUN	NOUN	_	16	obj	_	TokenRange=75:81
19	criptografados	_	ADJ	ADJ	_	18	amod	_	TokenRange=82:96
20	desaparecimento	desaparecimento	NOUN	NOUN	_	27	nsubj	_	TokenRange=97:112
21	de	de	ADP	ADP	_	22	case	_	TokenRange=113:115
22	bruno	bruno	NOUN	NOUN	_	20	nmod	_	TokenRange=116:121
23	borges	borge	ADJ	ADJ	_	22	amod	_	TokenRange=122:128
24	de	de	ADP	ADP	_	26	case	_	TokenRange=129:131
25	25	_	NUM	NUM	NumType=Card	26	nummod	_	TokenRange=132:134
26	anos	ano	NOUN	NOUN	_	20	nmod	_	TokenRange=135:139
27	completou	completar	VERB	VERB	_	6	conj	_	TokenRange=140:149
28	mais	mais	ADV	ADV	_	174	advmod	_	TokenRange=150:154
29	de	de	ADP	ADP	_	28	case	_	TokenRange=155:157
30	40	_	NUM	NUM	NumType=Card	31	nummod	_	TokenRange=158:160
31	dias	dia	NOUN	NOUN	_	27	nmod	_	TokenRange=161:165
32	mae	mae	NOUN	NOUN	_	33	nsubj	_	TokenRange=166:169
33	diz	dizer	VERB	VERB	_	6	ccomp	_	TokenRange=170:173
34	que	que	CCONJ	CONJ	_	35	mark	_	TokenRange=174:177
35	leu	ler	VERB	VERB	_	33	ccomp	_	TokenRange=178:181
36	quatro	_	NUM	NUM	NumType=Card	37	nummod	_	TokenRange=182:188
37	livros	livro	NOUN	NOUN	_	35	obj	_	TokenRange=189:195
38-39	do	_	_	_	_	_	_	_	TokenRange=196:198
38	de	de	ADP	ADP	_	40	case	_	_
39	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	40	det	_	_
40	estudante	estudante	NOUN	NOUN	_	37	nmod	_	TokenRange=199:208
41	entao	entao	ADV	ADV	_	43	advmod	_	TokenRange=209:214
42	me	_	PRON	PRON	_	43	iobj	_	TokenRange=215:217
43	sinto	sentir	VERB	VERB	_	35	advcl	_	TokenRange=218:223
44	gravida	gravido	ADJ	ADJ	_	43	xcomp	_	TokenRange=224:231
45	gravida	gravido	ADJ	ADJ	_	43	xcomp	_	TokenRange=232:239
46	dessa	_	ADP	ADP	_	47	case	_	TokenRange=240:245
47	espera	espera	NOUN	NOUN	_	35	nmod	_	TokenRange=246:252
48	de	_	ADP	ADP	_	49	mark	_	TokenRange=253:255
49	esperar	esperar	VERB	VERB	_	47	nmod	_	TokenRange=256:263
50	voce	_	PRON	PRON	_	51	nsubj	_	TokenRange=264:268
51	voltar	voltar	VERB	VERB	_	49	ccomp	_	TokenRange=269:275
52	de	de	ADP	ADP	_	54	case	_	TokenRange=276:278
53	outra	_	DET	DET	_	54	det	_	TokenRange=279:284
54	vez	vez	NOUN	NOUN	_	51	nmod	_	TokenRange=285:288
55	te	_	PRON	PRON	_	56	obj	_	TokenRange=289:291
56	acolher	acolher	VERB	VERB	_	49	ccomp	_	TokenRange=292:299
57	dentro	dentro	ADV	ADV	_	56	advmod	_	TokenRange=300:306
58-59	dos	_	_	_	_	_	_	_	TokenRange=307:310
58	de	de	ADP	ADP	_	61	case	_	_
59	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	61	det	_	_
60	meus	_	DET	DET	_	61	det:poss	_	TokenRange=311:315
61	bracos	braco	NOUN	NOUN	_	57	nmod	_	TokenRange=316:322
62	o	o	DET	DET	_	63	det	_	TokenRange=323:324
63	trecho	trecho	NOUN	NOUN	_	67	nsubj	_	TokenRange=325:331
64-65	do	_	_	_	_	_	_	_	TokenRange=332:334
64	de	de	ADP	ADP	_	66	case	_	_
65	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	66	det	_	_
66	texto	texto	NOUN	NOUN	_	63	nmod	_	TokenRange=335:340
67	faz	fazer	VERB	VERB	_	178	ccomp	_	TokenRange=341:344
68	parte	parte	NOUN	NOUN	_	67	obj	_	TokenRange=345:350
69	de	de	ADP	ADP	_	71	case	_	TokenRange=351:353
70	uma	um	DET	DET	_	71	det	_	TokenRange=354:357
71	carta	carta	NOUN	NOUN	_	68	nmod	_	TokenRange=358:363
72	escrita	escrever	VERB	VERB	_	71	acl	_	TokenRange=364:371
