# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quintafeira 18 de maio de 2017 boa noite aqui estao as principais noticias para voce terminar o dia beminformado nao renunciarei essa foi a frase mais importante do esperado pronunciamento de michel temer na tarde de hoje em que ele negou envolvimento com irregularidades narradas na delacao da jbs que levaram o stf a autorizar a abertura de uma investigacao sobre o presidente horas depois o stf divulgou as gravacoes em que temer conversa com um dos donos da empresa era o desfecho de um dia que comecou quente logo cedo uma nova fase da operacao lava jato prendeu a irma e um primo do tucano aecio neves que foi afastado do senado por ordem judicial e se licenciou da presidencia do psdb tamanha turbulencia politica deixou
1	quintafeira	quintafeira	NOUN	NOUN	_	10	parataxis	_	TokenRange=0:11
2	18	_	NUM	NUM	NumType=Card	1	nmod	_	TokenRange=12:14
3	de	de	ADP	ADP	_	4	case	_	TokenRange=15:17
4	maio	_	PROPN	PNOUN	_	2	nmod	_	TokenRange=18:22
5	de	de	ADP	ADP	_	6	case	_	TokenRange=23:25
6	2017	_	NUM	NUM	NumType=Card	4	nmod	_	TokenRange=26:30
7	boa	bom	ADJ	ADJ	_	8	amod	_	TokenRange=31:34
8	noite	noite	NOUN	NOUN	_	10	nsubj	_	TokenRange=35:40
9	aqui	aqui	ADV	ADV	_	10	advmod	_	TokenRange=41:45
10	estao	_	VERB	VERB	_	0	root	_	TokenRange=46:51
11	as	o	DET	DET	_	13	det	_	TokenRange=52:54
12	principais	principal	ADJ	ADJ	_	13	amod	_	TokenRange=55:65
13	noticias	noticia	NOUN	NOUN	_	10	nsubj	_	TokenRange=66:74
14	para	_	ADP	ADP	_	16	mark	_	TokenRange=75:79
15	voce	_	PRON	PRON	_	16	nsubj	_	TokenRange=80:84
16	terminar	terminar	VERB	VERB	_	13	nmod	_	TokenRange=85:93
17	o	o	DET	DET	_	18	det	_	TokenRange=94:95
18	dia	dia	NOUN	NOUN	_	16	obj	_	TokenRange=96:99
19	beminformado	beminformado	ADJ	ADJ	_	18	amod	_	TokenRange=100:112
20	nao	nao	ADV	ADV	Polarity=Neg	21	advmod	_	TokenRange=113:116
21	renunciarei	renunciar	VERB	VERB	_	10	csubj	_	TokenRange=117:128
22	essa	_	PRON	PRON	_	25	nsubj	_	TokenRange=129:133
23	foi	_	AUX	AUX	_	25	cop	_	TokenRange=134:137
24	a	o	DET	DET	_	25	det	_	TokenRange=138:139
25	frase	frase	NOUN	NOUN	_	10	nsubj	_	TokenRange=140:145
26	mais	mais	ADV	ADV	_	27	advmod	_	TokenRange=146:150
27	importante	importante	ADJ	ADJ	_	25	amod	_	TokenRange=151:161
28-29	do	_	_	_	_	_	_	_	TokenRange=162:164
28	de	de	ADP	ADP	_	31	case	_	_
29	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
30	esperado	esperado	ADJ	ADJ	_	31	amod	_	TokenRange=165:173
31	pronunciamento	pronunciamento	NOUN	NOUN	_	25	nmod	_	TokenRange=174:188
32	de	de	ADP	ADP	_	34	case	_	TokenRange=189:191
33	michel	michel	ADJ	ADJ	_	34	amod	_	TokenRange=192:198
34	temer	temer	NOUN	NOUN	_	31	nmod	_	TokenRange=199:204
35-36	na	_	_	_	_	_	_	_	TokenRange=205:207
35	em	em	ADP	ADP	_	37	case	_	_
36	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	37	det	_	_
37	tarde	tarde	NOUN	NOUN	_	31	nmod	_	TokenRange=208:213
38	de	_	ADP	ADP	_	39	mark	_	TokenRange=214:216
39	hoje	hoje	ADV	ADV	_	37	nmod	_	TokenRange=217:221
40	em	em	ADP	ADP	_	41	case	_	TokenRange=222:224
41	que	_	PRON	PRON	_	43	nmod	_	TokenRange=225:228
42	ele	_	PRON	PRON	_	43	nsubj	_	TokenRange=229:232
