# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = usar bitcoin como dinheiro e vantajoso g1 foi as compras e mostra o resultado reporter do g1 abasteceu uma carteira virtual e foi atras de lojas que aceitam a criptomoeda em sao paulo e no comercio eletronico ha poucas opcoes e produto custou ate 60 mais e se em vez de pagar nossas compras com dinheiro cartao ou cheque usassemos bitcoins a moeda virtual atraiu milhares de brasileiros nos ultimos meses animados com a valorizacao expressiva registrada recentemente mas afinal o que da para comprar com essa moeda o bitcoin teve uma expressiva valorizacao em 2017 com a moeda comecando o ano cotada a us 998 e chegando a valer quase us 20 mil no fim do ano passado no inicio de 2018 o valor da moeda t eve uma brusca queda chegando a
1	usar	usar	VERB	VERB	_	8	csubj	_	TokenRange=0:4
2	bitcoin	bitcoin	NOUN	NOUN	_	1	obj	_	TokenRange=5:12
3	como	como	ADP	ADP	_	4	case	_	TokenRange=13:17
4	dinheiro	dinheiro	NOUN	NOUN	_	1	nmod	_	TokenRange=18:26
5	e	e	CCONJ	CONJ	_	6	cc	_	TokenRange=27:28
6	vantajoso	vantajoso	ADJ	ADJ	_	4	conj	_	TokenRange=29:38
7	g1	_	NOUN	NOUN	_	1	obj	_	TokenRange=39:41
8	foi	_	VERB	VERB	_	0	root	_	TokenRange=42:45
9	as	o	DET	DET	_	10	det	_	TokenRange=46:48
10	compras	compra	NOUN	NOUN	_	8	nsubj	_	TokenRange=49:56
11	e	e	CCONJ	CONJ	_	12	cc	_	TokenRange=57:58
12	mostra	mostrar	VERB	VERB	_	19	conj	_	TokenRange=59:65
13	o	o	DET	DET	_	14	det	_	TokenRange=66:67
14	resultado	resultado	NOUN	NOUN	_	12	obj	_	TokenRange=68:77
15	reporter	reporter	NOUN	NOUN	_	14	appos	_	TokenRange=78:86
16-17	do	_	_	_	_	_	_	_	TokenRange=87:89
16	de	de	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	g1	_	NOUN	NOUN	_	15	nmod	_	TokenRange=90:92
19	abasteceu	abastecer	VERB	VERB	_	1	conj	_	TokenRange=93:102
20	uma	um	DET	DET	_	21	det	_	TokenRange=103:106
21	carteira	_	NOUN	NOUN	_	19	obj	_	TokenRange=107:115
22	virtual	virtual	ADJ	ADJ	_	21	amod	_	TokenRange=116:123
23	e	e	CCONJ	CONJ	_	24	cc	_	TokenRange=124:125
24	foi	_	VERB	VERB	_	19	conj	_	TokenRange=126:129
25	atras	atras	ADV	ADV	_	24	advmod	_	TokenRange=130:135
26	de	de	ADP	ADP	_	27	case	_	TokenRange=136:138
27	lojas	loja	NOUN	NOUN	_	25	nmod	_	TokenRange=139:144
28	que	_	PRON	PRON	_	29	nsubj	_	TokenRange=145:148
29	aceitam	aceitar	VERB	VERB	_	27	acl:relcl	_	TokenRange=149:156
30	a	o	DET	DET	_	31	det	_	TokenRange=157:158
31	criptomoeda	_	NOUN	NOUN	_	29	obj	_	TokenRange=159:170
32	em	em	ADP	ADP	_	33	case	_	TokenRange=171:173
33	sao	sao	NOUN	NOUN	_	29	nmod	_	TokenRange=174:177
34	paulo	paulo	NOUN	NOUN	_	33	flat	_	TokenRange=178:183
35	e	e	CCONJ	CONJ	_	38	cc	_	TokenRange=184:185
36-37	no	_	_	_	_	_	_	_	TokenRange=186:188
36	em	em	ADP	ADP	_	38	case	_	_
37	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	38	det	_	_
38	comercio	comercio	NOUN	NOUN	_	33	conj	_	TokenRange=189:197
39	eletronico	eletronico	ADJ	ADJ	_	38	amod	_	TokenRange=198:208
40	ha	_	VERB	VERB	_	19	conj	_	TokenRange=209:211
41	poucas	_	DET	DET	_	42	det	_	TokenRange=212:218
42	opcoes	opcoe	NOUN	NOUN	_	40	obj	_	TokenRange=219:225
43	e	e	CCONJ	CONJ	_	45	cc	_	TokenRange=226:227
44	produto	produto	NOUN	NOUN	_	45	nsubj	_	TokenRange=228:235
45	custou	custar	VERB	VERB	_	67	conj	_	TokenRange=236:242
46	ate	ate	ADV	ADV	_	47	advmod	_	TokenRange=243:246
47	60	_	NUM	NUM	NumType=Card	45	nmod	_	TokenRange=247:249
48	mais	mais	ADV	ADV	_	45	advmod	_	TokenRange=250:254
49	e	e	CCONJ	CONJ	_	137	cc	_	TokenRange=255:256
50	se	_	CCONJ	CONJ	_	137	mark	_	TokenRange=257:259
51	em	em	ADP	ADP	_	52	case	_	TokenRange=260:262
52	vez	vez	NOUN	NOUN	_	137	nmod	_	TokenRange=263:266
53	de	_	ADP	ADP	_	54	mark	_	TokenRange=267:269
54	pagar	pagar	VERB	VERB	_	141	nmod	_	TokenRange=270:275
55	nossas	_	DET	DET	_	56	det:poss	_	TokenRange=276:282
56	compras	compra	NOUN	NOUN	_	54	obj	_	TokenRange=283:290
57	com	com	ADP	ADP	_	58	case	_	TokenRange=291:294
58	dinheiro	dinheiro	NOUN	NOUN	_	54	nmod	_	TokenRange=295:303
59	cartao	cartao	NOUN	NOUN	_	58	appos	_	TokenRange=304:310
60	ou	ou	CCONJ	CONJ	_	61	cc	_	TokenRange=311:313
61	cheque	cheque	NOUN	NOUN	_	59	conj	_	TokenRange=314:320
62	usassemos	azer	VERB	VERB	_	29	conj	_	TokenRange=321:330
63	bitcoins	bitcoin	NOUN	NOUN	_	62	obj	_	TokenRange=331:339
64	a	o	DET	DET	_	65	det	_	TokenRange=340:341
65	moeda	moeda	NOUN	NOUN	_	62	obj	_	TokenRange=342:347
66	virtual	virtual	ADJ	ADJ	_	65	amod	_	TokenRange=348:355
67	atraiu	atrair	VERB	VERB	_	8	conj	_	TokenRange=356:362
68	milhares	_	NUM	NUM	NumType=Card	70	nummod	_	TokenRange=363:371
69	de	de	ADP	ADP	_	70	case	_	TokenRange=372:374
70	brasileiros	brasileiro	NOUN	NOUN	_	67	obj	_	TokenRange=375:386
71-72	nos	_	_	_	_	_	_	_	TokenRange=387:390
71	em	em	ADP	ADP	_	74	case	_	_
72	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	74	det	_	_
73	ultimos	ultimo	ADJ	ADJ	_	74	amod	_	TokenRange=391:398
74	meses	mês	NOUN	NOUN	_	67	nmod	_	TokenRange=399:404
75	animados	animado	ADJ	ADJ	_	74	amod	_	TokenRange=405:413
76	com	com	ADP	ADP	_	78	case	_	TokenRange=414:417
77	a	o	DET	DET	_	78	det	_	TokenRange=418:419
78	valorizacao	valorizacao	NOUN	NOUN	_	75	nmod	_	TokenRange=420:431
79	expressiva	expressivo	ADJ	ADJ	_	78	amod	_	TokenRange=432:442
80	registrada	registrar	VERB	VERB	_	78	acl	_	TokenRange=443:453
81	recentemente	recentemente	ADV	ADV	_	80	advmod	_	TokenRange=454:466
82	mas	mas	CCONJ	CONJ	_	84	cc	_	TokenRange=467:470
83	afinal	afinal	ADV	ADV	_	137	advmod	_	TokenRange=471:477
84	o	_	PRON	PRON	_	95	conj	_	TokenRange=478:479
85	que	_	PRON	PRON	_	95	obj	_	TokenRange=480:483
86-87	da	_	_	_	_	_	_	_	TokenRange=484:486
86	de	de	ADP	ADP	_	89	case	_	_
87	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	89	det	_	_
88	para	_	ADP	ADP	_	89	mark	_	TokenRange=487:491
89	comprar	comprar	VERB	VERB	_	84	nmod	_	TokenRange=492:499
