,with stopwords,with stopwords,without stopwords,without stopwords
Measure,true>fake,%,true>fake,%
betweenness,1882.0,0.52,1901.0,0.53
closeness,1917.0,0.53,1661.0,0.46
eigenvector,1877.0,0.52,1866.0,0.52
katz,1834.0,0.51,1625.0,0.45
pagerank,1900.0,0.53,1660.0,0.46
hubs,1889.0,0.52,1644.0,0.46
authorities,1881.0,0.52,1633.0,0.45
clustering,1874.0,0.52,2131.0,0.59
average_clustering,1874.0,0.52,2131.0,0.59
correlation,1584.0,0.44,1946.0,0.54
transitivity,1869.0,0.52,2403.0,0.67
density,1925.0,0.53,1698.0,0.47
