,,with stopwords,without stopwords
measure,algorithm,accuracy,accuracy
betweenness,SVM,0.5645833333333333,0.5645833333333333
betweenness,NB,0.5619444444444446,0.5619444444444446
betweenness,MLP,0.5611111111111111,0.5630555555555555
pagerank,SVM,0.5536111111111112,0.5536111111111112
pagerank,MLP,0.5529166666666666,0.5505555555555556
pagerank,NB,0.5477777777777778,0.5477777777777778
eigenvector,SVM,0.54125,0.5418055555555557
eigenvector,MLP,0.5402777777777777,0.5386111111111112
correlation,MLP,0.534861111111111,0.533611111111111
katz,MLP,0.5334722222222222,0.5316666666666666
correlation,NB,0.5330555555555555,0.5330555555555555
eigenvector,NB,0.5326388888888889,0.5333333333333334
closeness,SVM,0.5322222222222222,0.5322222222222222
hubs,DT,0.5319444444444444,0.5333333333333333
katz,SVM,0.5318055555555555,0.5318055555555555
hubs,RF,0.5311111111111111,0.5330555555555556
correlation,SVM,0.5309722222222222,0.5309722222222222
closeness,MLP,0.53,0.53
authorities,DT,0.5295833333333333,0.5306944444444446
authorities,RF,0.5294444444444444,0.5334722222222222
hubs,KNN,0.5283333333333333,0.5161111111111112
katz,NB,0.5281944444444444,0.5281944444444444
transitivity,RF,0.5261111111111112,0.525
katz,KNN,0.5255555555555557,0.5255555555555557
authorities,MLP,0.5252777777777777,0.5318055555555555
transitivity,DT,0.5248611111111112,0.5248611111111112
transitivity,SVM,0.5245833333333334,0.5245833333333334
closeness,NB,0.5240277777777778,0.5240277777777778
authorities,KNN,0.5238888888888888,0.5248611111111112
transitivity,MLP,0.5234722222222221,0.5262499999999999
density,DT,0.5226388888888889,0.5226388888888889
density,RF,0.5206944444444445,0.5194444444444445
eigenvector,KNN,0.5202777777777778,0.5216666666666667
correlation,RF,0.5186111111111111,0.5183333333333333
correlation,DT,0.5173611111111112,0.5173611111111112
pagerank,DT,0.5145833333333332,0.5145833333333332
pagerank,RF,0.513888888888889,0.5140277777777778
correlation,KNN,0.5138888888888888,0.5138888888888888
betweenness,RF,0.5129166666666667,0.5125
betweenness,DT,0.512361111111111,0.512361111111111
transitivity,KNN,0.5122222222222222,0.5122222222222222
betweenness,KNN,0.5120833333333333,0.5120833333333333
closeness,DT,0.5116666666666667,0.5116666666666667
density,KNN,0.5116666666666667,0.5116666666666667
closeness,RF,0.5093055555555555,0.5111111111111111
pagerank,KNN,0.5086111111111111,0.5086111111111111
katz,RF,0.5076388888888889,0.5068055555555555
closeness,KNN,0.5075000000000001,0.5075000000000001
katz,DT,0.5072222222222222,0.5072222222222222
eigenvector,RF,0.5069444444444444,0.5097222222222222
hubs,MLP,0.5069444444444444,0.5133333333333333
eigenvector,DT,0.5058333333333332,0.51
average_clustering,KNN,0.5043055555555556,0.5043055555555556
density,NB,0.5036111111111111,0.5036111111111111
transitivity,NB,0.5020833333333334,0.5020833333333334
hubs,SVM,0.5016666666666667,0.5001388888888889
authorities,SVM,0.5006944444444443,0.49430555555555555
authorities,NB,0.4998611111111111,0.4990277777777778
clustering,KNN,0.49930555555555556,0.49930555555555556
hubs,NB,0.4991666666666667,0.4988888888888889
density,MLP,0.49861111111111106,0.5006944444444444
density,SVM,0.49861111111111106,0.49861111111111106
average_clustering,MLP,0.4979166666666666,0.50125
average_clustering,SVM,0.4963888888888889,0.4963888888888889
average_clustering,NB,0.49319444444444444,0.49319444444444444
average_clustering,DT,0.4918055555555556,0.4918055555555556
clustering,RF,0.4915277777777778,0.49527777777777776
average_clustering,RF,0.4915277777777778,0.4920833333333333
clustering,DT,0.4897222222222222,0.4897222222222222
clustering,SVM,0.48888888888888893,0.48888888888888893
clustering,MLP,0.4865277777777778,0.4884722222222222
clustering,NB,0.48597222222222225,0.48597222222222225
