,with stopwords,with stopwords,without stopwords,without stopwords
Measure,true>fake,%,true>fake,%
betweenness,1633.0,0.45,1439.0,0.4
closeness,1776.0,0.49,1609.0,0.45
eigenvector,1567.0,0.44,1673.0,0.46
katz,1735.0,0.48,1588.0,0.44
pagerank,1827.0,0.51,1566.0,0.43
hubs,1798.0,0.5,1555.0,0.43
authorities,1810.0,0.5,1549.0,0.43
clustering,2095.0,0.58,1828.0,0.51
average_clustering,2095.0,0.58,1828.0,0.51
correlation,1964.0,0.55,1724.0,0.48
transitivity,2285.0,0.63,1757.0,0.49
density,1941.0,0.54,1668.0,0.46
