,with stopwords,with stopwords,without stopwords,without stopwords
Measure,true>fake,%,true>fake,%
transitivity,1547.0,0.43,1871.0,0.52
betweenness,1872.0,0.52,1946.0,0.54
eigenvector,1878.0,0.52,1654.0,0.46
correlation,1584.0,0.44,1495.0,0.42
closeness,1917.0,0.53,1495.0,0.42
katz,1834.0,0.51,1618.0,0.45
pagerank,1796.0,0.5,1561.0,0.43
hubs,1821.0,0.51,1572.0,0.44
authorities,1821.0,0.51,1579.0,0.44
density,1904.0,0.53,1406.0,0.39
clustering,1778.0,0.49,1668.0,0.46
average_clustering,1778.0,0.49,1864.0,0.52
