,,with stopwords,without stopwords
measure,algorithm,accuracy,accuracy
betweenness,SVM,0.5295833333333333,0.5730555555555555
eigenvector,SVM,0.5177777777777777,0.5327777777777778
katz,KNN,0.5156944444444445,0.5225
pagerank,SVM,0.5130555555555556,0.5162500000000001
katz,SVM,0.5129166666666667,0.5181944444444445
density,SVM,0.5120833333333332,0.5180555555555555
authorities,SVM,0.5120833333333332,0.5175000000000001
hubs,SVM,0.5120833333333332,0.5175000000000001
closeness,SVM,0.5106944444444445,0.5229166666666666
eigenvector,NB,0.5077777777777778,0.5169444444444444
betweenness,KNN,0.5061111111111111,0.5290277777777778
eigenvector,RF,0.5058333333333334,0.5084722222222222
closeness,KNN,0.5058333333333334,0.4990277777777778
betweenness,NB,0.5052777777777777,0.5144444444444445
eigenvector,DT,0.505,0.5093055555555555
betweenness,MLP,0.5033333333333333,0.5351388888888889
katz,NB,0.5033333333333333,0.5083333333333333
hubs,NB,0.5027777777777778,0.5094444444444444
authorities,NB,0.5027777777777778,0.5094444444444444
density,NB,0.5027777777777778,0.5095833333333333
pagerank,MLP,0.5026388888888889,0.5051388888888889
closeness,NB,0.5026388888888889,0.5151388888888888
closeness,RF,0.5023611111111111,0.5034722222222221
density,MLP,0.5022222222222222,0.5050000000000001
density,DT,0.5022222222222222,0.5216666666666667
katz,MLP,0.5022222222222221,0.512361111111111
eigenvector,KNN,0.5016666666666667,0.5154166666666666
authorities,MLP,0.5015277777777778,0.5048611111111112
closeness,DT,0.5009722222222222,0.5019444444444445
closeness,MLP,0.5008333333333334,0.5101388888888889
authorities,DT,0.5005555555555555,0.5216666666666667
pagerank,DT,0.5005555555555555,0.5216666666666667
hubs,DT,0.5005555555555555,0.5216666666666667
katz,DT,0.5005555555555554,0.5209722222222222
hubs,MLP,0.5002777777777778,0.5055555555555555
eigenvector,MLP,0.5,0.5091666666666667
betweenness,RF,0.49944444444444447,0.5237499999999999
pagerank,NB,0.49930555555555556,0.5023611111111111
pagerank,RF,0.49861111111111106,0.52
hubs,KNN,0.49847222222222226,0.5156944444444445
pagerank,KNN,0.49819444444444444,0.5086111111111111
hubs,RF,0.49763888888888885,0.5240277777777778
betweenness,DT,0.49749999999999994,0.5216666666666667
authorities,KNN,0.4968055555555555,0.5131944444444444
density,RF,0.4965277777777778,0.5193055555555556
authorities,RF,0.4963888888888889,0.5222222222222224
density,KNN,0.4951388888888889,0.5168055555555556
katz,RF,0.4922222222222222,0.5204166666666666
