1 moro morar 0 VERB root
2 o o 3 DET det
3 corrupto corrupto 1 NOUN obj
4 e e 5 CCONJ cc
5 pior pior 3 ADJ conj
6 que que 8 CCONJ case
7 o o 8 DET det
8 ladrao ladrao 5 NOUN nmod
9 e e 11 CCONJ cc
10 tao tao 11 ADV advmod
11 maligno maligno 5 ADJ conj
12 quanto quanto 16 CCONJ mark
13 o o 14 DET det
14 assassino assassino 11 NOUN nmod
15 nao nao 16 ADV advmod
16 existe existir 1 VERB advcl
17 crime crime 16 NOUN nsubj
18 mais mais 19 ADV advmod
19 serio serio 17 ADJ amod
20 de de 24 ADP case
21 o o 24 DET det
22 que que 20 ADP fixed
23 a o 24 DET det
24 corrupcao corrupcao 27 NOUN nmod
25 outras outras 26 DET det
26 ofensas ofensa 27 NOUN nsubj
27 violam violar 1 VERB conj
28 uma um 29 DET det
29 lei lei 27 NOUN obj
30 enquanto enquanto 33 CCONJ mark
31 a o 32 DET det
32 corrupcao corrupcao 33 NOUN nsubj
33 ataca atacar 27 VERB advcl
34 as o 35 DET det
35 fundacoes fundacoe 33 NOUN obj
36 de de 39 ADP case
37 todas todas 39 DET det
38 as o 39 DET det
39 leis lei 35 NOUN nmod
40 nao nao 41 ADV advmod
41 existe existir 1 VERB parataxis
42 ofensa ofensa 41 NOUN nsubj
43 mais mais 44 ADV advmod
44 grave grave 42 ADJ amod
45 de de 49 ADP case
46 o o 49 DET det
47 que que 45 ADP fixed
48 a o 49 DET det
49 daquele daquele 42 X nmod
50 em em 52 ADP case
51 o o 52 DET det
52 qual qual 54 PRON nmod
53 e e 54 AUX aux:pass
54 depositada depositar 49 VERB acl:relcl
55 tao tao 56 ADV advmod
56 sagrada sagrado 57 ADJ amod
57 confianca confianca 41 NOUN nsubj
58 quem quem 60 PRON nsubj
59 a a 60 PRON obj
60 vende vende 57 VERB acl:relcl
61 para para 64 ADP case
62 seu seu 64 DET det:poss
63 proprio proprio 64 ADJ amod
64 ganho ganho 60 NOUN nmod
65 e e 66 CCONJ cc
66 enriquecimento enriquecimento 64 NOUN conj
67 e e 70 CCONJ cc
68 nao nao 69 ADV advmod
69 menos menos 70 ADV advmod
70 grave grave 60 ADJ conj
71 e e 73 CCONJ cc
72 a o 73 DET det
73 ofensa ofensa 57 NOUN conj
74 de de 76 ADP case
75 o o 76 DET det
76 pagador pagador 73 NOUN nmod
77 de de 78 ADP case
78 propinas propina 76 NOUN nmod
79 ele ele 73 PRON nsubj
80 e e 81 CCONJ cc
81 pior pior 79 ADJ conj
82 que que 84 ADP case
83 o o 84 DET det
84 ladrao ladrao 81 NOUN nmod
85 porque porque 88 CCONJ mark
86 o o 87 DET det
87 ladrao ladrao 88 NOUN nsubj
88 rouba roubar 60 VERB advcl
89 o o 90 DET det
90 individuo individuo 88 NOUN obj
91 enquanto enquanto 96 CCONJ mark
92 que que 91 CCONJ fixed
93 o o 94 DET det
94 agente agente 96 NOUN nsubj
95 corrupto corrupto 94 ADJ amod
96 saqueia saquer 88 VERB advcl
97 uma um 98 DET det
98 cidade cidade 96 NOUN obj
99 inteira inteiro 98 ADJ amod
100 ou ou 102 CCONJ cc
101 o o 102 DET det
102 estado estado 98 NOUN conj
103 ele ele 88 PRON nsubj
104 e e 106 CCONJ cc
105 tao tao 106 ADV advmod
106 maligno maligno 103 ADJ conj
107 como como 109 ADP case
108 o o 109 DET det
109 assassino assassino 106 NOUN nmod
110 porque porque 115 CCONJ mark
111 o o 112 DET det
112 assassino assassino 115 NOUN nsubj
113 pode pode 115 AUX aux
114 somente somente 115 ADV advmod
115 tomar tomar 27 VERB advcl
116 uma um 117 DET det
117 vida vida 115 NOUN obj
118 contra contra 120 ADP case
119 a o 120 DET det
120 lei lei 117 NOUN nmod
121 enquanto enquanto 131 CCONJ mark
122 o o 123 DET det
123 agente agente 131 NOUN nsubj
124 corrupto corrupto 123 ADJ amod
125 e e 127 CCONJ cc
126 a o 127 DET det
127 pessoa pessoa 123 NOUN conj
128 que que 130 PRON nsubj
129 o o 130 PRON obj
130 corrompe corromper 127 VERB acl:relcl
131 miram miram 57 VERB acl:relcl
132 de de 133 ADP case
133 forma forma 131 NOUN nmod
134 semelhante semelhante 133 ADJ amod
135 o o 136 DET det
136 assassinato assassinato 131 NOUN obj
137 de de 140 ADP case
138 a o 140 DET det
139 propria proprio 140 ADJ amod
140 comunidade comunidade 136 NOUN nmod
