1 novas novo 2 ADJ amod
2 eleicoes eleicoe 5 NOUN nsubj
3 presidenciais presidencial 2 ADJ amod
4 podem podem 5 AUX aux
5 ocorrer ocorrer 0 VERB root
6 ainda ainda 5 ADV advmod
7 esse esse 8 DET det
8 ano ano 5 NOUN nmod
9 simultanea simultanea 5 ADJ xcomp
10 as o 11 DET det
11 disputas disputa 5 NOUN obj
12 municipais municipal 11 ADJ amod
13 o o 14 DET det
14 vicepresidente vicepresidente 21 NOUN nsubj
15 de de 17 ADP case
16 o o 17 DET det
17 tse tse 14 NOUN nmod
18 ministro ministro 14 NOUN appos
19 gilmar gilmar 18 NOUN appos
20 mendes mendes 44 NOUN flat
21 disse dizer 5 VERB parataxis
22 que que 35 CCONJ mark
23 a o 24 DET det
24 acao acao 35 NOUN nsubj:pass
25 de de 26 ADP case
26 impugnacao impugnacao 24 NOUN nmod
27 de de 28 ADP case
28 mandato mandato 26 NOUN nmod
29 contra contra 31 ADP case
30 a o 31 DET det
31 chapa chapa 24 NOUN nmod
32 dilma/temer dilma/temer 31 ADJ amod
33 devera devera 35 AUX aux
34 ser ser 35 AUX aux:pass
35 julgada julgar 21 VERB ccomp
36 por por 38 ADP case
37 o o 38 DET det
38 tribunal tribunal 35 NOUN nmod
39 ate ate 40 ADP case
40 junho junho 35 PROPN nmod
41 desse desse 42 ADP case
42 ano ano 40 NOUN nmod
43 o o 44 DET det
44 psdb psdb 46 NOUN nsubj
45 partido partido 44 NOUN flat
46 alega alegar 21 VERB ccomp
47 em em 49 ADP case
48 a o 49 DET det
49 acao acao 46 NOUN nmod
50 que que 51 CCONJ mark
51 houve haver 46 VERB ccomp
52 abusos abuso 51 NOUN obj
53 de de 54 ADP case
54 poderes poderes 52 NOUN nmod
55 economico economico 54 ADJ amod
56 e e 57 CCONJ cc
57 politico politico 55 ADJ conj
58 por por 59 ADP case
59 parte parte 51 NOUN nmod
60 de de 62 ADP case
61 a o 62 DET det
62 chapa chapa 59 NOUN nmod
63 dilma/temer dilma/temer 62 ADJ amod
64 eles eles 66 PRON nsubj
65 teriam ter 66 AUX aux
66 recebido receber 46 VERB ccomp
67 dinheiro dinheiro 66 NOUN obj
68 de de 69 ADP case
69 propina propina 67 NOUN nmod
70 de de 72 ADP case
71 a o 72 DET det
72 petrobras petrobra 67 NOUN nmod
73 atraves atraves 66 ADV advmod
74 de de 75 ADP case
75 empresas empresa 73 NOUN nmod
76 investigadas investigar 75 VERB acl
77 em em 79 ADP case
78 a o 79 DET det
79 lavajato lavajato 76 NOUN nmod
80 agora agora 83 ADV mark
81 que que 80 CCONJ fixed
82 foram foram 83 AUX aux:pass
83 citados citar 66 VERB advcl
84 a a 85 ADP case
85 presidente presidente 83 NOUN nsubj:pass
86 e e 88 CCONJ cc
87 o o 88 DET det
88 vice vice 85 NOUN conj
89 provavelmente provavelmente 90 ADV advmod
90 havera haver 192 VERB ccomp
91 compartilhamento compartilhamento 90 NOUN obj
92 de de 93 ADP case
93 provas prova 91 NOUN nmod
94 varias varias 93 NOUN appos
95 delas delas 94 X nmod
96 ligadas ligar 93 VERB acl
97 a a 98 ADP case
98 lava lava 96 NOUN nmod
99 jato jato 98 ADJ flat
100 se se 102 CCONJ mark
101 se se 102 PRON expl:pv
102 concluir concluir 90 VERB advcl
103 neste neste 104 ADP case
104 semestre semestre 102 NOUN nmod
105 melhor melhor 104 ADJ amod
106 o o 108 DET det
107 eventual eventual 108 ADJ amod
108 desfecho desfecho 118 NOUN nsubj
109 desse desse 110 ADP case
110 processo processo 108 NOUN nmod
111 em em 113 ADP case
112 o o 113 DET det
113 sentido sentido 108 NOUN nmod
114 de de 117 ADP case
115 a o 117 DET det
116 sua sua 117 DET det:poss
117 aceitacao aceitacao 113 NOUN nmod
118 significa significar 133 VERB acl:relcl
119 a o 120 DET det
120 cassacao cassacao 118 NOUN obj
121 de de 123 ADP case
122 os o 123 DET det
123 mandatos mandato 120 NOUN nmod
124 e e 126 CCONJ cc
125 a o 126 DET det
126 realizacao realizacao 123 NOUN conj
127 de de 128 ADP case
128 eleicoes eleicoe 126 NOUN nmod
129 disse dizer 5 VERB parataxis
130 o o 131 DET det
131 ministro ministro 129 NOUN nsubj
132 em em 133 ADP case
133 entrevista entrevista 129 NOUN nmod
134 para para 136 ADP case
135 o o 136 DET det
136 portal portal 133 NOUN nmod
137 uol uol 136 X appos
138 o o 140 DET det
139 eventual eventual 140 ADJ amod
140 desfecho desfecho 232 NOUN nsubj
141 desse desse 142 ADP case
142 processo processo 140 NOUN nmod
143 em em 145 ADP case
144 o o 145 DET det
145 sentido sentido 150 NOUN nmod
146 de de 149 ADP case
147 a o 149 DET det
148 sua sua 149 DET det:poss
149 aceitacao aceitacao 145 NOUN nmod
150 significa significar 133 VERB acl:relcl
151 a o 152 DET det
152 cassacao cassacao 150 NOUN obj
153 de de 155 ADP case
154 os o 155 DET det
155 mandatos mandato 152 NOUN nmod
156 e e 158 CCONJ cc
157 a o 158 DET det
158 realizacao realizacao 152 NOUN conj
159 de de 160 ADP case
160 eleicoes eleicoe 158 NOUN nmod
161 a o 163 DET det
162 eventual eventual 163 ADJ amod
163 eleicao eleicao 150 NOUN nsubj
164 poderia poder 165 AUX aux
165 ser ser 46 VERB ccomp
166 simultanea simultaneo 165 ADJ xcomp
167 as o 168 DET det
168 disputas disputa 35 NOUN nsubj:pass
169 municipais municipal 168 ADJ amod
170 disse dizer 21 VERB parataxis
171 mendes mendes 170 NOUN obj
172 para para 173 ADP case
173 ele ele 170 PRON nmod
174 a o 176 DET det
175 eventual eventual 176 ADJ amod
176 eleicao eleicao 46 NOUN nsubj
177 poderia poder 178 AUX aux
178 ser ser 46 VERB ccomp
179 simultanea simultaneo 46 ADJ ccomp
180 as o 181 DET det
181 disputas disputa 46 NOUN nsubj
182 municipais municipal 181 ADJ amod
183 marcadas marcar 181 VERB acl
184 para para 186 ADP case
185 o o 186 DET det
186 comeco comeco 183 NOUN nmod
187 de de 188 ADP case
188 outubro outubro 186 PROPN nmod
189 a o 190 DET det
190 gente gente 66 NOUN nsubj
191 nao nao 192 ADV advmod
192 sabe saber 46 VERB parataxis
193 se se 196 CCONJ mark
194 as o 195 DET det
195 provas prova 196 NOUN nsubj
196 existem existir 192 VERB ccomp
197 se se 198 CCONJ mark
198 diz dizer 66 VERB advcl
199 que que 201 CCONJ mark
200 elas elas 201 PRON nsubj
201 existem existir 198 VERB ccomp
202 e e 206 CCONJ cc
203 elas elas 206 PRON nsubj:pass
204 podem podem 206 AUX aux
205 ser ser 206 AUX aux:pass
206 carreadas carrear 201 VERB conj
207 a a 209 ADP case
208 os o 209 DET det
209 autos auto 206 NOUN nmod
210 de de 212 ADP case
211 a o 212 DET det
212 acao acao 209 NOUN nmod
213 de de 214 ADP case
214 impugnacao impugnacao 212 NOUN nmod
215 de de 216 ADP case
216 mandato mandato 214 NOUN nmod
217 e e 219 CCONJ cc
218 claro claro 219 ADJ advmod
219 contrastadas contrastado 206 ADJ conj
220 com com 222 ADP case
221 outros outros 222 DET det
222 elementos elemento 219 NOUN nmod
223 comentou comentar 102 VERB conj
224 o o 225 DET det
225 ministro ministro 223 NOUN nsubj
226 o o 227 DET det
227 ministro ministro 232 NOUN nsubj
228 dias dia 108 NOUN nmod
229 toffoli toffoli 231 ADJ amod
230 atual atual 231 ADJ amod
231 presidente presidente 227 NOUN appos
232 deixara deixar 223 VERB ccomp
233 o o 234 DET det
234 tse tse 232 NOUN obj
235 em em 236 ADP case
236 maio maio 232 PROPN nmod
237 e e 247 CCONJ cc
238 o o 247 DET det
239 comando comando 247 NOUN nsubj
240 de de 242 ADP case
241 o o 242 DET det
242 julgamento julgamento 239 NOUN nmod
243 de de 245 ADP case
244 a o 245 DET det
245 acao acao 242 NOUN nmod
246 pode pode 247 AUX aux
247 acontecer acontecer 232 VERB conj
248 sob sob 250 ADP case
249 o o 250 DET det
250 comando comando 247 NOUN nmod
251 de de 252 ADP case
252 gilmar gilmar 250 NOUN nmod
253 mendes mendes 252 NOUN flat
