1 fugiu fugir 0 VERB root
2 filho filho 1 NOUN obj
3 de de 4 ADP case
4 lula lula 2 NOUN nmod
5 foi foi 1 VERB parataxis
6 para para 8 ADP case
7 os o 8 DET det
8 eua eua 5 NOUN nmod
9 pf pf 5 NOUN nsubj
10 teve ter 12 AUX aux
11 que que 12 CCONJ mark
12 arrombar arrombar 1 VERB conj
13 a o 14 DET det
14 porta porta 12 NOUN obj
15 de de 17 ADP case
16 o o 17 DET det
17 ape ape 14 NOUN nmod
18 de de 19 ADP case
19 luxo luxo 17 NOUN nmod
20 para para 21 ADP mark
21 cumprir cumprir 12 VERB advcl
22 mandado mandado 21 NOUN obj
23 para para 24 ADP mark
24 cumprir cumprir 12 VERB advcl
25 um um 26 DET det
26 mandado mandado 24 NOUN obj
27 de de 28 ADP case
28 busca busca 26 NOUN nmod
29 e e 30 CCONJ cc
30 apreensao apreensao 28 NOUN conj
31 em em 33 ADP case
32 a o 33 DET det
33 casa casa 24 NOUN nmod
34 de de 35 ADP case
35 luis luis 33 NOUN nmod
36 claudio claudio 35 NOUN flat
37 lula lula 35 NOUN appos
38 de de 40 ADP case
39 a o 40 DET det
40 silva silva 37 NOUN nmod
41 filho filho 37 NOUN appos
42 prodigio prodigio 41 NOUN appos
43 de de 45 ADP case
44 o o 45 DET det
45 expresidente expresidente 42 NOUN nmod
46 lula lula 45 ADJ flat
47 a o 48 DET det
48 pf pf 49 NOUN nsubj
49 precisou precisar 1 VERB conj
50 pular pular 49 VERB xcomp
51 o o 52 DET det
52 muro muro 50 NOUN obj
53 e e 54 CCONJ cc
54 arrombar arrombar 50 VERB conj
55 a o 56 DET det
56 porta porta 54 NOUN obj
57 de de 59 ADP case
58 o o 59 DET det
59 apartamento apartamento 56 NOUN nmod
60 de de 61 ADP case
61 luxo luxo 59 NOUN nmod
62 em em 64 ADP case
63 o o 64 DET det
64 bairro bairro 54 NOUN nmod
65 jardins jardim 64 NOUN appos
66 em em 67 ADP case
67 sp sp 148 NOUN nmod
68 a o 69 DET det
69 pf pf 70 NOUN nsubj
70 chegou chegar 49 VERB conj
71 as o 73 DET det
72 5h50 5h50 70 NUM nmod
73 nopredio nopredio 70 NOUN nmod
74 onde onde 89 ADV advmod
75 o o 76 DET det
76 empresario empresario 89 NOUN nsubj
77 citado citar 76 VERB acl
78 em em 80 ADP case
79 a o 80 DET det
80 operacao operacao 77 NOUN nmod
81 zelotes zelote 80 NOUN flat
82 mora morar 73 VERB acl:relcl
83 com com 85 ADP case
84 a o 85 DET det
85 esposa esposo 82 NOUN nmod
86 os o 87 DET det
87 porteiros porteiro 89 NOUN nsubj
88 nao nao 89 ADV advmod
89 deixaram deixar 70 VERB ccomp
90 a o 91 DET det
91 policia policia 89 NOUN obj
92 entrar entrar 91 VERB acl:inf
93 porque porque 95 CCONJ mark
94 nao nao 95 ADV advmod
95 havia haver 89 VERB advcl
96 ninguem ninguem 95 NOUN obj
97 em em 98 ADP case
98 casa casa 96 NOUN nmod
99 a o 100 DET det
100 equipe equipe 82 NOUN nsubj
101 entao entao 102 ADV advmod
102 decidiu decidir 73 VERB acl:relcl
103 pular pular 102 VERB xcomp
104 o o 105 DET det
105 portao portao 103 NOUN obj
106 e e 107 CCONJ cc
107 entrar entrar 103 VERB conj
108 em em 110 ADP case
109 o o 110 DET det
110 predio predio 107 NOUN nmod
111 logo logo 113 ADV advmod
112 apos apos 113 CCONJ mark
113 arrombaram arrombar 89 VERB advcl
114 a o 115 DET det
115 porta porta 113 NOUN obj
116 de de 118 ADP case
117 o o 118 DET det
118 apartamento apartamento 115 NOUN nmod
119 e e 121 CCONJ cc
120 so so 121 ADV advmod
121 permaneceram permanecer 89 VERB conj
122 em em 124 ADP case
123 o o 124 DET det
124 local local 121 NOUN nmod
125 ate ate 127 ADP case
126 as o 127 DET det
127 9h 9h 121 NUM nmod
128 de de 130 ADP case
129 a o 130 DET det
130 manha manha 127 NOUN nmod
131 os o 132 DET det
132 porteiros porteiro 133 NOUN nsubj
133 disseram dizer 49 VERB conj
134 a a 135 ADP case
135 pf pf 133 NOUN iobj
136 que que 139 CCONJ mark
137 luis luis 139 NOUN nsubj
138 claudio claudio 137 NOUN flat
139 estava estar 133 VERB ccomp
140 em em 142 ADP case
141 nova novo 142 ADJ amod
142 york york 139 PROPN nmod
143 ha ha 148 VERB advcl
144 alguns alguns 145 DET det
145 meses mês 143 NOUN nmod
146 luis luis 148 NOUN nsubj
147 claudio claudio 146 NOUN flat
148 instalou instalar 49 VERB conj
149 cameras camera 148 NOUN obj
150 de de 151 ADP case
151 seguranca seguranca 149 NOUN nmod
152 em em 154 ADP case
153 os o 154 DET det
154 comodos comodo 148 NOUN nmod
155 de de 157 ADP case
156 o o 157 DET det
157 apartamento apartamento 154 NOUN nmod
158 as o 159 DET det
159 instalacoes instalacoe 161 NOUN nsubj:pass
160 foram foram 161 AUX aux:pass
161 feitas feitas 49 VERB parataxis
162 apos apos 165 ADP mark
163 ele ele 165 PRON nsubj:pass
164 ser ser 165 AUX aux:pass
165 citado citar 70 VERB advcl
166 em em 168 ADP case
167 a o 168 DET det
168 operacao operacao 165 NOUN nmod
