1 tempestade tempestade 7 NOUN nsubj
2 em em 4 ADP case
3 o o 4 DET det
4 senado senado 1 NOUN nmod
5 senadores senador 7 NOUN nsubj
6 se se 7 PRON obj
7 revoltam revoltar 0 VERB root
8 com com 10 ADP case
9 o o 10 DET det
10 pt pt 7 NOUN nmod
11 rui rui 7 NOUN nsubj
12 falcao falcao 11 NOUN flat
13 e e 15 CCONJ cc
14 um um 15 DET det
15 covarde covarde 12 NOUN conj
16 e e 17 CCONJ cc
17 covardes covarde 15 NOUN conj
18 a o 19 DET det
19 historia historia 21 NOUN nsubj
20 nao nao 21 ADV advmod
21 registra registrar 7 VERB conj
22 a o 23 DET det
23 maioria maioria 21 NOUN obj
24 de de 26 ADP case
25 os o 26 DET det
26 senadores senador 23 NOUN nmod
27 brasileiros brasileiro 26 ADJ amod
28 inclusive inclusive 32 ADV advmod
29 os o 30 DET det
30 petistas petista 32 NOUN nsubj
31 se se 32 PRON obj
32 mostrou mostrar 7 VERB conj
33 indignada indignado 32 ADJ xcomp
34 por por 36 ADP case
35 a o 36 DET det
36 forma forma 32 NOUN nmod
37 que que 47 PRON obj
38 o o 39 DET det
39 presidente presidente 47 NOUN nsubj
40 nacional nacional 39 ADJ amod
41 de de 43 ADP case
42 o o 43 DET det
43 partido partido 39 NOUN nmod
44 de de 46 ADP case
45 os o 46 DET det
46 trabalhadores trabalhador 43 NOUN nmod
47 reagiu reagir 36 VERB acl:relcl
48 diante diante 47 ADV advmod
49 de de 51 ADP case
50 a o 51 DET det
51 prisao prisao 48 NOUN nmod
52 de de 54 ADP case
53 o o 54 DET det
54 senador senador 51 NOUN nmod
55 delcidio delcidio 54 ADJ appos
56 amaral amaral 54 ADJ amod
57 todos todos 58 PRON nsubj
58 lamentaram lamentar 36 VERB acl:relcl
59 uma um 60 DET det
60 nota nota 58 NOUN obj
61 emitida emitir 60 VERB acl
62 por por 64 ADP case
63 o o 64 DET det
64 pt pt 61 PROPN nmod
65 em em 67 ADP case
66 a o 67 DET det
67 qual qual 71 PRON nmod
68 o o 69 DET det
69 partido partido 71 NOUN nsubj
70 simplesmente simplesmente 71 ADV advmod
71 abandonou abandonar 60 VERB acl:relcl
72 um um 71 PRON obj
73 de de 75 ADP case
74 os o 75 DET det
75 seus seus 72 PRON nmod
76 o o 77 DET det
77 senador senador 82 NOUN nsubj
78 omar omar 77 NOUN appos
79 aziz aziz 78 NOUN flat
80 psd/am psd/am 78 NOUN flat
81 se se 82 PRON obj
82 irritou irritar 60 VERB acl:relcl
83 em em 85 ADP case
84 o o 85 DET det
85 plenario plenario 82 NOUN nmod
86 de de 88 ADP case
87 o o 88 DET det
88 senado senado 85 NOUN nmod
89 hoje hoje 82 ADV advmod
90 25 25 85 NUM nmod
91 e e 92 CCONJ cc
92 bradou bradar 82 VERB conj
93 sobre sobre 95 ADP case
94 a o 95 DET det
95 prisao prisao 92 NOUN nmod
96 de de 98 ADP case
97 o o 98 DET det
98 senador senador 95 NOUN nmod
99 delcidio delcidio 98 ADJ amod
100 amaral amaral 98 ADJ amod
101 rui rui 82 NOUN nsubj
102 falcao falcao 101 NOUN flat
103 e e 105 CCONJ cc
104 um um 105 DET det
105 covarde covarde 101 NOUN conj
106 e e 107 CCONJ cc
107 covardes covarde 105 NOUN conj
108 a o 109 DET det
109 historia historia 92 NOUN nsubj
110 nao nao 111 ADV advmod
111 registra registrar 101 VERB conj
112 volto volto 92 NOUN obj
113 a a 114 ADP mark
114 repetir repetir 112 VERB nmod
115 rui rui 114 NOUN obj
116 falcao falcao 115 NOUN flat
117 e e 119 CCONJ cc
118 um um 119 DET det
119 covarde covarde 116 NOUN conj
120 ele ele 122 PRON nsubj
121 se se 122 PRON obj
122 acovardou acovardar 32 VERB conj
123 duas duas 124 NUM nummod
124 vezes vez 226 NOUN nmod
