1 ha ha 0 VERB root
2 suspeitas suspeitas 1 NOUN obj
3 de de 6 ADP mark
4 que que 6 CCONJ mark
5 mantega mantega 6 NOUN nsubj
6 sabia saber 2 VERB nmod
7 de de 9 ADP case
8 a o 9 DET det
9 operacao operacao 6 NOUN nmod
10 de de 12 ADP case
11 a o 12 DET det
12 pf pf 9 NOUN nmod
13 e e 15 CCONJ cc
14 teria ter 15 AUX aux
15 tentado tentar 6 VERB conj
16 se se 17 PRON obj
17 esconder esconder 15 VERB xcomp
18 em em 20 ADP case
19 o o 20 DET det
20 hospital hospital 17 NOUN nmod
21 albert albert 20 NOUN appos
22 einstein einstein 21 ADJ flat
23 apos apos 25 ADP mark
24 ser ser 25 AUX aux:pass
25 liberado liberar 6 VERB advcl
26 ontem ontem 25 ADV advmod
27 22 22 25 NUM nmod
28 por por 32 ADP case
29 o o 32 DET det
30 por por 32 ADP case
31 o o 32 DET det
32 juiz juiz 25 NOUN nmod
33 sergio sergio 32 ADJ amod
34 moro moro 32 NOUN appos
35 o o 36 DET det
36 exministro exministro 40 NOUN nsubj
37 guido guido 36 ADJ appos
38 mantega mantega 36 NOUN appos
39 nao nao 40 ADV advmod
40 voltou voltar 1 VERB conj
41 para para 43 ADP case
42 o o 43 DET det
43 hospital hospital 40 NOUN nmod
44 albert albert 43 NOUN appos
45 einstein einstein 44 NOUN flat
46 onde onde 47 ADV advmod
47 estaria estar 43 VERB acl:relcl
48 sua sua 49 DET det:poss
49 esposa esposo 47 NOUN nsubj
50 mantega mantega 49 NOUN appos
51 que que 52 PRON nsubj
52 teve ter 50 VERB acl:relcl
53 sua sua 54 DET det:poss
54 prisao prisao 52 NOUN obj
55 temporaria temporar 54 ADJ amod
56 revogada revogado 54 ADJ amod
57 foi foi 58 AUX aux
58 correndo correr 181 VERB ccomp
59 para para 61 ADP case
60 seu seu 61 DET det:poss
61 apartamento apartamento 58 NOUN nmod
62 fazer fazer 58 VERB xcomp
63 um um 64 DET det
64 checklist checklist 62 NOUN obj
65 e e 66 CCONJ cc
66 verificar verificar 62 VERB conj
67 o o 66 PRON obj
68 que que 70 PRON nsubj:pass
69 foi foi 70 AUX aux:pass
70 levado levar 67 VERB acl:relcl
71 por por 73 ADP case
72 a o 73 DET det
73 policia policia 70 NOUN nmod
74 federal federal 73 ADJ amod
75 de de 76 ADP case
76 acordo acordo 70 NOUN nmod
77 com com 78 ADP case
78 informacoes informacoe 76 NOUN nmod
79 de de 82 ADP case
80 os o 82 DET det
81 principais principal 82 ADJ amod
82 jornais jornal 78 NOUN nmod
83 somente somente 47 ADV advmod
84 apos apos 40 VERB advcl
85 algumas algumas 86 DET det
86 horas hora 84 NOUN nmod
87 e e 90 CCONJ cc
88 que que 90 CCONJ mark
89 ele ele 90 PRON nsubj
90 retornou retornar 47 VERB conj
91 a a 93 ADP case
92 o o 93 DET det
93 hospital hospital 90 NOUN nmod
94 para para 95 ADP mark
95 ficar ficar 90 VERB advcl
96 com com 98 ADP case
97 a o 98 DET det
98 esposa esposo 95 NOUN nmod
99 principais principal 100 ADJ amod
100 lideres lider 95 NOUN nsubj
101 de de 103 ADP case
102 o o 103 DET det
103 pt pt 100 NOUN nmod
104 se se 105 PRON expl:pv
105 manifestaram manifestar 1 VERB conj
106 em em 108 ADP case
107 as o 108 DET det
108 redes rede 105 NOUN nmod
109 sociais social 108 ADJ amod
110 dizendo dizer 105 VERB acl
111 que que 114 CCONJ mark
112 mantega mantega 114 NOUN nsubj:pass
113 foi foi 114 AUX aux:pass
114 retirado retirar 110 VERB ccomp
115 por por 117 ADP case
116 a o 117 DET det
117 pf pf 114 NOUN nmod
118 de de 120 ADP case
119 um um 120 DET det
120 centro centro 114 NOUN nmod
121 cirurgico cirurgico 120 ADJ amod
122 as o 123 ADP case
123 pressas pressa 120 NOUN nmod
124 onde onde 127 ADV advmod
125 a o 126 DET det
126 esposa esposo 127 NOUN nsubj
127 passaria passar 123 VERB acl:relcl
128 por por 130 ADP case
129 uma um 130 DET det
130 cirurgia cirurgia 127 NOUN nmod
131 devido dever 134 VERB case
132 a a 131 ADP case
133 o o 131 DET det
134 cancer cancer 127 NOUN nmod
135 lula lula 134 NOUN appos
136 chegou chegar 138 AUX aux
137 a a 138 ADP mark
138 dizer dizer 1 VERB advcl
139 que que 229 CCONJ mark
140 o o 141 DET det
141 tratamento tratamento 229 NOUN nsubj:pass
142 dado dar 141 VERB acl
143 a a 145 ADP case
144 o o 145 DET det
145 exministro exministro 142 NOUN nmod
146 foi foi 138 VERB ccomp
147 desumano desumano 146 ADJ xcomp
148 horas hora 149 NOUN nmod
149 depois depois 25 ADV advmod
150 a o 151 DET det
151 apresentadora apresentador 25 NOUN nsubj:pass
152 marina marina 151 NOUN appos
153 mantega mantega 152 NOUN flat
154 filha filho 151 NOUN appos
155 de de 157 ADP case
156 o o 157 DET det
157 exministro exministro 154 NOUN nmod
158 de de 159 ADP case
159 lula lula 157 NOUN nmod
160 afirmou afirmar 1 VERB parataxis
161 que que 167 CCONJ mark
162 a o 163 DET det
163 madrasta madrasta 167 NOUN nsubj:pass
164 nao nao 167 ADV advmod
165 estava estar 167 AUX aux
166 sendo ser 167 AUX aux:pass
167 operada operar 160 VERB ccomp
168 em em 170 ADP case
169 o o 170 DET det
170 momento momento 167 NOUN nmod
171 de de 173 ADP case
172 a o 173 DET det
173 prisao prisao 170 NOUN nmod
174 de de 176 ADP case
175 o o 176 DET det
176 pai pai 173 NOUN nmod
177 como como 179 CCONJ mark
178 foi foi 179 AUX aux:pass
179 noticiado noticiar 40 VERB advcl
180 nao nao 181 ADV advmod
181 sabia saber 40 VERB conj
182 que que 185 CCONJ mark
183 a o 184 DET det
184 eli eli 185 PRON nsubj
185 estava estar 181 VERB ccomp
186 em em 188 ADP case
187 o o 188 DET det
188 hospital hospital 185 NOUN nmod
189 fiquei ficar 190 AUX aux
190 sabendo saber 181 VERB ccomp
191 porque porque 192 CCONJ mark
192 liguei ligar 190 VERB advcl
193 la la 192 PRON obj
194 em em 195 ADP case
195 casa casa 192 NOUN nmod
196 o o 192 PRON obj
197 que que 198 PRON obj
198 sei saber 196 VERB acl:relcl
199 e e 203 CCONJ cc
200 que que 203 CCONJ mark
201 ela ela 203 PRON nsubj
202 foi foi 203 AUX aux
203 fazer fazer 58 VERB conj
204 uma um 205 DET det
205 endoscopia endoscopia 203 NOUN obj
206 nao nao 208 ADV advmod
207 estava estar 208 AUX aux
208 operando operar 114 VERB conj
209 ela ela 210 PRON nsubj
210 tem ter 208 VERB conj
211 cancer cancer 210 NOUN obj
212 desde desde 213 ADP case
