1 olha olhar 0 VERB root
2 ele ele 1 PRON nsubj
3 ai ai 1 ADV advmod
4 de de 6 ADP case
5 novo novo 6 ADJ amod
6 filho filho 3 NOUN nmod
7 de de 8 ADP case
8 lula lula 6 NOUN nmod
9 nao nao 10 ADV advmod
10 trabalhou trabalhar 1 VERB ccomp
11 mas mas 12 CCONJ cc
12 recebeu receber 10 VERB conj
13 r r 12 NOUN obj
14 500 500 15 NUM nummod
15 mil mil 13 NUM nummod
16 de de 18 ADP case
17 o o 18 DET det
18 clube clube 12 NOUN nmod
19 corinthians corinthians 18 ADJ amod
20 a o 21 DET det
21 denuncia denuncia 23 NOUN nsubj:pass
22 foi foi 23 AUX aux:pass
23 feita feita 1 VERB conj
24 por por 25 ADP case
25 bela bela 23 NOUN nmod
26 megale megale 25 NOUN flat
27 e e 28 CCONJ cc
28 camila camila 25 NOUN conj
29 mattoso mattoso 28 ADJ amod
30 para para 32 ADP case
31 o o 32 DET det
32 jornal jornal 23 NOUN nmod
33 folha/sp folha/sp 32 ADJ amod
34 alvo alvo 32 NOUN appos
35 de de 37 ADP case
36 a o 37 DET det
37 operacao operacao 34 NOUN nmod
38 zelotes zelote 37 NOUN flat
39 o o 40 DET det
40 filho filho 45 NOUN nsubj
41 de de 43 ADP case
42 o o 43 DET det
43 expresidente expresidente 40 NOUN nmod
44 lula lula 43 ADJ appos
45 recebeu receber 95 VERB ccomp
46 cerca cerca 50 ADV advmod
47 de de 46 ADP case
48 r r 45 NOUN obj
49 500 500 50 NUM nummod
50 mil mil 48 NUM nummod
51 entre entre 52 ADP case
52 2011 2011 45 NUM nmod
53 e e 54 CCONJ cc
54 2013 2013 52 NUM conj
55 de de 57 ADP case
56 o o 57 DET det
57 clube clube 52 NOUN nmod
58 corinthians corinthians 57 ADJ amod
59 sem sem 61 ADP mark
60 ter ter 61 AUX aux
61 prestados prestar 45 VERB advcl
62 servicos servico 61 NOUN obj
63 nao nao 65 ADV advmod
64 me me 65 PRON obj
65 lembro lembrar 95 VERB ccomp
66 de de 68 ADP case
67 nenhuma nenhuma 68 DET det
68 tarefa tarefa 65 NOUN nmod
69 que que 73 PRON obj
70 ele ele 73 PRON nsubj:pass
71 tenha ter 73 AUX aux
72 sido ser 73 AUX aux:pass
73 convocado convocar 68 VERB acl:relcl
74 para para 75 ADP mark
75 desenvolver desenvolver 73 VERB advcl
76 ou ou 80 CCONJ cc
77 que que 80 CCONJ mark
78 ele ele 80 PRON nsubj
79 tenha ter 80 AUX aux
80 realizado realizar 73 VERB conj
81 algo algo 80 PRON obj
82 o o 83 DET det
83 responsavel responsavel 80 NOUN obj
84 por por 86 ADP case
85 o o 86 DET det
86 marketing marketing 83 NOUN nmod
87 de de 89 ADP case
88 o o 89 DET det
89 corinthians corinthians 86 NOUN nmod
90 o o 91 DET det
91 economista economista 208 NOUN nsubj
92 luis luis 91 NOUN appos
93 paulo paulo 92 NOUN flat
94 rosenberg rosenberg 92 PROPN flat
95 afirmou afirmar 1 VERB parataxis
96 que que 99 CCONJ mark
97 nao nao 99 ADV advmod
98 se se 99 PART expl:pv
99 lembra lembrar 95 VERB ccomp
100 de de 102 ADP case
101 nenhuma nenhuma 102 DET det
102 atividade atividade 99 NOUN nmod
103 que que 107 PRON obj
104 ele ele 107 PRON nsubj:pass
105 tenha ter 107 AUX aux
106 sido ser 107 AUX aux:pass
107 convocado convocar 102 VERB acl:relcl
108 para para 109 ADP mark
109 desenvolver desenvolver 107 VERB advcl
110 em em 112 ADP case
111 o o 112 DET det
112 clube clube 109 NOUN nmod
113 outras outras 114 DET det
114 pessoas pessoa 220 NOUN nsubj
115 que que 116 PRON nsubj
116 tem ter 114 VERB acl:relcl
117 ou ou 118 CCONJ cc
118 tiveram ter 116 VERB conj
119 relacao relacao 118 NOUN obj
120 o o 121 DET det
121 marketing marketing 118 NOUN obj
122 de de 124 ADP case
123 o o 124 DET det
124 corinthians corinthians 121 NOUN nmod
125 tambem tambem 126 ADV advmod
126 garantiram garantir 102 VERB acl:relcl
127 que que 129 CCONJ mark
128 nunca nunca 129 ADV advmod
129 houve haver 126 VERB ccomp
130 servicos servico 129 NOUN obj
131 realizados realizar 130 VERB acl
132 por por 134 ADP case
133 o o 134 DET det
134 filho filho 131 NOUN nmod
135 prodigio prodigio 134 NOUN appos
136 de de 137 ADP case
137 lula lula 135 NOUN nmod
138 abaixo abaixo 139 ADV advmod
139 trecho trecho 156 NOUN parataxis
140 de de 142 ADP case
141 a o 142 DET det
142 folha/sp folha/sp 139 NOUN nmod
143 os o 144 DET det
144 pagamentos pagamento 156 NOUN nsubj
145 de de 147 ADP case
146 o o 147 DET det
147 corinthians corinthians 144 NOUN nmod
148 para para 149 ADP case
149 luis luis 144 NOUN nmod
150 claudio claudio 149 NOUN flat
151 ocorridos ocorrer 144 VERB acl
152 entre entre 153 ADP case
153 2011 2011 151 NUM nmod
154 e e 155 CCONJ cc
155 2013 2013 153 NUM conj
156 coincidem coincidir 248 VERB ccomp
157 parcialmente parcialmente 156 ADV advmod
158 com com 160 ADP case
159 o o 160 DET det
