1 dirceu dircer 0 VERB root
2 de de 5 ADP case
3 a o 5 DET det
4 o o 5 DET det
5 troco troco 1 NOUN nmod
6 em em 7 ADP case
7 lula lula 5 NOUN nmod
8 comecou comecar 1 VERB parataxis
9 a o 10 DET det
10 briga briga 8 NOUN nsubj
11 em em 13 ADP case
12 o o 13 DET det
13 comando comando 10 NOUN nmod
14 de de 16 ADP case
15 a o 16 DET det
16 republica republica 13 NOUN nmod
17 de de 19 ADP case
18 o o 19 DET det
19 pixuleco pixuleco 13 NOUN nmod
20 em em 22 ADP case
21 recente recente 22 ADJ amod
22 declaracao declaracao 8 NOUN nmod
23 o o 24 DET det
24 expresidente expresidente 29 NOUN nsubj
25 lula lula 24 NOUN appos
26 de de 28 ADP case
27 a o 28 DET det
28 sila sila 24 NOUN nmod
29 disse dizer 1 VERB parataxis
30 que que 50 CCONJ mark
31 a o 32 DET det
32 responsabilidade responsabilidade 50 NOUN nsubj
33 por por 35 ADP case
34 a o 35 DET det
35 nomeacao nomeacao 32 NOUN nmod
36 de de 38 ADP case
37 os o 38 DET det
38 dirigentes dirigente 35 NOUN nmod
39 de de 41 ADP case
40 as o 41 DET det
41 estatais estatal 38 NOUN nmod
42 em em 45 ADP case
43 o o 45 DET det
44 seu seu 45 DET det:poss
45 governo governo 35 NOUN nmod
46 inclusive inclusive 49 ADV advmod
47 de de 49 ADP case
48 a o 49 DET det
49 petrobras petrobra 38 NOUN nmod
50 era era 29 VERB ccomp
51 de de 53 ADP case
52 a o 53 DET det
53 responsabilidade responsabilidade 50 NOUN nmod
54 de de 56 ADP case
55 o o 56 DET det
56 chefe chefe 53 NOUN nmod
57 de de 59 ADP case
58 a o 59 DET det
59 casa casa 56 NOUN nmod
60 civil civil 59 ADJ amod
61 hoje hoje 62 ADV advmod
62 falando falar 50 VERB acl
63 em em 64 ADP case
64 nome nome 62 NOUN nmod
65 de de 67 ADP case
66 seu seu 67 DET det:poss
67 cliente cliente 64 NOUN nmod
68 o o 69 DET det
69 advogado advogado 73 NOUN nsubj
70 de de 71 ADP case
71 ze ze 69 NOUN nmod
72 dirceu dirceu 71 NOUN flat
73 disse dizer 62 VERB parataxis
74 que que 80 CCONJ mark
75 o o 76 DET det
76 poder poder 80 NOUN nsubj
77 de de 78 ADP case
78 decisao decisao 76 NOUN nmod
79 nao nao 80 ADV advmod
80 era era 73 VERB ccomp
81 de de 83 ADP case
82 a o 83 DET det
83 casa casa 80 NOUN nmod
84 civil civil 83 ADJ amod
85 mas mas 93 CCONJ cc
86 sim sim 93 ADV advmod
87 de de 89 ADP case
88 o o 89 DET det
89 presidente presidente 83 NOUN conj
90 de de 92 ADP case
91 a o 92 DET det
92 republica republica 89 NOUN nmod
93 veja ver 73 VERB conj
94 tambem tambem 93 ADV advmod
