1 resende resender 0 VERB root
2 o o 3 DET det
3 brasil brasil 4 NOUN nsubj
4 tem ter 1 VERB ccomp
5 a o 6 DET det
6 justica justica 4 NOUN obj
7 mais mais 8 ADV advmod
8 cara caro 6 ADJ amod
9 de de 11 ADP case
10 o o 11 DET det
11 mundo mundo 6 NOUN nmod
12 e e 14 CCONJ cc
13 so so 14 ADV advmod
14 temos ter 4 VERB conj
15 o o 16 DET det
16 sergio sergio 14 NOUN obj
17 moro moro 16 NOUN flat
18 trabalhando trabalhar 16 VERB acl
19 abre abrir 18 VERB parataxis
20 aspas aspa 19 NOUN obj
21 veja ver 4 VERB conj
22 se se 36 CCONJ mark
23 e e 24 CCONJ cc
24 possivel possivel 30 ADJ xcomp
25 viver viver 21 VERB ccomp
26 em em 29 ADP case
27 o o 29 DET det
28 nosso nosso 29 DET det:poss
29 brasil brasil 25 NOUN nmod
30 veja ver 21 VERB ccomp
31 se se 30 CCONJ mark
32 e e 33 CCONJ cc
33 possivel possivel 30 ADJ xcomp
34 a o 35 DET det
35 gente gente 36 NOUN nsubj
36 conviver conviver 21 VERB ccomp
37 com com 39 ADP case
38 essa essa 39 DET det
39 gente gente 36 NOUN nmod
40 que que 41 PRON nsubj
41 vive vive 39 VERB acl:relcl
42 de de 44 ADP case
43 a o 44 DET det
44 politica politica 41 NOUN nmod
45 o o 36 PRON obj
46 que que 41 PRON nsubj
47 em em 49 ADP case
48 os o 49 PRON det
49 temos ter 45 VERB acl:relcl
50 nesse nesse 51 ADP case
51 momento momento 49 NOUN nmod
52 e e 54 CCONJ cc
53 a o 54 DET det
54 justica justica 45 NOUN conj
55 mais mais 56 ADV advmod
56 cara caro 54 ADJ amod
57 de de 59 ADP case
58 o o 59 DET det
59 mundo mundo 54 NOUN nmod
60 essa essa 61 DET det
61 justica justica 63 NOUN nsubj
62 so so 63 ADV advmod
63 empata empatar 21 VERB ccomp
64 com com 65 ADP case
65 a a 63 PRON nmod
66 de de 68 ADP case
67 a o 68 DET det
68 suica suica 65 NOUN nmod
69 que que 70 PRON nsubj
70 tem ter 68 VERB acl:relcl
71 uma um 72 DET det
72 populacao populacao 70 NOUN obj
73 25 25 72 NUM appos
74 menor menor 72 ADJ amod
75 e e 77 CCONJ cc
76 uma um 77 DET det
77 renda renda 72 NOUN conj
78 per per 79 ADP case
79 capita capita 77 NOUN nmod
80 5 5 81 NUM nummod
81 vezes vez 82 NOUN nmod
82 maior maior 77 ADJ amod
83 a o 84 DET det
84 justica justica 86 NOUN nsubj
85 hoje hoje 86 ADV advmod
86 parece parecer 63 VERB conj
87 que que 89 CCONJ mark
88 so so 89 ADV advmod
89 tem ter 86 VERB ccomp
90 o o 91 DET det
91 sergio sergio 89 NOUN obj
92 moro moro 91 NOUN flat
93 trabalhando trabalhar 91 VERB acl
94 o o 93 PRON obj
95 que que 96 PRON nsubj
96 passa passar 94 VERB acl:relcl
97 em em 99 ADP case
98 a o 99 DET det
99 mao mao 96 NOUN nmod
100 dele dele 99 X det:poss
101 caminha caminhar 86 VERB ccomp
102 o o 108 PRON nsubj
103 que que 105 PRON nsubj
104 nao nao 105 ADV advmod
105 passa passar 102 VERB acl:relcl
106 fica ficar 108 VERB ccomp
107 parado parado 106 ADJ xcomp
108 fecha fechar 86 VERB ccomp
109 aspas aspas 108 NOUN advmod
