1 urgente 2 ADJ amod
2 renan 3 NOUN nsubj
3 abre 0 VERB root
4 votacao 3 NOUN obj
5 para 7 ADP case
6 o 7 DET det
7 pl 3 NOUN nmod
8 280 7 NUM appos
9 abuso 3 NOUN nsubj
10 de 11 ADP case
11 autoridade 9 NOUN nmod
12 assista 3 VERB parataxis
13 a 15 ADP case
14 o 15 DET det
15 vivo 12 NOUN nmod
16 ele 17 PRON nsubj
17 quer 3 VERB conj
18 votar 17 VERB xcomp
19 de 21 ADP case
20 qualquer 21 DET det
21 jeito 18 NOUN nmod
22 assista 17 VERB parataxis
23 a 25 ADP case
24 o 25 DET det
25 vivo 22 NOUN nmod
