1 confira 0 VERB root
2 as 4 DET det
3 7 4 NUM nummod
4 bombas 1 NOUN obj
5 de 6 ADP case
6 delcidio 4 NOUN nmod
7 de 9 ADP case
8 o 9 DET det
9 amaral 6 NOUN nmod
10 que 12 PRON nsubj
11 vao 12 AUX aux
12 estremecer 4 VERB acl:relcl
13 brasilia 12 NOUN obj
14 1 15 NUM nummod
15 dilma 16 NOUN nsubj
16 atuou 1 VERB conj
17 para 19 ADP case
18 a 19 DET det
19 nomeacao 16 NOUN nmod
20 de 21 ADP case
21 cervero 19 NOUN nmod
22 em 24 ADP case
23 a 24 DET det
24 petrobras 16 NOUN nmod
25 delcidio 24 NOUN amod
26 diz 1 VERB conj
27 que 29 CCONJ mark
28 dilma 29 NOUN nsubj
29 teve 26 VERB ccomp
30 participacao 29 NOUN obj
31 efetiva 30 ADJ amod
32 em 34 ADP case
33 a 34 DET det
34 nomeacao 30 NOUN nmod
35 de 36 ADP case
36 nestor 34 NOUN nmod
37 cervero 36 NOUN flat
38 para 40 ADP case
39 a 40 DET det
40 br 34 NOUN nmod
41 distribuidora 40 NOUN flat
42 isso 43 PRON nsubj
43 contraria 26 VERB ccomp
44 o 43 PRON obj
45 que 47 PRON nsubj:pass
46 era 47 AUX aux:pass
47 sabido 44 VERB acl:relcl
48 antes 55 ADV mark
49 que 48 CCONJ fixed
50 a 51 DET det
51 nomeacao 55 NOUN nsubj
52 de 53 ADP case
53 cervero 51 NOUN nmod
54 era 55 AUX cop
55 obra 43 NOUN advcl
56 de 57 ADP case
57 lula 55 NOUN nmod
58 e 61 CCONJ cc
59 de 61 ADP case
60 o 61 DET det
61 expresidente 57 NOUN conj
62 de 64 ADP case
63 o 64 DET det
64 pt 61 NOUN nmod
65 jose 61 NOUN appos
66 eduardo 65 NOUN flat
67 dutra 65 ADJ flat
68 o 69 DET det
69 pagamento 328 NOUN nsubj
70 de 71 ADP case
71 r 69 NOUN nmod
72 50 73 NUM nummod
73 mil 71 NUM nummod
74 a 76 ADP case
75 o 76 DET det
76 exdiretor 328 NOUN iobj
77 de 79 ADP case
78 a 79 DET det
79 petrobras 76 NOUN nmod
80 nestor 76 NOUN appos
81 cervero 80 NOUN flat
82 que 83 PRON nsubj
83 levou 346 VERB acl:relcl
84 a 85 DET det
85 prisao 83 NOUN obj
86 de 87 ADP case
87 delcidio 85 NOUN nmod
88 de 90 ADP case
89 o 90 DET det
90 amaral 87 NOUN nmod
91 teria 93 AUX aux
92 sido 93 AUX aux:pass
93 ordenado 1 VERB parataxis
94 por 95 ADP case
95 lula 93 NOUN nmod
96 segundo 98 ADP case
97 o 98 DET det
98 parlamentar 328 NOUN nmod
99 o 100 DET det
100 objetivo 328 NOUN nsubj
101 de 103 ADP case
102 a 103 DET det
103 mesada 100 NOUN nmod
104 era 100 AUX cop
105 proteger 100 VERB csubj
106 jose 443 NOUN obj
107 carlos 106 NOUN flat
108 bumlai 106 NOUN flat
109 o 110 DET det
110 pecuarista 106 NOUN appos
111 amigo 110 NOUN flat
112 de 114 ADP case
113 o 114 DET det
114 expresidente 111 NOUN nmod
115 em 116 ADP case
116 reuniao 105 NOUN nmod
117 com 118 ADP case
118 ricardo 116 NOUN nmod
119 lewandowski 118 PROPN flat
120 em 121 ADP case
121 portugal 118 NOUN nmod
122 cuja 123 DET det
123 justificativa 248 NOUN nsubj
124 oficial 123 ADJ amod
125 foi 127 AUX cop
126 a 127 DET det
127 discussao 26 NOUN ccomp
128 sobre 129 ADP case
129 reajustes 127 NOUN nmod
130 de 131 ADP case
131 salarios 129 NOUN nmod
132 em 134 ADP case
133 o 134 DET det
134 judiciario 129 NOUN nmod
135 em 137 ADP case
136 a 137 DET det
137 nomeacao 127 NOUN nmod
138 de 140 ADP case
139 o 140 DET det
140 desembargador 137 NOUN nmod
141 marcelo 140 NOUN appos
142 navarro 141 NOUN flat
143 a 145 ADP case
144 o 145 DET det
145 stj 140 NOUN nmod
146 que 147 PRON nsubj
147 atuaria 140 VERB acl:relcl
148 para 150 ADP case
149 a 150 DET det
150 soltura 147 NOUN nmod
151 de 152 ADP case
152 marcelo 150 NOUN nmod
153 odebrecht 152 PROPN flat
154 e 155 CCONJ cc
155 otavio 152 NOUN conj
156 marques 155 NOUN flat
157 de 158 ADP case
158 azevedo 141 NOUN nmod
159 e 162 CCONJ cc
160 em 162 ADP case
161 a 162 DET det
162 tentativa 127 NOUN conj
163 nao 164 ADV advmod
164 consumada 162 VERB acl
165 de 166 ADP mark
166 nomear 164 VERB nmod
167 nelson 166 NOUN obj
168 schaefer 167 PROPN flat
169 tambem 248 ADV advmod
170 para 172 ADP case
171 o 172 DET det
172 stj 166 NOUN nmod
173 com 176 ADP case
174 o 176 DET det
175 mesmo 176 ADJ amod
176 objetivo 233 NOUN nmod
177 delcidio 275 NOUN nsubj
178 teria 180 AUX aux
