1 exercito exercito 3 NOUN nsubj:pass
2 e e 3 CCONJ cc
3 punido punir 0 VERB root
4 com com 5 ADP case
5 multa multa 3 NOUN nmod
6 de de 7 ADP case
7 r r 5 NOUN nmod
8 40 40 9 NUM nummod
9 mil mil 7 NUM nummod
10 apos apos 11 ADP mark
11 abater abater 17 VERB advcl
12 onca onca 11 NOUN obj
13 juma juma 12 NOUN flat
14 a o 15 DET det
15 onca onca 17 NOUN nsubj
16 juma juma 15 NOUN flat
17 estava estar 3 VERB parataxis
18 em em 20 ADP case
19 o o 20 DET det
20 batalhao batalhao 17 NOUN nmod
21 ha ha 17 VERB advcl
22 19 19 23 NUM nummod
23 anos ano 21 NOUN nmod
24 porque porque 26 CCONJ mark
25 ninguem ninguem 26 PRON nsubj
26 multou multar 17 VERB advcl
27 antes antes 30 ADV advmod
28 animal animal 30 NOUN nsubj:pass
29 era era 30 AUX aux:pass
30 usado usar 26 VERB ccomp
31 em em 32 ADP case
32 desfiles desfile 30 NOUN nmod
33 de de 34 ADP case
34 7 7 32 NUM nmod
35 de de 36 ADP case
36 setembro setembro 34 PROPN nmod
37 o o 38 DET det
38 animal animal 39 NOUN nsubj
39 escapou escapar 17 VERB parataxis
40 de de 42 ADP case
41 a o 42 DET det
42 coleira coleira 39 NOUN nmod
43 que que 45 PRON nsubj
44 o o 45 PRON obj
45 prendia prender 42 VERB acl:relcl
46 a a 49 ADP case
47 o o 49 DET det
48 ser ser 49 AUX aux:pass
49 transportado transportar 71 VERB advcl
50 para para 52 ADP case
51 a o 52 DET det
52 jaula jaula 49 NOUN nmod
53 o o 54 DET det
54 comando comando 71 NOUN nsubj:pass
55 militar militar 54 ADJ amod
56 de de 58 ADP case
57 a o 58 DET det
58 amazonia amazonia 54 NOUN nmod
59 e e 61 CCONJ cc
60 o o 61 DET det
61 centro centro 54 NOUN conj
62 de de 63 ADP case
63 instrucao instrucao 61 NOUN nmod
64 de de 65 ADP case
65 guerra guerra 63 NOUN nmod
66 em em 68 ADP case
67 a o 68 DET det
68 selva selva 61 NOUN nmod
69 cigs cigs 71 NOUN nsubj:pass
70 foram foram 71 AUX aux:pass
71 multados multar 184 VERB parataxis
72 em em 74 ADP case
73 o o 74 DET det
74 valor valor 71 NOUN nmod
75 de de 77 ADP case
76 40 40 77 NUM nummod
77 mil mil 74 NUM nmod
78 por por 79 ADP case
79 responsabilidade responsabilidade 71 NOUN nmod
80 de de 82 ADP case
81 a o 82 DET det
82 morte morte 79 NOUN nmod
83 de de 85 ADP case
84 a o 85 DET det
85 onca onca 82 NOUN nmod
86 juma juma 85 NOUN flat
87 em em 88 ADP case
88 manaus manaus 106 NOUN nmod
89 o o 90 DET det
90 instituto instituto 71 NOUN nsubj:pass
91 de de 92 ADP case
92 protecao protecao 90 NOUN nmod
93 ambiental ambiental 92 ADJ amod
94 de de 96 ADP case
95 o o 96 DET det
96 amazonas amazona 90 NOUN nmod
97 ipaam ipaam 96 ADJ appos
98 concluiu concluir 71 VERB parataxis
99 o o 100 DET det
100 relatorio relatorio 98 NOUN obj
101 tecnico tecnico 100 ADJ amod
102 sobre sobre 104 ADP case
103 os o 104 DET det
104 procedimentos procedimento 100 NOUN nmod
105 que que 106 PRON nsubj
106 resultaram resultar 104 VERB acl:relcl
107 em em 109 ADP case
108 o o 109 DET det
109 abate abate 106 NOUN nmod
110 de de 112 ADP case
111 o o 112 DET det
112 animal animal 109 NOUN nmod
113 juma juma 115 NOUN nsubj:pass
114 foi foi 115 AUX aux:pass
115 baleada balear 104 VERB acl:relcl
116 por por 118 ADP case
117 um um 118 DET det
118 soldado soldado 115 NOUN nmod
119 apos apos 120 ADP case
120 exposicao exposicao 115 NOUN nmod
121 em em 123 ADP case
122 o o 123 DET det
123 evento evento 120 NOUN nmod
124 de de 126 ADP case
125 a o 126 DET det
126 passagem passagem 123 NOUN nmod
127 de de 129 ADP case
128 a o 129 DET det
129 tocha tocha 126 NOUN nmod
130 olimpica olimpico 129 ADJ amod
131 em em 132 ADP case
132 manaus manaus 115 NOUN nmod
133 o o 134 DET det
134 cma cma 136 NOUN nsubj:pass
135 foi foi 136 AUX aux:pass
136 autuado autuar 17 VERB parataxis
137 em em 138 ADP case
138 r r 136 NOUN nmod
139 5 5 140 NUM nummod
140 mil mil 138 NUM nummod
141 por por 142 ADP mark
142 contribuir contribuir 136 VERB advcl
143 para para 145 ADP case
144 a o 145 DET det
145 utilizacao utilizacao 142 NOUN nmod
146 de de 148 ADP case
147 um um 148 DET det
148 especime especime 145 NOUN nmod
149 de de 151 ADP case
150 a o 151 DET det
151 fauna fauna 148 NOUN nmod
152 silvestre silvestre 151 ADJ amod
153 nativa nativo 151 ADJ amod
154 sem sem 156 ADP case
155 a o 156 DET det
156 autorizacao autorizacao 142 NOUN nmod
157 de de 159 ADP case
158 o o 159 DET det
159 orgao orgao 156 NOUN nmod
160 ambiental ambiental 159 ADJ amod
161 competente competente 159 ADJ amod
162 o o 183 DET det
163 cigs cigs 165 NOUN nsubj:pass
164 foi foi 165 AUX aux:pass
165 autuado autuar 17 VERB parataxis
166 em em 168 ADP case
167 5 5 168 NUM nummod
168 mil mil 165 NUM nmod
169 por por 170 ADP mark
170 utilizar utilizar 165 VERB advcl
171 o o 172 DET det
172 animal animal 170 NOUN obj
173 sem sem 175 ADP case
174 a o 175 DET det
175 autorizacao autorizacao 170 NOUN nmod
176 de de 178 ADP case
177 o o 178 DET det
178 orgao orgao 175 NOUN nmod
179 ambiental ambiental 178 ADJ amod
180 competente competente 178 ADJ amod
181 o o 183 DET det
182 1 1 183 NUM nummod
183 bis bis 184 NOUN nsubj
184 recebeu receber 165 VERB parataxis
185 tres tres 186 NUM nummod
186 multas multa 184 NOUN obj
187 uma uma 186 PRON appos
188 de de 189 ADP case
189 r r 187 NOUN nmod
190 5 5 191 NUM nummod
191 mil mil 189 NUM nummod
192 por por 193 ADP mark
193 transportar transportar 187 VERB nmod
194 o o 195 DET det
195 animal animal 193 NOUN obj
196 se se 197 ADP mark
197 autorizacao autorizacao 193 NOUN nmod
198 mais mais 201 ADV advmod
199 r r 39 NOUN nsubj
200 5 5 201 NUM nummod
201 mil mil 199 NUM nummod
202 por por 203 ADP case
203 mantelo mantelo 71 NOUN nmod
204 em em 205 ADP case
205 cativeiro cativeiro 203 NOUN nmod
206 sem sem 209 ADP case
207 a o 209 DET det
208 devida devido 209 ADJ amod
209 autorizacao autorizacao 203 NOUN nmod
210 e e 211 CCONJ cc
211 outra outra 71 PRON conj
212 de de 213 ADP case
213 r r 211 NOUN nmod
214 20 20 215 NUM nummod
215 mil mil 213 NUM nummod
216 por por 217 ADP mark
217 construir construir 211 VERB nmod
218 e e 219 CCONJ cc
219 fazer fazer 217 VERB conj
220 funcionar funcionar 219 VERB xcomp
221 mantenedouro mantenedouro 220 NOUN obj
222 de de 224 ADP case
223 a o 224 DET det
224 fauna fauna 221 NOUN nmod
225 sem sem 227 ADP case
226 a o 227 DET det
227 licenca licenca 220 NOUN nmod
228 de de 230 ADP case
229 o o 230 DET det
230 orgao orgao 227 NOUN nmod
231 ambiental ambiental 230 ADJ amod
232 as o 233 DET det
233 multas multa 234 NOUN nsubj
234 estao estao 71 VERB parataxis
235 baseadas baseado 234 ADJ xcomp
236 em em 238 ADP case
237 a o 238 DET det
238 lei lei 235 NOUN nmod
239 de de 240 ADP case
240 crimes crime 238 NOUN nmod
241 ambientais ambiental 240 ADJ amod
242 9605/ 9605/ 243 NUM nummod
243 1998 1998 240 NUM nmod
244 e e 247 CCONJ cc
245 em em 247 ADP case
246 o o 247 DET det
247 decreto decreto 238 NOUN conj
248 6514/2008 6514/2008 247 NUM appos
