1 aprendeu aprender 0 VERB root
2 com com 4 ADP case
3 o o 4 DET det
4 mestre mestre 1 NOUN nmod
5 lula lula 4 NOUN appos
6 sabatella sabatella 5 NOUN flat
7 saiu sair 1 VERB ccomp
8 as o 9 DET det
9 ruas rua 7 NOUN obj
10 para para 11 ADP mark
11 provocar provocar 7 VERB advcl
12 e e 14 CCONJ cc
13 depois depois 14 ADV advmod
14 bancar bancar 11 VERB conj
15 a o 16 DET det
16 vitima vitima 14 NOUN obj
17 imagine imagine 43 NOUN obj
18 so so 20 ADV advmod
19 uma um 20 DET det
20 torcedora torcedor 43 NOUN nsubj
21 botafoguense botafoguense 20 ADJ amod
22 passeando passear 20 VERB acl
23 sem sem 24 ADP mark
24 querer querer 22 VERB nmod
25 em em 27 ADP case
26 o o 27 DET det
27 meio meio 193 NOUN nmod
28 de de 30 ADP case
29 a o 30 DET det
30 torcida torcida 27 NOUN nmod
31 de de 33 ADP case
32 o o 33 DET det
33 flamengo flamengo 30 NOUN nmod
34 e e 35 CCONJ cc
35 gritando gritar 11 VERB conj
36 vai ir 37 AUX advmod
37 fogao fogao 35 NOUN nmod
38 entenderam entender 1 VERB conj
39 a o 40 DET det
40 atriz atriz 38 NOUN nsubj
41 leticia leticia 40 NOUN appos
42 sabatella sabatella 41 NOUN flat
43 publicou publicar 1 VERB conj
44 em em 45 ADP case
45 video video 43 NOUN nmod
46 em em 161 ADP case
47 seu seu 161 DET det:poss
48 instagram instagram 43 NOUN nmod
49 dizendo dizer 43 VERB acl
50 que que 52 CCONJ mark
51 foi foi 52 AUX aux:pass
52 xingada xingar 49 VERB ccomp
53 por por 55 ADP case
54 um um 55 DET det
55 grupo grupo 52 NOUN nmod
56 de de 57 ADP case
57 manifestantes manifestante 55 NOUN nmod
58 proimpeachment proimpeachment 57 ADJ amod
59 em em 61 ADP case
60 o o 61 DET det
61 centro centro 52 NOUN nmod
62 de de 63 ADP case
63 curitiba curitiba 61 NOUN nmod
64 ontem ontem 240 ADV advmod
65 01 01 64 NUM appos
66 realmente realmente 71 ADV advmod
67 a o 68 DET det
68 atriz atriz 71 NOUN nsubj:pass
69 foi foi 71 AUX aux:pass
70 foi foi 71 AUX aux:pass
71 xingada xingar 49 VERB ccomp
72 por por 74 ADP case
73 uma um 74 DET det
74 mulher mulher 71 NOUN nmod
75 que que 77 PRON nsubj
76 a a 77 PRON obj
77 chamava chamar 74 VERB acl:relcl
78 de de 79 ADP case
79 semvergonha semvergonha 77 NOUN nmod
80 e e 81 CCONJ cc
81 gritava gritar 71 VERB conj
82 chora chora 81 NOUN obj
83 petista petista 82 NOUN amod
84 um um 85 DET det
85 grupo grupo 71 NOUN nsubj:pass
86 de de 87 ADP case
87 manifestantes manifestante 85 NOUN nmod
88 e e 90 CCONJ cc
89 varios varios 90 DET det
90 pms pms 85 NOUN conj
91 a a 92 PRON obj
92 protegeram proteger 253 VERB conj
93 em em 95 ADP case
94 a o 95 DET det
95 hora hora 92 NOUN nmod
96 em em 97 ADP case
97 que que 294 PRON nmod
98 os o 99 DET det
99 animos animo 294 NOUN nsubj
100 estavam estar 289 VERB acl:relcl
101 mais mais 102 ADV advmod
102 exaltados exaltado 100 ADJ xcomp
103 uma uma 350 PRON nsubj
104 dessas dessas 105 ADP case
105 pessoas pessoa 103 NOUN nmod
106 exaltadas exaltado 105 ADJ amod
107 chegou chegar 109 AUX aux
108 a a 109 ADP case
109 chamala chamala 209 NOUN acl:relcl
110 de de 111 ADP case
111 p p 109 NOUN nmod
112 voce voce 111 NOUN flat
113 e e 114 CCONJ cc
114 p p 111 NOUN conj
115 coisa coisa 260 NOUN nsubj
116 que que 294 PRON nsubj
117 nao nao 115 ADV advmod
118 de de 119 ADP mark
119 faz fazer 374 VERB nmod
120 sabatella sabatella 350 NOUN nsubj
121 disse dizer 43 VERB parataxis
122 que que 124 CCONJ mark
123 nao nao 124 ADV advmod
124 foi foi 121 VERB ccomp
125 a a 127 ADP case
126 o o 127 DET det
127 protesto protesto 124 NOUN nmod
128 para para 130 ADP mark
129 se se 130 PRON obj
130 autopromover autopromover 124 VERB advcl
131 e e 134 CCONJ cc
132 que que 134 CCONJ mark
133 simplesmente simplesmente 134 ADV advmod
134 passava passar 52 VERB conj
135 por por 137 ADP case
136 a o 137 DET det
137 praca praca 134 NOUN nmod
138 pouco pouco 139 ADV advmod
139 antes antes 141 ADV mark
140 de de 139 ADP fixed
141 comecar comecar 134 VERB advcl
142 a o 143 DET det
143 manifestacao manifestacao 141 NOUN obj
144 quando quando 145 CCONJ mark
145 pasou pasar 240 VERB advcl
146 para para 147 ADP mark
147 conversar conversar 145 VERB advcl
148 com com 150 ADP case
149 uma um 150 DET det
150 senhora senhor 147 NOUN nmod
151 ela ela 152 PRON nsubj
152 disse dizer 43 VERB advcl
153 preocupa preocupar 152 VERB xcomp
154 esta esta 155 DET det
155 falta falta 153 NOUN obj
156 de de 157 ADP case
157 democracia democracia 155 NOUN nmod
158 em em 161 ADP case
159 o o 161 DET det
160 nosso nosso 161 DET det:poss
161 brasil brasil 155 NOUN nmod
162 eles eles 71 PRON nsubj:pass
163 nao nao 164 ADV advmod
164 sabem saber 209 VERB acl:relcl
