1 governo governo 3 NOUN nsubj
2 temer temer 1 NOUN flat
3 negocia negociar 0 VERB root
4 liberacao liberacao 3 NOUN obj
5 de de 6 ADP case
6 brasileiro brasileiro 4 NOUN nmod
7 preso preso 6 VERB acl
8 em em 10 ADP case
9 a o 10 DET det
10 russia russia 7 NOUN nmod
11 em em 12 ADP case
12 troca troca 14 NOUN nmod
13 putin putin 14 NOUN nsubj
14 tera tar 3 VERB conj
15 parte parte 14 NOUN obj
16 de de 18 ADP case
17 a o 18 DET det
18 usina usina 15 NOUN nmod
19 angra angra 18 NOUN appos
20 3 3 19 NUM appos
21 russia russia 22 NOUN nsubj
22 tem ter 3 VERB parataxis
23 interesse interesse 22 NOUN obj
24 em em 25 ADP case
25 construcao construcao 23 NOUN nmod
26 de de 27 ADP case
27 angra angra 25 NOUN nmod
28 3 3 27 NUM appos
29 segundo segundo 30 ADJ case
30 ministro ministro 22 NOUN nmod
31 de de 33 ADP case
32 as o 33 DET det
33 relacoes relacoe 30 NOUN nmod
34 exteriores exterior 33 ADJ amod
35 aloysio aloysio 30 NOUN appos
36 nunes nunes 35 NOUN flat
37 em em 38 ADP case
38 agosto agosto 123 PROPN nmod
39 de de 40 ADP case
40 2016 2016 38 NUM nmod
41 um um 42 DET det
42 pesquisador pesquisador 45 NOUN nsubj:pass
43 brasileiro brasileiro 42 ADJ amod
44 foi foi 45 AUX aux:pass
45 preso preso 3 VERB parataxis
46 em em 48 ADP case
47 a o 48 DET det
48 russia russia 45 NOUN nmod
49 por por 50 ADP mark
50 carregar carregar 45 VERB advcl
51 em em 53 ADP case
52 sua sua 53 DET det:poss
53 bagagem bagagem 50 NOUN nmod
54 4 4 55 NUM nummod
55 garrafas garrafa 50 NOUN obj
56 de de 57 ADP case
57 ayahuasca ayahuasca 55 NOUN nmod
58 um um 59 DET det
59 cha cha 146 NOUN obj
60 alucinogeno alucinogeno 59 ADJ amod
61 utilizado utilizar 59 VERB acl
62 em em 63 ADP case
63 terapias terapia 61 NOUN nmod
64 e e 65 CCONJ cc
65 rituais ritual 63 NOUN conj
66 religiosos religioso 65 ADJ amod
67 o o 68 DET det
68 paraibano paraibano 72 NOUN nsubj:pass
69 eduardo eduardo 68 NOUN appos
70 chianca chianca 69 NOUN flat
71 foi foi 72 AUX aux:pass
72 condenado condenar 3 VERB parataxis
73 a a 75 ADP case
74 seis seis 75 NUM nummod
75 anos ano 72 NOUN nmod
76 e e 77 CCONJ cc
77 meio meio 75 NOUN conj
78 de de 79 ADP case
79 prisao prisao 77 NOUN nmod
80 as o 81 DET det
81 leis lei 179 NOUN nsubj:pass
82 russas russo 81 ADJ amod
83 sao sao 250 VERB ccomp
84 muito muito 85 ADV advmod
85 rigidas rigido 83 ADJ xcomp
86 tanto tanto 89 CCONJ cc
87 para para 89 ADP case
88 seus seus 89 DET det:poss
89 cidadaos cidadao 85 NOUN nmod
90 quanto quanto 92 CCONJ cc
91 para para 92 ADP case
92 estrangeiros estrangeiro 89 NOUN conj
93 pois pois 97 CCONJ mark
94 bem bem 179 ADV advmod
95 a o 96 DET det
96 situacao situacao 97 NOUN nsubj
97 melhorou melhorar 83 VERB advcl
98 para para 100 ADP case
99 o o 100 DET det
100 lado lado 179 NOUN nmod
101 de de 104 ADP case
102 o o 104 DET det
103 nosso nosso 104 DET det:poss
104 pesquisador pesquisador 100 NOUN nmod
105 mas mas 355 CCONJ cc
106 como como 107 CCONJ mark
107 leiam lear 179 VERB advcl
108 abaixo abaixo 107 ADV advmod
109 um um 110 DET det
110 trecho trecho 107 NOUN nsubj
111 de de 113 ADP case
112 a o 113 DET det
113 noticia noticia 110 NOUN nmod
114 publicada publicar 113 VERB acl
115 hoje hoje 114 ADV advmod
116 em em 118 ADP case
117 a o 118 DET det
118 folha folha 114 NOUN nmod
119 de de 120 ADP case
120 sp sp 118 ADV nmod
121 aloysio aloysio 204 PROPN nsubj
122 se se 123 PRON obj
123 encontrou encontrar 3 VERB conj
124 com com 126 ADP case
125 o o 126 DET det
126 chanceler chanceler 123 NOUN nmod
127 russo russo 126 ADJ amod
128 sergei sergei 126 NOUN appos
129 lavrov lavrov 128 PROPN flat
130 em em 132 ADP case
131 nova novo 132 ADJ amod
132 york york 128 PROPN nmod
133 e e 134 CCONJ cc
134 anunciou anunciar 45 VERB conj
135 que que 143 CCONJ mark
136 uma um 137 DET det
137 empresa empresa 274 NOUN nsubj
138 russa russo 137 ADJ amod
139 leiase leiase 42 VERB acl:relcl
140 vladmir vladmir 139 NOUN obj
141 putin putin 140 NOUN flat
142 tem ter 143 VERB aux
143 tem ter 250 VERB ccomp
144 interesse interesse 143 NOUN obj
145 em em 146 ADP mark
146 participar participar 144 VERB nmod
147 de de 150 ADP case
148 uma um 150 DET det
149 provavel provavel 150 ADJ amod
150 retomada retomada 146 NOUN nmod
151 de de 153 ADP case
152 a o 153 DET det
153 construcao construcao 150 NOUN nmod
154 de de 155 ADP case
155 usina usina 153 NOUN nmod
156 nuclear nuclear 155 ADJ amod
157 de de 158 ADP case
158 angra angra 153 NOUN nmod
159 3 3 158 NUM appos
160 em em 162 ADP case
161 o o 162 DET det
162 rio rio 158 NOUN nmod
163 antes antes 165 ADV mark
164 de de 163 ADP fixed
165 continuar continuar 166 VERB advcl
166 vale vale 72 VERB advcl
167 a o 168 DET det
168 pena pena 166 NOUN nsubj
169 ressaltar ressaltar 166 VERB csubj
170 um um 171 DET det
171 detalhe detalhe 169 NOUN obj
172 a o 173 DET det
173 usina usina 179 NOUN nsubj:pass
174 angra angra 173 NOUN appos
175 3 3 174 NUM appos
176 esta esta 179 AUX aux
177 sendo ser 179 AUX aux:pass
178 amplamente amplamente 179 ADV advmod
179 investigada investigar 83 VERB parataxis
180 por por 182 ADP case
181 o o 182 DET det
182 mpf mpf 179 NOUN nmod
183 e e 184 CCONJ cc
184 pf pf 182 NOUN conj
185 por por 186 ADP case
186 repasses repasse 179 NOUN nmod
187 de de 188 ADP case
188 propinas propina 186 NOUN nmod
189 a a 190 ADP case
190 politicos politicos 188 NOUN nmod
191 entre entre 192 ADP case
192 eles eles 197 PRON nmod
193 o o 194 DET det
194 presidente presidente 188 NOUN appos
195 michel michel 194 ADJ appos
196 temer temer 194 NOUN flat
197 continuando continuar 194 VERB acl
198 o o 199 DET det
199 raciocinio raciocinio 197 NOUN obj
200 o o 202 DET det
201 dignissimo dignissimo 202 ADJ amod
