1 porque porque 5 CCONJ mark
2 o o 3 DET det
3 mpf mpf 5 NOUN nsubj
4 nao nao 5 ADV advmod
5 investiga investigar 20 VERB advcl
6 o o 7 DET det
7 apartamento apartamento 5 NOUN obj
8 de de 12 ADP case
9 11 11 10 NUM nummod
10 milhoes milhoes 12 NUM nummod
11 de de 12 ADP case
12 euros euro 7 NOUN nmod
13 desse desse 14 ADP case
14 senhor senhor 7 NOUN nmod
15 a o 16 DET det
16 folha folha 20 NOUN nsubj
17 de de 54 ADP case
18 sao sao 16 NOUN nmod
19 paulo paulo 16 NOUN nmod
20 denunciou denunciar 56 VERB ccomp
21 o o 22 DET det
22 apartamento apartamento 20 NOUN obj
23 avaliado avaliar 22 VERB acl
24 em em 28 ADP case
25 11 11 26 NUM nummod
26 milhoes milhoes 28 NUM nummod
27 de de 28 ADP case
28 euros euro 23 NOUN nmod
29 em em 31 ADP case
30 o o 31 DET det
31 ano ano 23 NOUN nmod
32 de de 33 ADP case
33 2002 2002 31 NUM nmod
34 fontes fonte 20 NOUN parataxis
35 dcm dcm 34 NOUN appos
36 e e 37 CCONJ cc
37 folha folha 35 NOUN conj
38 de de 39 ADP case
39 sp sp 37 NOUN nmod
40 em em 41 ADP case
41 entrevista entrevista 20 NOUN nmod
42 concedida conceder 41 VERB acl
43 a a 45 ADP case
44 o o 45 DET det
45 site site 42 NOUN nmod
46 dcm dcm 45 X appos
47 a o 48 DET det
48 jornalista jornalista 20 NOUN nsubj
49 mirian mirian 48 ADJ appos
50 dutra dutra 49 ADJ flat
51 examante examante 48 NOUN appos
52 de de 54 ADP case
53 o o 54 DET det
54 expresidente expresidente 48 NOUN nmod
55 tucano tucano 54 ADJ amod
56 contou contar 0 VERB root
57 que que 60 CCONJ mark
58 fernando fernando 60 PROPN nsubj
59 henrique henrique 58 NOUN flat
60 tem ter 56 VERB ccomp
61 um um 62 DET det
62 apartamento apartamento 60 NOUN obj
63 em em 65 ADP case
64 nova novo 65 ADJ amod
65 york york 62 PROPN nmod
66 segundo segundo 67 ADP case
67 ela ela 208 PRON nmod
68 em em 70 ADP case
69 o o 70 DET det
70 trump trump 458 NOUN nmod
71 tower tower 70 NOUN flat
72 e e 73 CCONJ cc
73 outro outro 453 PRON conj
74 em em 75 ADP case
75 paris paris 73 NOUN nmod
76 o o 77 DET det
77 tomas tomas 81 NOUN nsubj
78 filho filho 77 NOUN flat
79 de de 80 ADP case
80 miriam miriam 77 NOUN nmod
81 fica ficar 56 VERB ccomp
82 em em 84 ADP case
83 o o 84 DET det
84 apartamento apartamento 81 NOUN nmod
85 de de 87 ADP case
86 o o 87 DET det
87 pai pai 84 NOUN nmod
88 em em 90 ADP case
89 nova novo 90 ADJ amod
90 york york 84 PROPN nmod
91 e e 93 CCONJ cc
92 em em 93 ADP case
93 paris paris 90 NOUN conj
94 e e 96 CCONJ cc
95 aquele aquele 96 DET det
96 apartamento apartamento 234 NOUN conj
97 que que 98 PRON nsubj
98 esta esta 96 VERB acl:relcl
99 em em 100 ADP case
100 nome nome 98 NOUN nmod
