1 assessor assessor 6 NOUN nsubj
2 de de 3 ADP case
3 seguranca seguranca 1 NOUN nmod
4 de de 5 ADP case
5 trump trump 1 NOUN nmod
6 diz dizer 0 VERB root
7 que que 9 CCONJ mark
8 eua eua 9 PRON nsubj
9 enfrentarao enfrentar 6 VERB ccomp
10 kim kim 9 NOUN obj
11 jongun jongun 10 NOUN flat
12 cansamos cansar 9 VERB acl
13 de de 14 ADP mark
14 levar levar 12 VERB nmod
15 bofetadas bofetada 14 NOUN obj
16 o o 17 DET det
17 general general 20 NOUN nsubj
18 hr hr 17 NOUN appos
19 mcmaster mcmaster 18 NOUN flat
20 disse dizer 6 VERB parataxis
21 que que 26 CCONJ mark
22 os o 23 DET det
23 eua eua 26 NOUN nsubj
24 nao nao 26 ADV advmod
25 irao irao 26 AUX aux
26 recuar recuar 20 VERB ccomp
27 apos apos 29 ADP case
28 os o 29 DET det
29 testes teste 26 NOUN nmod
30 imprudentes imprudente 29 ADJ amod
31 de de 32 ADP case
32 misseis missil 29 NOUN nmod
33 realizados realizar 32 VERB acl
34 de de 36 ADP case
35 a o 36 DET det
36 coreia coreia 33 NOUN nmod
37 de de 39 ADP case
38 o o 39 DET det
39 norte norte 36 NOUN nmod
40 a o 41 DET det
41 declaracao declaracao 43 NOUN nsubj:pass
42 foi foi 43 AUX aux:pass
43 dada dar 20 VERB parataxis
44 a a 45 ADP case
45 fox fox 43 NOUN iobj
46 news news 45 X flat
47 o o 50 DET det
48 mais mais 49 ADV advmod
49 recente recente 50 ADJ amod
50 teste teste 217 NOUN nsubj
51 de de 52 ADP case
52 misseis missil 50 NOUN nmod
53 que que 54 PRON nsubj
54 explodiu explodir 50 VERB acl:relcl
55 15 15 56 NUM nummod
56 segundos segundo 54 NOUN nmod
57 apos apos 59 ADP case
58 o o 59 DET det
59 lancamento lancamento 54 NOUN nmod
60 foi foi 62 AUX cop
61 um um 62 DET det
62 desafio desafio 20 NOUN ccomp
63 aberto aberto 62 ADJ amod
64 de de 66 ADP case
65 os o 66 DET det
66 eua eua 62 DET nmod
67 horas hora 62 NOUN nmod
68 antes antes 72 ADV case
69 de de 68 ADP case
70 o o 68 DET det
71 fracassado fracassado 72 ADJ amod
72 lancamento lancamento 62 NOUN nmod
73 feito feito 72 VERB acl
74 ontem ontem 73 ADV advmod
75 o o 76 DET det
76 secretario secretario 73 NOUN nsubj:pass
77 de de 78 ADP case
78 estado estado 76 NOUN nmod
79 de de 81 ADP case
80 os o 81 DET det
81 eua eua 76 NOUN nmod
82 rex rex 76 NOUN appos
83 tillerson tillerson 82 NOUN flat
84 havia haver 85 AUX aux
85 proposto propor 72 VERB acl:relcl
86 que que 297 CCONJ mark
87 o o 88 DET det
88 dialogo dialogo 297 NOUN nsubj:pass
89 com com 91 ADP case
90 o o 91 DET det
91 regime regime 88 NOUN nmod
92 de de 93 ADP case
93 kin kin 91 NOUN nmod
94 jonun jonun 93 NOUN flat
95 ainda ainda 98 ADV advmod
96 era era 98 AUX cop
97 um um 98 DET det
98 opcao opcao 85 NOUN ccomp
99 mcmaster mcmaster 98 NOUN flat
100 disse dizer 281 VERB ccomp
101 que que 230 CCONJ mark
102 o o 119 DET det
103 lancamento lancamento 200 NOUN nsubj
104 foi foi 106 AUX cop
105 uma um 106 DET det
106 bofetada bofetada 100 NOUN ccomp
107 em em 109 ADP case
108 a o 109 DET det
109 cara cara 106 NOUN nmod
110 de de 112 ADP case
111 os o 112 DET det
112 eua eua 109 NOUN nmod
113 mas mas 114 CCONJ cc
114 assegurou assegurar 43 VERB conj
115 a a 45 ADP case
116 os o 114 DET det
117 que que 200 CCONJ mark
118 o o 119 DET det
119 presidente presidente 200 NOUN nsubj
120 trump trump 119 NOUN flat
121 resolvera resolver 226 VERB ccomp
122 a o 123 DET det
123 situacao situacao 200 NOUN obj
124 em em 126 ADP case
125 a o 126 DET det
126 coreia coreia 123 NOUN nmod
127 de de 129 ADP case
128 o o 129 DET det
129 norte norte 126 NOUN nmod
130 que que 131 PRON nsubj
131 ameaca ameacar 50 VERB acl:relcl
132 o o 133 DET det
133 mundo mundo 131 NOUN obj
134 a o 135 DET det
135 coreia coreia 230 NOUN nsubj
136 de de 138 ADP case
137 o o 138 DET det
138 norte norte 135 NOUN nmod
139 representa representar 226 VERB ccomp
140 uma um 142 DET det
141 seria seria 142 ADJ amod
142 ameaca ameaca 139 NOUN obj
143 a a 145 ADP case
144 os o 145 DET det
145 estados estado 142 NOUN nmod
146 unidos unido 145 ADJ amod
147 a o 148 DET det
148 coreia coreia 139 NOUN nsubj
149 de de 151 ADP case
150 o o 151 DET det
151 sul sul 148 NOUN nmod
152 a a 154 ADP case
153 o o 154 DET det
154 japao japao 148 NOUN nmod
155 a a 156 ADP case
156 china china 252 NOUN nmod
157 e e 162 CCONJ cc
