1 virou virar 0 VERB root
2 bagunca bagunco 1 NOUN xcomp
3 aluno aluno 1 NOUN nsubj
4 de de 5 ADP case
5 universidade universidade 3 NOUN nmod
6 publica publico 5 ADJ amod
7 tira tirar 1 VERB parataxis
8 a o 9 DET det
9 roupa roupa 7 NOUN obj
10 durante durante 11 ADP case
11 aula aula 7 NOUN nmod
12 e e 13 CCONJ cc
13 alega alegar 1 VERB conj
14 estar estar 15 AUX aux
15 fazendo fazer 13 VERB xcomp
16 arte arte 15 NOUN obj
17 apos apos 19 ADP case
18 a o 19 DET det
19 polemica polemica 15 NOUN nmod
20 o o 21 DET det
21 queermuseu queermuseu 15 NOUN obj
22 aquela aquela 23 DET det
23 exposicao exposicao 21 NOUN appos
24 de de 26 ADP case
25 supostas suposto 26 ADJ amod
26 obras obra 23 NOUN nmod
27 de de 28 ADP case
28 arte arte 26 NOUN nmod
29 que que 33 PRON obj
30 o o 31 DET det
31 banco banco 33 NOUN nsubj
32 santander santander 31 NOUN flat
33 patrocinou patrocinar 23 VERB acl:relcl
34 um um 35 DET det
35 aluno aluno 33 NOUN obj
36 de de 38 ADP case
37 a o 38 DET det
38 universidade universidade 35 NOUN nmod
39 federal federal 38 ADJ amod
40 de de 41 ADP case
41 goias goia 38 NOUN nmod
42 ufg ufg 31 PROPN appos
43 decidiu decidir 1 VERB parataxis
44 transformar transformar 43 VERB xcomp
45 uma um 46 DET det
46 aula aula 44 NOUN obj
47 de de 48 ADP case
48 arte arte 46 NOUN nmod
49 em em 50 ADP case
50 atentado atentado 44 NOUN nmod
51 a a 53 ADP case
52 o o 53 DET det
53 pudor pudor 50 NOUN nmod
54 o o 55 DET det
55 caso caso 56 NOUN nsubj
56 aconteceu acontecer 1 VERB parataxis
57 em em 59 ADP case
58 o o 59 DET det
59 dia dia 56 NOUN nmod
60 13/09 13/09 59 NUM nmod
61 durante durante 63 ADP case
62 a o 63 DET det
63 aula aula 56 NOUN nmod
64 de de 65 ADP case
65 arte arte 63 NOUN nmod
66 contemporanea contemporaneo 65 ADJ amod
67 em em 69 ADP case
68 a o 69 DET det
69 faculdade faculdade 221 NOUN nmod
70 de de 71 ADP case
71 artes arte 69 NOUN nmod
72 visuais visual 71 ADJ amod
73 fav fav 69 NOUN appos
74 juliano juliano 73 NOUN appos
