1 proximo proximo 2 ADJ amod
2 alvo alvo 20 NOUN nsubj
3 de de 4 ADP case
4 trump trump 2 NOUN nmod
5 se se 11 CCONJ mark
6 a o 7 DET det
7 china china 11 NOUN nsubj
8 nao nao 11 ADV advmod
9 em em 11 ADP case
10 os o 11 PRON det
11 apoiar apoiar 2 VERB nmod
12 invadiremos invadir 11 VERB xcomp
13 a o 14 DET det
14 coreia coreia 12 NOUN obj
15 de de 17 ADP case
16 o o 17 DET det
17 norte norte 14 NOUN nmod
18 sozinhos só 14 ADJ amod
19 trump trump 20 NOUN nsubj
20 prometeu prometer 0 VERB root
21 acabar acabar 20 VERB xcomp
22 com com 24 ADP case
23 a o 24 DET det
24 ameaca ameaca 21 NOUN nmod
25 nuclear nuclear 24 ADJ amod
26 de de 27 ADP case
27 kim kim 24 NOUN nmod
28 jonun jonun 27 NOUN flat
29 por por 30 ADP case
30 conta conta 21 NOUN nmod
31 propria proprio 30 ADJ amod
32 caso caso 36 CCONJ mark
33 a o 34 DET det
34 china china 36 NOUN nsubj
35 nao nao 36 ADV advmod
36 manifeste manifestar 43 VERB advcl
37 apoio apoio 36 NOUN obj
38 a a 39 ADP case
39 coreia coreia 43 NOUN iobj
40 de de 42 ADP case
41 o o 42 DET det
42 norte norte 39 NOUN nmod
43 ameacou ameacar 20 VERB parataxis
44 os o 45 DET det
45 estados estado 43 NOUN obj
46 unidos unido 45 ADJ amod
47 com com 49 ADP case
48 uma um 49 DET det
49 guerra guerra 43 NOUN nmod
50 nuclear nuclear 49 ADJ amod
51 total total 49 ADJ amod
52 com com 54 ADP case
53 o o 54 DET det
54 envio envio 43 NOUN nmod
55 de de 56 ADP case
56 tropas tropa 54 NOUN nmod
57 para para 59 ADP case
58 a o 59 DET det
59 peninsula peninsula 54 NOUN nmod
60 kim kim 63 NOUN nsubj
61 jongun jongun 60 NOUN flat
62 tambem tambem 63 ADV advmod
63 ameacou ameacar 20 VERB conj
64 trump trump 63 NOUN obj
65 a a 67 ADP case
66 o o 67 DET det
67 dizer dizer 63 VERB advcl
68 que que 69 CCONJ mark
69 tem ter 67 VERB ccomp
70 um um 71 DET det
71 missil missil 69 NOUN obj
72 intercontinental intercontinental 71 ADJ amod
73 balistico balistico 71 ADJ amod
74 capaz capaz 71 ADJ amod
75 de de 76 ADP mark
76 atingir atingir 74 VERB nmod
77 o o 78 DET det
78 coracao coracao 76 NOUN obj
79 americano americano 78 ADJ amod
80 questionado questionar 71 VERB acl
81 sobre sobre 83 ADP case
82 as o 83 DET det
83 armas arma 80 NOUN nmod
84 nucleares nuclear 83 ADJ amod
85 de de 87 ADP case
86 a o 87 DET det
87 coreia coreia 83 NOUN nmod
88 de de 90 ADP case
89 o o 90 DET det
90 norte norte 87 NOUN nmod
91 o o 92 DET det
92 presidente presidente 252 NOUN nsubj
93 norteamericano norteamericano 92 ADJ amod
94 nao nao 95 ADV advmod
95 ficou ficar 20 VERB parataxis
96 nervoso nervoso 95 ADJ xcomp
97 como como 268 ADP nmod
98 de de 99 ADP case
99 costume costume 97 NOUN nmod
100 e e 101 CCONJ cc
101 prometeu prometer 95 VERB conj
102 resolver resolver 101 VERB xcomp
103 o o 104 DET det
104 problema problema 102 NOUN obj
105 rapidamente rapidamente 107 ADV advmod
106 ele ele 107 PRON nsubj
107 disse dizer 20 VERB parataxis
108 a a 111 ADP case
109 o o 111 DET det
110 financial financial 111 ADJ amod
111 times time 107 NOUN iobj
112 bem bem 183 ADV advmod
113 se se 118 CCONJ mark
114 a o 115 DET det
115 china china 118 NOUN nsubj
116 nao nao 118 ADV advmod
117 vai ir 118 AUX aux
118 resolver resolver 186 VERB advcl
119 o o 120 DET det
120 caso caso 118 NOUN obj
121 de de 123 ADP case
122 a o 123 DET det
123 coreia coreia 120 NOUN nmod
124 de de 126 ADP case
125 o o 126 DET det
126 norte norte 123 NOUN nmod
127 em em 129 ADP case
128 os o 129 DET det
129 vamos ir 147 VERB nmod
130 isso isso 129 PRON nsubj
131 e e 133 CCONJ cc
132 tudo tudo 133 PRON det
133 o o 130 PRON conj
134 que que 136 PRON obj
135 eu eu 136 PRON nsubj
136 tenho ter 133 VERB acl:relcl
137 para para 138 ADP mark
138 dizer dizer 136 VERB advcl
139 trump trump 138 NOUN obj
140 acrescentou acrescentar 20 VERB parataxis
141 que que 143 CCONJ mark
142 ainda ainda 143 ADV advmod
143 espera esperar 140 VERB ccomp
144 que que 147 CCONJ mark
145 a o 146 DET det
146 china china 147 NOUN nsubj
147 reconsidere reconsiderar 143 VERB ccomp
148 o o 149 DET det
149 ataque ataque 147 NOUN obj
150 a a 152 ADP case
151 o o 152 DET det
