1 lorenzoni lorenzonir 0 VERB root
2 o o 3 DET det
3 bilionario bilionario 5 NOUN nsubj
4 virou virar 5 AUX cop
5 ministro ministro 1 NOUN ccomp
6 mas mas 15 CCONJ cc
7 vamos ir 8 AUX aux
8 livrar livrar 5 VERB conj
9 o o 10 DET det
10 brasil brasil 8 NOUN obj
11 dessa dessa 12 ADP case
12 quadrilha quadrilha 8 NOUN nmod
13 nao nao 15 ADV advmod
14 vai ir 15 AUX aux
15 ter ter 5 VERB conj
16 moleza moleza 15 NOUN obj
17 mais mais 23 ADV advmod
18 um um 19 DET det
19 deputado deputado 23 NOUN nsubj
20 de de 22 ADP case
21 a o 22 DET det
22 oposicao oposicao 19 NOUN nmod
23 manda mandar 5 VERB conj
24 um um 25 DET det
25 recado recado 23 NOUN obj
26 para para 28 ADP case
27 a o 28 DET det
28 populacao populacao 23 NOUN nmod
29 brasileira brasileiro 28 ADJ amod
30 o o 31 DET det
31 deputado deputado 23 NOUN nsubj
32 onyx onyx 31 X appos
33 lorenzoni lorenzoni 32 NOUN flat
34 afirmou afirmar 1 VERB parataxis
35 ontem ontem 34 ADV advmod
36 que que 41 CCONJ mark
37 a o 38 DET det
38 oposicao oposicao 41 NOUN nsubj
39 nao nao 41 ADV advmod
40 vai ir 41 AUX aux
41 dar dar 34 VERB ccomp
42 moleza moleza 41 NOUN obj
43 para para 44 ADP case
44 dilma dilma 41 NOUN nmod
45 e e 57 CCONJ cc
46 a o 57 DET det
47 quadrilha quadrilha 57 NOUN nsubj
48 de de 50 ADP case
49 o o 50 DET det
50 pt pt 47 NOUN nmod
51 liderada liderar 47 VERB acl
52 por por 54 ADP case
53 o o 54 DET det
54 expresidente expresidente 51 NOUN nmod
55 lula lula 54 ADJ amod
56 lorenzoni lorenzoni 54 ADJ amod
57 citou citar 41 VERB conj
58 a o 59 DET det
59 frase frase 57 NOUN obj
60 dita dita 59 VERB acl
61 por por 62 ADP case
62 lula lula 60 NOUN nmod
63 em em 64 ADP case
64 1998 1998 60 NUM nmod
65 quando quando 69 ADV advmod
66 um um 68 DET det
67 pobre pobre 68 ADJ amod
68 rouba rouba 69 NOUN nsubj
69 vai ir 60 VERB advcl
70 pra pra 71 ADP case
71 cadeia cadeia 69 NOUN nmod
72 quando quando 77 CCONJ mark
73 um um 75 DET det
74 rico rico 75 ADJ amod
75 rouba rouba 77 NOUN nsubj
76 vira vira 77 AUX cop
77 ministro ministro 69 NOUN advcl
78 e e 84 CCONJ cc
79 o o 84 DET det
80 bilionario bilionario 84 NOUN nsubj
81 lula lula 80 NOUN appos
82 virou virar 83 AUX cop
83 ministro ministro 84 NOUN ccomp
84 disse dizer 69 VERB conj
85 vamos ir 86 AUX aux
86 dar dar 84 VERB ccomp
87 um um 88 DET det
88 recado recado 86 NOUN obj
89 muito muito 90 ADV advmod
90 claro claro 88 ADJ amod
91 para para 93 ADP case
92 o o 93 DET det
93 governo governo 90 NOUN nmod
94 dilma dilma 93 ADJ amod
95 para para 97 ADP case
96 o o 97 DET det
97 pt pt 93 NOUN nmod
98 e e 104 CCONJ cc
99 para para 101 ADP case
100 o o 101 DET det
101 lula lula 104 NOUN nmod
102 nao nao 104 ADV advmod
103 vai ir 104 AUX aux
104 ter ter 109 VERB conj
105 moleza moleza 104 NOUN obj
106 o o 107 DET det
107 impeachment impeachment 109 NOUN nsubj
108 vai ir 109 AUX aux
109 avancar avancar 86 VERB conj
110 e e 119 CCONJ cc
111 em em 114 ADP case
112 os o 114 DET det
113 vamos ir 114 AUX aux
114 livrar livrar 119 VERB advcl
115 o o 116 DET det
116 brasil brasil 114 NOUN obj
117 dessa dessa 118 ADP case
118 quadrilha quadrilha 114 NOUN nmod
119 encerrou encerrar 86 VERB conj
120 confira conferir 119 NOUN obj
