1 veja 0 VERB root
2 o 1 PRON obj
3 que 5 PRON obj
4 fhc 5 NOUN nsubj
5 disse 2 VERB acl:relcl
6 a 7 ADP case
7 sergio 5 NOUN iobj
8 moro 7 NOUN flat
9 sobre 10 ADP case
10 lula 5 NOUN nmod
11 hoje 17 ADV advmod
12 o 13 DET det
13 expresidente 17 NOUN nsubj
14 fernando 13 NOUN appos
15 henrique 14 NOUN flat
16 cardoso 14 ADJ amod
17 esteve 1 VERB ccomp
18 como 19 ADP case
19 testemunha 17 NOUN nmod
20 de 21 ADP case
21 defesa 19 NOUN nmod
22 de 23 ADP case
23 lula 21 NOUN nmod
24 em 25 ADP case
25 depoimento 5 NOUN nmod
26 a 28 ADP case
27 o 28 DET det
28 juiz 25 NOUN nmod
29 sergio 28 ADJ amod
30 moro 28 NOUN amod
31 ele 32 PRON nsubj
32 deu 1 VERB parataxis
33 o 35 DET det
34 melhor 35 ADJ amod
35 argumento 32 NOUN obj
36 para 37 ADP mark
37 inocentar 35 VERB nmod
38 lula 37 NOUN obj
39 de 40 ADP case
40 crimes 37 NOUN nmod
41 de 42 ADP case
42 responsabilidade 40 NOUN nmod
43 em 44 ADP case
44 depoimento 37 NOUN nmod
45 a 47 ADP case
46 o 47 DET det
47 juiz 44 NOUN nmod
48 sergio 47 ADJ amod
49 moro 47 NOUN appos
50 como 51 ADP case
51 testemunha 37 NOUN nmod
52 em 54 ADP case
53 a 54 DET det
54 acao 51 NOUN nmod
55 que 56 PRON nsubj
56 investiga 54 VERB acl:relcl
57 doacoes 56 NOUN obj
58 a 60 ADP case
59 o 60 DET det
60 instituto 56 NOUN iobj
61 lula 60 NOUN flat
62 o 63 DET det
63 expresidente 449 NOUN nsubj
64 fernando 63 NOUN appos
65 henrique 64 NOUN flat
66 cardoso 64 ADJ amod
67 afirmou 1 VERB parataxis
68 mais 70 ADV advmod
69 de 68 ADP case
70 uma 71 NUM nummod
71 vez 67 NOUN nmod
72 nesta 73 ADP case
73 quintafeira 67 PROPN nmod
74 que 86 CCONJ mark
75 o 76 DET det
76 ocupante 86 NOUN nsubj
77 de 79 ADP case
78 o 79 DET det
79 cargo 76 NOUN nmod
80 de 81 ADP case
81 presidente 79 NOUN nmod
82 de 84 ADP case
83 a 84 DET det
84 republica 81 NOUN nmod
85 nao 86 ADV advmod
86 sabe 365 VERB ccomp
87 necessariamente 86 ADV advmod
88 de 89 ADP case
89 tudo 86 PRON nmod
90 o 86 PRON obj
91 que 92 PRON nsubj
92 acontece 90 VERB acl:relcl
93 em 95 ADP case
94 sua 95 DET det:poss
95 gestao 92 NOUN nmod
96 por 99 ADP case
97 quase 98 ADV advmod
98 uma 99 NUM nummod
99 hora 381 NOUN nmod
100 o 101 DET det
101 tucano 102 NOUN nsubj
102 respondeu 1 VERB parataxis
103 a 104 ADP case
104 perguntas 102 NOUN nmod
105 de 107 ADP case
106 a 107 DET det
107 defesa 104 NOUN nmod
108 de 110 ADP case
109 o 110 DET det
110 expresidente 107 NOUN nmod
111 luiz 110 ADJ appos
112 inacio 111 NOUN flat
113 lula 111 NOUN flat
114 de 116 ADP case
115 a 116 DET det
116 silva 111 NOUN nmod
117 e 120 CCONJ cc
118 de 120 ADP case
119 o 120 DET det
120 presidente 110 NOUN conj
121 de 123 ADP case
122 o 123 DET det
123 instituto 120 NOUN nmod
124 lula 123 NOUN appos
125 paulo 120 NOUN appos
126 okamoto 125 NOUN flat
127 alem 32 ADV advmod
128 de 130 ADP case
129 o 130 DET det
130 juiz 127 NOUN nmod
131 moro 130 NOUN flat
132 a 134 DET det
133 primeira 134 ADJ amod
134 afirmacao 32 NOUN nsubj
135 de 136 ADP case
136 fh 134 NOUN nmod
137 de 142 ADP mark
138 que 37 CCONJ mark
139 um 140 DET det
140 presidente 37 NOUN nsubj
141 nao 142 ADV advmod
142 tem 134 VERB nmod
143 conhecimento 37 NOUN obj
144 pleno 143 ADJ amod
145 de 148 ADP case
146 o 148 DET det
147 que 148 PRON nsubj
148 ocorre 143 VERB nmod
149 em 151 ADP case
150 seu 151 DET det:poss
151 governo 148 NOUN nmod
152 foi 153 AUX aux:pass
153 feita 1 VERB ccomp
154 apos 157 ADP mark
155 ele 157 PRON nsubj:pass
156 ser 157 AUX aux:pass
157 perguntado 228 VERB advcl
158 por 160 ADP case
159 a 160 DET det
160 defesa 157 NOUN nmod
161 de 162 ADP case
162 lula 160 NOUN nmod
163 se 165 CCONJ mark
164 ele 165 PRON nsubj
165 sabia 32 VERB advcl
166 que 169 CCONJ mark
167 propinas 169 NOUN nsubj:pass
168 eram 169 AUX aux:pass
169 pagas 165 VERB ccomp
170 em 172 ADP case
171 a 172 DET det
172 petrobras 169 NOUN nmod
173 durante 175 ADP case
174 sua 175 DET det:poss
175 gestao 169 NOUN nmod
176 o 177 DET det
177 exdiretor 228 NOUN nsubj:pass
178 de 180 ADP case
179 a 180 DET det
180 estatal 177 NOUN nmod
181 nestor 177 NOUN appos
182 cervero 181 NOUN flat
183 em 184 ADP case
184 delacao 181 NOUN nmod
185 premiada 184 ADJ amod
186 disse 67 VERB parataxis
187 que 188 CCONJ mark
188 recebeu 186 VERB ccomp
189 vantagens 188 NOUN obj
190 indevidas 189 ADJ amod
191 em 193 ADP case
192 os 193 DET det
193 anos 425 NOUN nmod
194 90 193 NUM nmod
195 em 197 ADP case
196 a 197 DET det
197 gestao 425 NOUN nmod
198 de 200 ADP case
199 o 200 DET det
200 psdb 197 PROPN nmod
201 o 202 DET det
202 presidente 228 NOUN nsubj:pass
203 de 205 ADP case
204 a 205 DET det
205 republica 202 NOUN nmod
206 nao 208 ADV advmod
207 pode 208 AUX aux
208 saber 228 VERB parataxis
209 o 425 PRON obj
210 que 212 PRON nsubj
211 esta 212 AUX aux
212 acontecendo 209 VERB acl:relcl
213 com 215 ADP case
214 muitas 215 DET det
215 pessoas 212 NOUN nmod
216 eu 218 PRON nsubj
217 nunca 218 ADV advmod
218 ouvi 228 VERB parataxis
219 falar 218 VERB xcomp
220 desse 221 ADP case
221 senhor 219 NOUN nmod
222 afirmou 228 VERB parataxis
223 fh 222 NOUN obj
224 o 226 DET det
225 mesmo 226 ADJ amod
226 argumento 228 NOUN nsubj:pass
227 foi 228 AUX aux:pass
228 usado 449 VERB parataxis
229 por 231 ADP case
230 o 231 DET det
231 expresidente 228 NOUN nmod
232 quando 233 CCONJ mark
233 perguntado 228 VERB advcl
234 por 236 ADP case
235 o 236 DET det
236 advogado 233 NOUN nmod
237 de 238 ADP case
238 lula 236 NOUN nmod
239 se 241 CCONJ mark
240 ele 241 PRON nsubj
241 tomou 228 VERB advcl
242 conhecimento 241 NOUN obj
243 quando 244 CCONJ mark
244 estava 241 VERB advcl
245 em 247 ADP case
246 a 247 DET det
247 presidencia 244 NOUN nmod
248 de 250 ADP case
249 a 250 DET det
250 existencia 188 NOUN nmod
251 de 253 ADP case
252 um 253 DET det
253 cartel 250 NOUN nmod
254 de 255 ADP case
255 empresas 253 NOUN nmod
256 atuando 255 VERB acl
257 em 259 ADP case
258 a 259 DET det
259 petrobras 256 NOUN nmod
260 nunca 261 ADV advmod
261 soube 228 VERB advcl
262 de 453 ADP case
263 nenhuma 264 DET det
264 cartelizacao 261 NOUN nmod
265 em 267 ADP case
266 a 267 DET det
267 petrobras 236 NOUN nmod
268 pode 270 AUX aux
269 ter 270 AUX aux
270 havido 228 VERB advcl
271 mas 489 CCONJ cc
272 o 273 DET det
273 presidente 328 NOUN nsubj
274 de 276 ADP case
275 a 276 DET det
276 republica 273 NOUN nmod
277 nao 278 ADV advmod
278 sabe 228 VERB conj
279 de 280 ADP case
280 tudo 278 PRON nmod
281 que 282 PRON nsubj
282 acontece 280 VERB acl:relcl
283 foi 286 AUX cop
284 a 286 DET det
285 primeira 286 ADJ amod
286 vez 365 NOUN ccomp
287 que 289 CCONJ mark
288 fh 289 PRON nsubj
289 prestou 286 VERB acl:relcl
290 depoimento 289 NOUN obj
291 a 292 ADP case
292 operacao 425 NOUN iobj
293 lavajato 292 NOUN flat
294 em 296 ADP case
295 um 296 DET det
296 forum 289 NOUN nmod
297 em 298 ADP case
298 sao 296 PROPN nmod
299 paulo 298 ADJ amod
300 ele 301 PRON nsubj
301 participou 286 VERB acl:relcl
302 a 303 DET det
303 distancia 301 NOUN obj
304 de 306 ADP case
305 a 306 DET det
306 oitiva 303 NOUN nmod
307 comandada 306 VERB acl
308 por 309 ADP case
309 moro 307 NOUN nmod
310 de 311 ADP case
311 curitiba 309 NOUN nmod
312 a 313 DET det
313 intimacao 301 NOUN nsubj
314 de 315 ADP case
315 fh 313 NOUN nmod
316 foi 318 AUX cop
317 um 318 DET det
318 pedido 228 NOUN parataxis
319 de 321 ADP case
320 a 321 DET det
321 defesa 318 NOUN nmod
322 de 323 ADP case
323 lula 321 NOUN nmod
324 a 325 DET det
325 defesa 328 NOUN nsubj
326 de 327 ADP case
327 lula 325 NOUN nmod
328 aproveitou 365 VERB ccomp
329 o 330 DET det
330 comparecimento 328 NOUN obj
331 de 333 ADP case
332 o 333 DET det
333 tucano 330 NOUN nmod
334 para 335 ADP case
335 questionalo 228 NOUN nmod
336 sobre 337 ADP case
337 assuntos 335 NOUN nmod
338 que 339 PRON nsubj
339 extrapolaram 337 VERB acl:relcl
340 a 341 DET det
341 acao 339 NOUN obj
342 penal 341 ADJ amod
343 como 345 ADP case
344 a 345 DET det
345 relacao 341 NOUN nmod
346 de 347 ADP case
347 fh 345 NOUN nmod
348 com 350 ADP case
349 o 350 DET det
350 congresso 345 NOUN nmod
351 durante 353 ADP case
352 seu 353 DET det:poss
353 mandato 345 NOUN nmod
354 a 355 DET det
355 formacao 345 NOUN appos
356 de 358 ADP case
357 a 358 DET det
358 base 355 NOUN nmod
359 de 360 ADP case
360 apoio 358 NOUN nmod
361 entre 362 ADP case
362 outros 355 PRON nmod
363 o 364 DET det
364 expresidente 365 NOUN nsubj
365 negou 67 VERB parataxis
366 que 368 CCONJ mark
367 tenha 368 AUX aux
368 recebido 365 VERB ccomp
369 doacoes 368 NOUN obj
370 de 372 ADP case
371 a 372 DET det
372 construtora 369 NOUN nmod
373 oas 372 PROPN appos
374 que 381 PRON nsubj
375 segundo 377 ADP case
376 o 377 DET det
377 ministerio 489 NOUN nmod
378 publico 377 ADJ amod
379 federal 377 ADJ amod
380 mpf 377 NOUN appos
381 pagou 372 VERB acl:relcl
382 r 381 NOUN obj
383 13 384 NUM nummod
384 milhao 382 NUM nummod
385 em 386 ADP case
386 propinas 381 NOUN nmod
387 de 389 ADP case
388 a 389 DET det
389 petrobras 386 NOUN nmod
390 para 391 ADP mark
391 manter 381 VERB advcl
392 o 393 DET det
393 acervo 391 NOUN obj
394 de 396 ADP case
395 o 396 DET det
396 expresidente 393 NOUN nmod
397 lula 396 ADJ amod
398 mas 399 CCONJ cc
399 citou 365 VERB conj
400 doacoes 399 NOUN obj
401 de 403 ADP case
402 outras 403 DET det
403 empreiteiras 400 NOUN nmod
404 investigadas 403 VERB acl
405 por 407 ADP case
406 a 407 DET det
407 lavajato 404 NOUN nmod
408 para 409 ADP case
409 fh 495 NOUN nmod
410 se 417 CCONJ mark
411 o 412 DET det
412 presidente 435 NOUN nsubj
413 e 415 CCONJ cc
414 uma 415 DET det
415 pessoa 412 NOUN conj
416 correta 415 ADJ amod
417 sai 228 VERB advcl
418 de 420 ADP case
419 o 420 DET det
420 cargo 417 NOUN nmod
421 sem 423 ADP case
422 nenhuma 423 DET det
423 condicao 102 NOUN nmod
424 de 425 ADP mark
425 manter 423 VERB nmod
426 o 427 DET det
427 acervo 425 NOUN obj
428 por 429 ADP case
429 lei 425 NOUN nmod
430 tudo 431 PRON det
431 o 37 PRON obj
432 que 435 PRON obj
433 um 434 DET det
434 presidente 435 NOUN nsubj
435 recebe 431 VERB acl:relcl
436 durante 438 ADP case
437 seu 438 DET det:poss
438 mandato 435 NOUN nmod
439 e 442 CCONJ cc
440 de 442 ADP case
441 sua 442 DET det:poss
442 responsabilidade 438 NOUN conj
443 e 445 CCONJ cc
444 de 445 ADP case
445 interesse 442 NOUN conj
446 publico 445 ADJ amod
447 o 448 DET det
448 juiz 449 NOUN nsubj
449 foi 153 VERB conj
450 cerimonioso 449 ADJ xcomp
451 em 453 ADP case
452 o 453 DET det
453 tratamento 228 NOUN nmod
454 a 455 ADP case
455 fh 453 NOUN nmod
456 e 459 CCONJ cc
457 chegou 459 AUX aux
458 a 459 ADP mark
459 pedir 228 VERB conj
460 desculpas 459 NOUN obj
461 a 463 ADP case
462 o 463 DET det
463 tucano 459 NOUN iobj
464 a 466 ADP case
465 o 466 DET det
466 elaborar 459 VERB advcl
467 uma 466 PRON obj
468 de 470 ADP case
469 as 470 DET det
470 questoes 467 NOUN nmod
471 que 472 PRON obj
472 fez 470 VERB acl:relcl
473 a 475 ADP case
474 o 475 DET det
475 depoente 472 NOUN iobj
476 peco 365 VERB ccomp
477 ate 478 ADP case
478 escusas 476 NOUN obj
479 por 481 ADP mark
480 te 481 PRON iobj
481 perguntar 476 VERB advcl
482 isso 481 PRON obj
483 mas 485 CCONJ cc
484 pode 485 AUX aux
485 ter 489 VERB conj
486 alguma 487 DET det
487 relevancia 485 NOUN obj
488 foram 489 AUX aux:pass
489 recebidas 365 VERB ccomp
490 em 492 ADP case
491 alguma 492 DET det
492 oportunidade 489 NOUN nmod
493 doacoes 489 NOUN nsubj:pass
494 nao 495 ADV advmod
495 registradas 493 VERB acl
496 por 497 ADP mark
497 fora 495 ADV nmod
498 ou 500 CCONJ cc
499 as 500 DET det
500 escondidas 493 NOUN conj
501 para 503 ADP case
502 a 503 DET det
503 manutencao 500 NOUN nmod
504 de 507 ADP case
505 o 507 DET det
506 seu 507 DET det:poss
507 instituto 503 NOUN nmod
508 perguntou 489 VERB conj
509 moro 508 NOUN nsubj
510 fh 511 NOUN nsubj
511 respondeu 508 VERB ccomp
512 que 511 CCONJ mark
513 nao 511 ADV advmod
