1 fim fim 11 NOUN nsubj
2 de de 4 ADP case
3 a o 4 DET det
4 linha linha 1 NOUN nmod
5 para para 7 ADP case
6 cunha cunha 7 DET nmod
7 maioria maioria 1 NOUN nmod
8 de de 10 ADP case
9 o o 10 DET det
10 stf stf 7 NOUN nmod
11 votou votar 0 VERB root
12 a a 13 ADP case
13 favor favor 11 NOUN nmod
14 de de 16 ADP case
15 o o 16 DET det
16 afastamento afastamento 13 NOUN nmod
17 e e 18 CCONJ cc
18 suspensao suspensao 16 NOUN conj
19 de de 21 ADP case
20 o o 21 DET det
21 mandato mandato 18 NOUN nmod
22 de de 24 ADP case
23 um um 24 DET det
24 total total 16 NOUN nmod
25 de de 27 ADP case
26 onze onze 27 NUM nummod
27 ministros ministro 24 NOUN nmod
28 seis seis 27 NUM nummod
29 ja ja 30 ADV advmod
30 votaram votar 11 VERB conj
31 a a 32 ADP case
32 favor favor 30 NOUN nmod
33 de de 35 ADP case
34 o o 35 DET det
35 afastamento afastamento 32 NOUN nmod
36 a o 37 DET det
37 maioria maioria 44 NOUN nsubj
38 de de 40 ADP case
39 os o 40 DET det
40 ministros ministro 37 NOUN nmod
41 de de 43 ADP case
42 o o 43 DET det
43 stf stf 40 NOUN nmod
44 votaram votar 30 VERB parataxis
45 a a 46 ADP case
46 favor favor 44 NOUN nmod
47 de de 49 ADP case
48 a o 49 DET det
49 suspensao suspensao 46 NOUN nmod
50 de de 52 ADP case
51 o o 52 DET det
52 mandato mandato 49 NOUN nmod
53 e e 55 CCONJ cc
54 o o 55 DET det
55 afastamento afastamento 49 NOUN conj
56 de de 58 ADP case
57 o o 58 DET det
58 deputado deputado 55 NOUN nmod
59 federal federal 58 ADJ amod
60 o o 61 DET det
61 posicionamento posicionamento 44 NOUN nsubj
62 de de 64 ADP case
63 a o 64 DET det
64 corte corte 61 NOUN nmod
65 acompanha acompanhar 11 VERB parataxis
66 a o 67 DET det
67 decisao decisao 65 NOUN obj
68 de de 70 ADP case
69 o o 70 DET det
70 ministro ministro 67 NOUN nmod
71 teori teori 70 NOUN appos
72 zavascki zavascki 71 PROPN flat
73 que que 80 PRON nsubj
74 em em 76 ADP case
75 a o 76 DET det
76 manha manha 80 NOUN nmod
77 de de 78 ADP mark
78 hoje hoje 76 ADV nmod
79 05 05 78 NUM nmod
80 determinou determinar 70 VERB acl:relcl
81 o o 82 DET det
82 afastamento afastamento 80 NOUN obj
83 de de 84 ADP case
84 cunha cunha 82 NOUN nmod
85 de de 87 ADP case
86 o o 87 DET det
87 cargo cargo 82 NOUN nmod
88 e e 90 CCONJ cc
89 a o 90 DET det
90 suspensao suspensao 82 NOUN conj
91 de de 93 ADP case
92 o o 93 DET det
93 mandato mandato 90 NOUN nmod
94 votaram votar 65 VERB conj
95 a a 96 ADP case
96 favor favor 94 NOUN nmod
97 de de 99 ADP case
98 o o 99 DET det
99 afastamento afastamento 96 NOUN nmod
100 os o 101 DET det
101 ministros ministro 94 NOUN nsubj
102 luiz luiz 101 NOUN appos
103 edson edson 102 NOUN flat
104 fachin fachin 102 NOUN flat
105 luis luis 102 NOUN appos
106 roberto roberto 105 NOUN flat
107 barroso barroso 105 ADJ amod
108 rosa rosa 102 NOUN appos
109 weber weber 108 NOUN flat
110 dias dia 102 NOUN flat
111 toffoli toffoli 110 NOUN flat
112 e e 113 CCONJ cc
113 carmen carmen 102 NOUN conj
114 lucia lucia 113 ADJ flat
115 alem alem 94 ADV advmod
116 de de 118 ADP case
117 o o 118 DET det
118 relator relator 115 NOUN nmod
119 tepro tepro 118 NOUN appos
120 zavascki zavascki 119 PROPN flat
