1 grampo grampo 7 NOUN nsubj
2 de de 3 ADP case
3 senador senador 1 NOUN nmod
4 de de 6 ADP case
5 o o 6 DET det
6 pmdb pmdb 3 NOUN nmod
7 mostra mostrar 0 VERB root
8 pacto pacto 7 NOUN obj
9 para para 10 ADP mark
10 barrar barrar 7 VERB advcl
11 lavajato lavajato 10 NOUN obj
12 o o 13 DET det
13 primeiro primeiro 20 NOUN nsubj
14 a a 16 ADP mark
15 ser ser 16 AUX aux:pass
16 comido comer 13 VERB nmod
17 vai ir 20 AUX aux
18 ser ser 20 AUX cop
19 o o 20 DET det
20 aecio aecio 7 NOUN ccomp
21 o o 23 DET det
22 outro outro 23 DET det
23 lado lado 20 NOUN appos
24 sergio sergio 20 NOUN appos
25 machado machado 24 NOUN flat
26 que que 27 PRON nsubj
27 foi foi 24 VERB acl:relcl
28 de de 30 ADP case
29 o o 30 DET det
30 psdb psdb 27 NOUN nmod
31 antes antes 34 ADV mark
32 de de 31 ADP fixed
33 se se 34 PRON obj
34 filiar filiar 27 VERB advcl
35 a a 37 ADP case
36 o o 37 DET det
37 pmdb pmdb 34 NOUN nmod
38 afirma afirmar 7 VERB advcl
39 que que 48 CCONJ mark
40 o o 41 DET det
41 primeiro primeiro 48 NOUN nsubj
42 a a 44 ADP mark
43 ser ser 44 AUX aux:pass
44 comido comer 41 VERB nmod
45 vai ir 48 AUX aux
46 ser ser 48 AUX cop
47 o o 48 DET det
48 aecio aecio 38 NOUN ccomp
49 neves neves 48 NOUN flat
50 psdbmg psdbmg 48 NOUN flat
51 e e 52 CCONJ cc
52 acrescenta acrescentar 48 VERB conj
53 o o 54 DET det
54 aecio aecio 52 NOUN obj
55 nao nao 56 ADV advmod
56 tem ter 211 VERB conj
57 condicao condicao 56 NOUN obj
58 a o 59 DET det
59 gente gente 60 NOUN nsubj
60 sabe saber 211 VERB ccomp
61 disso disso 60 X nmod
62 porra porra 237 ADP nmod
63 quem quem 503 PRON nmod
64 que que 66 PRON nsubj
65 nao nao 66 ADV advmod
66 sabe saber 63 VERB acl:relcl
67 quem quem 69 PRON nsubj
68 nao nao 69 ADV advmod
69 conhece conhecer 66 VERB ccomp
70 o o 71 DET det
71 esquema esquema 69 NOUN obj
72 de de 74 ADP case
73 o o 74 DET det
74 aecio aecio 71 NOUN nmod
75 eu eu 258 PRON nsubj
76 que que 77 PRON nsubj
77 participei participar 382 VERB acl:relcl
78 de de 79 ADP case
79 campanha campanha 77 NOUN nmod
80 de de 82 ADP case
81 o o 82 DET det
82 psdb psdb 79 NOUN nmod
83 agora agora 85 ADV advmod
84 eu eu 85 PRON nsubj
85 quero querer 38 VERB ccomp
86 ver ver 85 VERB xcomp
87 o o 89 DET det
88 novo novo 89 ADJ amod
89 ministro ministro 86 NOUN obj
90 de de 92 ADP case
91 o o 92 DET det
92 planejamento planejamento 89 NOUN nmod
93 de de 95 ADP case
94 o o 95 DET det
95 governo governo 92 NOUN nmod
96 michel michel 97 ADJ amod
97 temer temer 95 NOUN appos
98 romero romero 234 NOUN appos
99 juca juca 173 ADJ flat
100 pmdbrr pmdbrr 173 NOUN flat
101 aparece aparecer 38 VERB ccomp
102 em em 103 ADP case
103 dialogos dialogo 101 NOUN nmod
104 gravados gravar 103 VERB acl
105 durante durante 107 ADP case
106 o o 107 DET det
107 mes mes 104 NOUN nmod
108 de de 109 ADP case
109 marco marco 107 PROPN nmod
110 sugerindo sugerir 103 VERB acl
111 a a 113 ADP case
112 o o 113 DET det
113 expresidente expresidente 110 NOUN iobj
114 de de 116 ADP case
115 a o 116 DET det
116 transpetro transpetro 113 NOUN nmod
117 sergio sergio 116 NOUN appos
118 machado machado 117 PROPN flat
119 que que 126 CCONJ mark
120 uma um 121 DET det
121 mudanca mudanca 126 NOUN nsubj
122 em em 124 ADP case
123 o o 124 DET det
124 governo governo 121 NOUN nmod
125 federal federal 124 ADJ amod
126 resultaria resultar 38 VERB ccomp
127 em em 129 ADP case
128 um um 129 DET det
129 pacto pacto 126 NOUN nmod
130 para para 131 ADP mark
131 estancar estancar 129 VERB nmod
132 a o 133 DET det
133 sangria sangria 131 NOUN obj
134 representada representar 317 VERB acl
135 por por 137 ADP case
136 a o 137 DET det
137 operacao operacao 134 NOUN nmod
138 lava lava 137 NOUN appos
139 jato jato 138 NOUN flat
140 que que 141 PRON nsubj
141 investiga investigar 242 VERB acl:relcl
142 os o 144 DET det
143 dois dois 144 NUM nummod
144 video video 141 NOUN obj
145 em em 147 ADP case
146 o o 147 DET det
147 final final 141 NOUN nmod
148 de de 150 ADP case
149 a o 150 DET det
150 materia materia 147 NOUN nmod
151 a o 152 DET det
152 materia materia 258 NOUN nsubj
153 de de 154 ADP case
154 rubens rubem 152 NOUN nmod
155 valente valente 154 ADJ amod
156 folha folha 154 NOUN appos
157 informa informar 7 VERB parataxis
158 que que 520 CCONJ mark
159 esse esse 160 DET det
160 dialogos dialogo 175 NOUN nsubj
161 ja ja 163 ADV mark
162 que que 161 CCONJ fixed
163 estao estao 175 VERB advcl
164 em em 165 ADP case
165 poder poder 163 NOUN nmod
166 de de 168 ADP case
167 a o 168 DET det
168 pgr pgr 165 NOUN nmod
169 procuradoriageral procuradoriageral 168 ADJ amod
170 de de 172 ADP case
171 a o 172 DET det
