1 site site 5 NOUN nsubj
2 de de 3 ADP case
3 jornalista jornalista 1 NOUN nmod
4 global global 3 ADJ amod
5 questiona questionar 0 VERB root
6 assessor assessor 5 NOUN obj
7 pessoal pessoal 6 ADJ amod
8 de de 9 ADP case
9 dilma dilma 6 NOUN nmod
10 e e 12 CCONJ cc
11 o o 12 DET det
12 dono dono 9 NOUN conj
13 de de 15 ADP case
14 o o 15 DET det
15 estadio estadio 12 NOUN nmod
16 beirario beirario 15 NOUN flat
17 o o 18 DET det
18 assunto assunto 5 NOUN obj
19 de de 21 ADP case
20 a o 21 DET det
21 vez vez 18 NOUN nmod
22 em em 23 ADP case
23 brasilia brasilia 18 NOUN nmod
24 e e 26 CCONJ cc
25 o o 26 DET det
26 redbar redbar 18 NOUN conj
27 localizado localizar 26 VERB acl
28 em em 30 ADP case
29 o o 30 DET det
30 estadio estadio 27 NOUN nmod
31 de de 33 ADP case
32 o o 33 DET det
33 beirario beirario 30 NOUN nmod
34 o o 35 DET det
35 estadio estadio 37 NOUN nsubj:pass
36 foi foi 37 AUX aux:pass
37 construido construir 5 VERB parataxis
38 por por 40 ADP case
39 a o 40 DET det
40 andrade andrade 37 NOUN nmod
41 gutierrez gutierrez 40 NOUN flat
42 e e 50 CCONJ cc
43 a o 50 DET det
44 loja loja 50 NOUN nsubj:pass
45 ocupada ocupar 44 VERB acl
46 por por 48 ADP case
47 o o 48 DET det
48 redbar redbar 45 NOUN nmod
49 foi foi 50 AUX aux:pass
50 concedida conceder 37 VERB conj
51 por por 53 ADP case
52 a o 53 DET det
53 empreiteira empreiteiro 50 NOUN nmod
54 qual qual 53 PRON appos
55 e e 57 CCONJ cc
56 o o 57 DET det
57 problema problema 54 NOUN conj
58 simples simples 57 ADJ amod
59 um um 92 PRON appos
60 de de 62 ADP case
61 os o 62 DET det
62 socios socio 59 NOUN nmod
63 de de 65 ADP case
64 o o 65 DET det
65 redbar redbar 62 NOUN nmod
66 inaugurado inaugurar 65 VERB acl
67 em em 68 ADP case
68 outubro outubro 66 PROPN nmod
69 de de 70 ADP case
70 2015 2015 68 NUM nmod
71 e e 145 CCONJ cc
72 anderson anderson 145 NOUN nsubj
73 dorneles dorneles 72 ADJ flat
74 exassessor exassessor 72 NOUN appos
75 pessoal pessoal 74 ADJ amod
76 de de 77 ADP case
77 dilma dilma 74 NOUN nmod
78 rousseff rousseff 77 NOUN flat
79 conhecido conhecer 74 VERB acl
80 tambem tambem 100 ADV advmod
81 como como 82 ADP case
82 anjo anjo 100 NOUN nmod
83 de de 85 ADP case
84 a o 85 DET det
85 guarda guarda 82 NOUN nmod
86 de de 88 ADP case
87 a o 88 DET det
88 expresidente expresidente 82 NOUN nmod
89 dorneles dorneles 88 NOUN appos
90 era era 92 AUX cop
91 o o 92 DET det
92 secretario secretario 5 NOUN conj
93 particular particular 92 ADJ amod
94 que que 95 PRON nsubj
95 esteve esteve 92 VERB acl:relcl
96 sempre sempre 95 ADV advmod
97 com com 98 ADP case
98 janete janete 95 NOUN nmod
99 tambem tambem 100 ADV advmod
100 conhecida conhecer 98 VERB acl
101 como como 102 ADP case
102 dilma dilma 100 NOUN nmod
103 vanda vanda 102 NOUN appos
104 luiza luiza 102 NOUN flat
105 patricia patricio 103 ADJ flat
106 enfim enfim 108 ADV advmod
107 janete janete 108 NOUN nsubj
108 cuidou cuidar 92 VERB acl:relcl
109 de de 111 ADP case
110 a o 111 DET det
111 reforma reforma 108 NOUN nmod
112 de de 114 ADP case
113 o o 114 DET det
114 beirario beirario 111 NOUN nmod
115 e e 116 CCONJ cc
116 negociou negociar 108 VERB conj
117 o o 118 DET det
118 financiamento financiamento 116 NOUN obj
119 de de 121 ADP case
120 as o 121 DET det
121 obras obra 118 NOUN nmod
122 com com 124 ADP case
123 a o 124 DET det
124 andrade andrade 116 NOUN nmod
125 gutierrez gutierrez 124 NOUN flat
126 a o 127 DET det
127 empreiteira empreiteiro 108 NOUN nsubj
128 que que 129 PRON nsubj
129 esta esta 127 VERB acl:relcl
130 envolvida envolvido 129 ADJ xcomp
131 em em 133 ADP case
132 o o 133 DET det
133 petrolao petrolao 130 NOUN nmod
134 esse esse 129 PRON nsubj
135 e e 137 CCONJ cc
136 o o 137 DET det
137 problema problema 134 NOUN conj
138 a o 139 DET det
139 reforma reforma 145 NOUN nsubj
140 de de 142 ADP case
141 o o 142 DET det
142 beirario beirario 139 NOUN nmod
143 foi foi 145 AUX cop
144 um um 145 DET det
145 agrado agrado 108 NOUN conj
146 de de 148 ADP case
147 a o 148 DET det
148 andrade andrade 145 NOUN nmod
149 gutierrez gutierrez 148 ADJ flat
150 para para 152 ADP case
151 sua sua 152 DET det:poss
152 torcedora torcedor 145 NOUN nmod
153 dilma dilma 152 NOUN appos
154 rousseff rousseff 153 NOUN flat
155 o o 156 DET det
156 moesmo moesmo 145 NOUN obj
157 que que 160 PRON obj
158 a o 159 DET det
159 odebrecht odebrecht 160 PROPN nsubj
160 fez fazer 156 VERB acl:relcl
161 para para 163 ADP case
162 o o 163 DET det
163 corintiano corintiano 160 NOUN nmod
164 lula lula 163 NOUN appos
165 em em 167 ADP case
166 o o 167 DET det
167 itaquerao itaquerao 160 NOUN nmod
168 http http 5 PROPN parataxis
