1 ta ta 2 AUX aux
2 explicado explicar 0 VERB root
3 deputado deputado 2 NOUN nsubj
4 que que 5 PRON nsubj
5 tentou tentar 3 VERB acl:relcl
6 anular anular 5 VERB xcomp
7 impeachment impeachment 6 NOUN obj
8 esta esta 9 PRON nsubj
9 atolado atolado 5 ADJ xcomp
10 em em 11 ADP case
11 dividas divida 9 NOUN nmod
12 o o 13 DET det
13 politico politico 25 NOUN nsubj
14 que que 15 PRON nsubj
15 protagonizou protagonizar 13 VERB acl:relcl
16 um um 17 DET det
17 espetaculo espetaculo 15 NOUN obj
18 circense circense 17 ADJ amod
19 a a 20 ADP case
20 mando mando 17 NOUN nmod
21 de de 22 ADP case
22 dilma dilma 20 NOUN nmod
23 e e 24 CCONJ cc
24 lula lula 22 NOUN conj
25 esta esta 2 PRON conj
26 atolado atolado 25 ADJ xcomp
27 em em 28 ADP case
28 dividas divida 26 NOUN nmod
29 de de 30 ADP case
30 campanha campanha 28 NOUN nmod
31 o o 32 DET det
32 deputado deputado 36 NOUN nsubj
33 waldir waldir 32 NOUN appos
34 maranhao maranhao 33 NOUN flat
35 pp pp 33 NOUN flat
36 esta esta 55 VERB ccomp
37 prestes prestes 36 ADJ xcomp
38 a a 39 ADP mark
39 perder perder 37 VERB nmod
40 sua sua 42 DET det:poss
41 propria proprio 42 ADJ amod
42 casa casa 39 NOUN obj
43 em em 45 ADP case
44 um um 45 DET det
45 bairro bairro 39 NOUN nmod
46 nobre nobre 45 ADJ amod
47 de de 48 ADP case
48 sao sao 45 NOUN nmod
49 luis luis 48 NOUN flat
50 ma ma 51 DET cc
51 materia materia 55 NOUN nsubj
52 de de 54 ADP case
53 o o 54 DET det
54 estado estado 51 NOUN nmod
55 diz dizer 2 VERB conj
56 que que 64 CCONJ mark
57 o o 58 DET det
58 presidente presidente 64 NOUN nsubj
59 em em 60 ADP case
60 exercicio exercicio 58 NOUN nmod
61 de de 63 ADP case
62 a o 63 DET det
63 camara camara 60 NOUN nmod
64 deu dar 55 VERB ccomp
65 um um 66 DET det
66 calote calote 64 NOUN obj
67 em em 69 ADP case
68 a o 69 DET det
69 grafica grafica 64 NOUN nmod
70 quality quality 69 NOUN flat
71 de de 72 ADP case
72 r r 69 NOUN nmod
73 1 1 75 NUM nummod
74 3 3 75 NUM nummod
75 milhao milhao 72 NUM nummod
76 durante durante 78 ADP case
77 sua sua 78 DET det:poss
78 campanha campanha 64 NOUN nmod
79 para para 80 ADP case
80 deputado deputado 78 NOUN nmod
81 federal federal 80 ADJ amod
82 em em 83 ADP case
83 2010 2010 64 NUM nmod
84 o o 85 DET det
85 tribunal tribunal 93 NOUN nsubj
86 de de 88 ADP case
87 a o 88 DET det
88 justica justica 85 NOUN nmod
89 de de 91 ADP case
90 o o 91 DET det
91 maranhao maranhao 85 NOUN nmod
92 ja ja 93 ADV advmod
93 penhorou penhorar 55 VERB ccomp
94 4 4 95 NUM nummod
95 imoveis imovel 93 NOUN obj
96 de de 98 ADP case
97 o o 98 DET det
98 parlamentar parlamentar 95 NOUN nmod
99 que que 101 PRON nsubj
100 provavelmente provavelmente 101 ADV advmod
101 irao irao 95 VERB acl:relcl
102 a a 103 ADP case
103 leilao leilao 101 NOUN nmod
104 seria seria 93 VERB ccomp
105 por por 107 ADP case
106 esse esse 107 DET det
107 motivo motivo 104 NOUN nmod
108 que que 111 CCONJ mark
109 maranhao maranhao 111 NOUN nsubj
110 se se 111 PRON obj
111 vendeu vender 104 VERB csubj
112 para para 114 ADP case
113 o o 114 DET det
114 pt pt 111 NOUN nmod
115 para para 116 ADP mark
116 quitar quitar 111 VERB advcl
117 dividas divida 116 NOUN obj
