1 quem quem 2 PRON nsubj
2 tem ter 9 VERB csubj
3 amigos amigo 2 NOUN obj
4 nao nao 5 ADV advmod
5 morre morrer 2 VERB ccomp
6 pagao pagao 5 NOUN xcomp
7 foi foi 9 AUX cop
8 uma um 9 DET det
9 surpresa surpresa 0 NOUN root
10 ganhei ganhar 9 VERB csubj
11 o o 12 DET det
12 sitio sitio 10 NOUN obj
13 de de 16 ADP case
14 os o 16 DET det
15 meus meus 16 DET det:poss
16 amigos amigo 12 NOUN nmod
17 o o 18 DET det
18 expresidente expresidente 23 NOUN nsubj
19 lula lula 18 NOUN appos
20 de de 22 ADP case
21 a o 22 DET det
22 silva silva 19 NOUN nmod
23 falou falar 9 VERB csubj
24 sobre sobre 26 ADP case
25 a o 26 DET det
26 compra compra 23 NOUN nmod
27 de de 29 ADP case
28 um um 29 DET det
29 sitio sitio 26 NOUN nmod
30 em em 31 ADP case
31 atibaia atibaia 29 NOUN nmod
32 interior interior 31 ADJ amod
33 de de 34 ADP case
34 sao sao 32 NOUN nmod
35 paulo paulo 34 NOUN flat
36 o o 37 DET det
37 sitio sitio 47 NOUN nsubj:pass
38 de de 39 ADP case
39 lula lula 37 NOUN nmod
40 mas mas 47 CCONJ cc
41 que que 42 PRON nsubj
42 nao nao 39 ADV advmod
43 e e 45 CCONJ cc
44 de de 45 ADP case
45 lula lula 39 NOUN conj
46 foi foi 47 AUX aux:pass
47 comprado comprar 23 VERB conj
48 em em 49 ADP case
49 2010 2010 47 NUM nmod
50 e e 51 CCONJ cc
51 registrado registrar 47 VERB conj
52 em em 53 ADP case
53 nome nome 51 NOUN nmod
54 de de 56 ADP case
55 os o 56 DET det
56 socios socio 53 NOUN nmod
57 de de 58 ADP case
58 fabio fabio 56 NOUN nmod
59 luis luis 58 NOUN flat
60 de de 62 ADP case
61 a o 62 DET det
62 silva silva 58 NOUN nmod
63 filho filho 68 NOUN nsubj
64 de de 66 ADP case
65 o o 66 DET det
66 expresidente expresidente 63 NOUN nmod
67 lula lula 68 NOUN nsubj
68 negou negar 9 VERB conj
69 novamente novamente 68 ADV advmod
70 ser ser 72 AUX cop
71 o o 72 DET det
72 dono dono 68 NOUN xcomp
73 de de 75 ADP case
74 o o 75 DET det
75 imovel imovel 72 NOUN nmod
76 e e 77 CCONJ cc
77 disse dizer 68 VERB conj
78 que que 81 CCONJ mark
79 amigos amigo 81 NOUN nsubj
80 lhe lhe 81 PRON iobj
81 fizeram fazer 77 VERB ccomp
82 uma um 83 DET det
83 surpresa surpresa 81 NOUN obj
84 e e 85 CCONJ cc
85 compraram comprar 81 VERB conj
86 o o 87 DET det
87 sitio sitio 85 NOUN obj
88 para para 92 ADP mark
89 que que 88 CCONJ fixed
90 ele ele 92 PRON nsubj
91 pudesse poder 92 AUX aux
92 usufruir usufruir 85 VERB advcl
93 o o 94 DET det
94 jaco jaco 92 NOUN obj
95 bittar bittar 94 NOUN appos
96 inventou inventar 173 VERB ccomp
97 de de 98 ADP mark
98 comprar comprar 96 VERB nmod
99 uma um 100 DET det
100 chacara chacar 98 NOUN obj
101 para para 105 ADP mark
102 que que 101 CCONJ fixed
103 eu eu 105 PRON nsubj
104 pudesse poder 105 AUX aux
105 utilizar utilizar 98 VERB advcl
106 quando quando 107 CCONJ mark
107 deixasse deixar 183 VERB advcl
108 a o 109 DET det
109 presidencia presidencia 107 NOUN obj
110 e e 111 CCONJ cc
111 fizeram fazer 183 VERB conj
112 uma um 113 DET det
113 surpresa surpresa 111 NOUN obj
114 pra pra 115 ADP case
115 mim mim 111 PRON nmod
116 ate ate 118 ADP case
117 o o 118 DET det
118 dia dia 111 NOUN nmod
119 15 15 118 NUM nmod
120 de de 121 ADP case
121 janeiro janeiro 119 PROPN nmod
122 de de 123 ADP case
123 2015 2015 121 NUM nmod
124 disse dizer 173 VERB ccomp
125 o o 126 DET det
126 expresidente expresidente 124 NOUN nsubj
127 durante durante 129 ADP case
128 as o 129 DET det
129 comemoracoes comemoracoe 124 NOUN nmod
130 de de 133 ADP case
131 os o 133 DET det
132 36 36 133 NUM nummod
133 anos ano 129 NOUN nmod
134 de de 136 ADP case
135 o o 136 DET det
136 pt pt 133 PROPN nmod
137 em em 140 ADP case
138 o o 140 DET det
139 ultimo ultimo 140 ADJ amod
140 sabado sabado 56 PROPN nmod
141 27 27 140 NUM nmod
142 mesmo mesmo 145 ADV advmod
143 apos apos 145 ADP mark
144 lula lula 145 NOUN nsubj
145 dizer dizer 68 VERB advcl
146 que que 149 CCONJ mark
147 so so 149 ADV advmod
148 foi foi 149 AUX aux:pass
149 informado informar 145 VERB ccomp
150 de de 152 ADP case
151 a o 152 DET det
152 surpresa surpresa 149 NOUN nmod
153 em em 155 ADP case
154 o o 155 DET det
155 dia dia 149 NOUN nmod
156 15 15 155 NUM nmod
157 uma um 158 DET det
158 reportagem reportagem 173 NOUN nsubj
159 de de 162 ADP case
160 o o 162 DET det
161 o o 162 DET det
162 estado estado 158 NOUN nmod
163 de de 164 ADP case
164 sao sao 162 NOUN nmod
165 paulo paulo 164 ADJ amod
