1 relatorio relatorio 5 NOUN nsubj
2 de de 4 ADP case
3 a o 4 DET det
4 pf pf 1 NOUN nmod
5 aponta apontar 0 VERB root
6 que que 8 CCONJ mark
7 lula lula 8 NOUN nsubj
8 recebeu receber 5 VERB ccomp
9 vantagens vantagem 8 NOUN obj
10 em em 11 ADP case
11 obras obra 24 NOUN nmod
12 feitas feitas 11 VERB acl
13 em em 14 ADP case
14 cuba cuba 12 NOUN nmod
15 republica republica 14 NOUN appos
16 dominicana dominicano 15 ADJ amod
17 e e 18 CCONJ cc
18 angola angola 15 NOUN conj
19 a o 20 DET det
20 pf pf 22 NOUN nsubj
21 esta esta 22 AUX aux
22 investigando investigar 5 VERB ccomp
23 a o 24 DET det
24 relacao relacao 22 NOUN obj
25 entre entre 27 ADP case
26 o o 27 DET det
27 expresidente expresidente 24 NOUN nmod
28 lula lula 27 NOUN appos
29 e e 30 CCONJ cc
30 emprestimos emprestimo 27 NOUN conj
31 de de 33 ADP case
32 o o 33 DET det
33 bndes bndes 30 NOUN nmod
34 feitos fazer 30 VERB acl
35 com com 37 ADP case
36 a o 37 DET det
37 intervencao intervencao 34 NOUN nmod
38 de de 40 ADP case
39 o o 40 DET det
40 ministerio ministerio 37 NOUN nmod
41 de de 42 ADP case
42 desenvolvimento desenvolvimento 40 NOUN nmod
43 industria industrio 42 ADJ amod
44 e e 45 CCONJ cc
45 comercio comercio 43 NOUN conj
46 durante durante 48 ADP case
47 a o 48 DET det
48 gestao gestao 34 NOUN nmod
49 de de 51 ADP case
50 o o 51 DET det
51 petista petista 48 NOUN nmod
52 a a 53 ADP case
53 informacao informacao 51 NOUN nmod
54 e e 57 CCONJ cc
55 de de 57 ADP case
56 o o 57 DET det
57 portal portal 51 NOUN conj
58 jota jota 57 NOUN appos
59 noticias noticias 57 NOUN amod
60 investigadores investigador 57 NOUN appos
61 de de 63 ADP case
62 a o 63 DET det
63 pf pf 60 NOUN nmod
64 indicam indicar 5 VERB parataxis
65 que que 67 CCONJ mark
66 lula lula 67 NOUN nsubj
67 incorreu incorrer 64 VERB ccomp
68 em em 69 ADP case
69 conduta conduta 67 NOUN nmod
70 tipificada tipificar 69 VERB acl
71 em em 73 ADP case
72 o o 73 DET det
73 codigo codigo 70 NOUN nmod
74 penal penal 73 ADJ amod
75 pois pois 77 CCONJ mark
76 teria ter 77 AUX aux
77 usado usar 67 VERB advcl
78 de de 81 ADP case
79 o o 81 DET det
80 seu seu 81 DET det:poss
81 prestigio prestigio 77 NOUN nmod
82 politico politico 81 ADJ amod
83 e e 87 CCONJ cc
84 de de 87 ADP case
85 a o 87 DET det
86 sua sua 87 DET det:poss
87 condicao condicao 81 NOUN conj
88 de de 89 ADP case
89 expresidente expresidente 87 NOUN nmod
90 para para 91 ADP mark
91 influenciar influenciar 383 VERB advcl
92 governos governo 91 NOUN obj
93 estrangeiros estrangeiro 92 ADJ amod
94 e e 95 CCONJ cc
95 interferir interferir 209 VERB conj
96 em em 98 ADP case
97 os o 98 DET det
98 procedimentos procedimento 95 NOUN nmod
99 de de 100 ADP case
100 financiamento financiamento 98 NOUN nmod
101 de de 103 ADP case
102 o o 103 DET det
103 bndes bndes 343 NOUN nmod
104 tudo tudo 280 PRON appos
105 em em 106 ADP case
106 prol prol 194 NOUN nmod
107 de de 109 ADP case
108 a o 109 DET det
109 odebrecht odebrecht 106 NOUN nmod
110 as o 111 DET det
111 obras obra 223 NOUN nsubj
112 de de 114 ADP case
113 o o 114 DET det
114 porto porto 111 NOUN nmod
115 mariel mariel 114 ADJ amod
116 em em 117 ADP case
117 cuba cuba 114 NOUN nmod
118 aparecem aparecer 64 VERB ccomp
119 entre entre 121 ADP case
120 as o 121 DET det
121 investigacoes investigacoe 118 NOUN nmod
122 o o 123 DET det
123 jota jota 237 NOUN nsubj
124 informou informar 5 VERB parataxis
125 que que 383 CCONJ mark
126 os o 127 DET det
127 investigadores investigador 383 NOUN nsubj
128 apontam apontar 314 VERB ccomp
129 que que 131 CCONJ mark
130 lula lula 131 NOUN nsubj
131 atuava atuar 128 VERB ccomp
132 como como 134 ADP case
133 verdadeiro verdadeiro 134 ADJ amod
134 lobista lobista 131 NOUN nmod
135 de de 137 ADP case
136 a o 137 DET det
137 construtora construtor 134 NOUN nmod
138 odebrecht odebrecht 137 PROPN appos
139 em em 141 ADP case
140 os o 141 DET det
141 paises paise 131 NOUN nmod
142 visitados visitar 141 VERB acl
143 defendendo defender 131 VERB acl
144 os o 145 DET det
145 interesses interesse 143 NOUN obj
146 de de 148 ADP case
147 a o 148 DET det
148 empresa empresa 145 NOUN nmod
149 e e 150 CCONJ cc
150 promovendoa promovendoar 177 VERB conj
151 junto junto 150 ADV advmod
152 a a 154 ADP case
153 os o 154 DET det
154 governos governo 151 NOUN nmod
155 estrangeiros estrangeiro 154 ADJ amod
156 e e 159 CCONJ cc
157 a a 159 ADP case
158 o o 159 DET det
159 bndes bndes 154 NOUN conj
160 ha ha 64 VERB conj
161 indicios indicio 160 NOUN obj
162 de de 177 ADP mark
163 que que 177 CCONJ mark
164 a a 166 ADP case
165 o o 166 DET det
166 longo longo 177 NOUN nmod
167 de de 169 ADP case
168 os o 169 DET det
169 anos ano 166 NOUN nmod
170 de de 171 ADP case
171 2011 2011 169 NUM nmod
172 e e 173 CCONJ cc
173 2014 2014 171 NUM conj
174 o o 175 DET det
175 expresidente expresidente 177 NOUN nsubj
176 teria ter 177 AUX aux
177 recebido receber 161 VERB nmod
178 vantagens vantagem 177 NOUN obj
179 economicas economico 178 ADJ amod
180 indevidas indevido 178 ADJ amod
181 direta direto 178 ADJ amod
182 e e 376 CCONJ cc
183 indiretamente indiretamente 181 ADV conj
184 de de 186 ADP case
185 o o 186 DET det
186 conglomerado conglomerado 81 NOUN nmod
187 odebrecht odebrecht 186 PROPN appos
