1 urgente urgente 2 ADJ amod
2 juiz juiz 5 NOUN nsubj
3 sergio sergio 2 ADJ amod
4 moro moro 2 NOUN flat
5 envia enviar 0 VERB root
6 depoimento depoimento 5 NOUN obj
7 de de 8 ADP case
8 delator delator 6 NOUN nmod
9 para para 10 ADP case
10 acao acao 5 NOUN nmod
11 que que 12 PRON nsubj
12 pede pedir 10 VERB acl:relcl
13 cassacao cassacao 12 NOUN obj
14 de de 15 ADP case
15 dilma dilma 13 NOUN nmod
16 em em 18 ADP case
17 o o 18 DET det
18 tse tse 12 NOUN nmod
19 brasilia brasilia 18 NOUN appos
20 df df 18 X nmod
21 a o 22 DET det
22 acao acao 5 NOUN nsubj
23 de de 24 ADP case
24 investigacao investigacao 22 NOUN nmod
25 judicial judicial 24 ADJ amod
26 eleitoral eleitoral 24 ADJ amod
27 aije aije 24 ADV advmod
28 que que 29 PRON nsubj
29 corre correr 22 VERB acl:relcl
30 em em 32 ADP case
31 o o 32 DET det
32 tribunal tribunal 29 NOUN nmod
33 superior superior 32 ADJ amod
34 eleitoral eleitoral 32 ADJ amod
35 tse tse 32 PRON appos
36 pedindo pedir 22 VERB acl
37 a o 38 DET det
38 cassacao cassacao 36 NOUN obj
39 de de 41 ADP case
40 o o 41 DET det
41 mandato mandato 38 NOUN nmod
42 de de 44 ADP case
43 a o 44 DET det
44 presidente presidente 41 NOUN nmod
45 dilma dilma 44 NOUN appos
46 rousseff rousseff 45 NOUN flat
47 e e 50 CCONJ cc
48 de de 50 ADP case
49 o o 50 DET det
50 vice vice 44 NOUN conj
51 michel michel 50 ADJ amod
52 temer temer 50 NOUN flat
53 acaba acabar 253 AUX aux
54 de de 55 ADP mark
55 receber receber 5 VERB conj
56 depoimentos depoimento 253 NOUN obj
57 prestados prestar 56 VERB acl
58 por por 60 ADP case
59 o o 60 DET det
60 dono dono 57 NOUN nmod
61 de de 63 ADP case
62 a o 63 DET det
63 utc utc 60 NOUN nmod
64 engenharia engenharia 82 NOUN appos
65 ricardo ricardo 246 NOUN appos
66 pessoa pessoa 65 NOUN flat
67 os o 68 DET det
68 documentos documento 253 NOUN nsubj:pass
69 foram foram 253 AUX aux:pass
70 enviados enviar 5 VERB parataxis
71 por por 73 ADP case
72 o o 73 DET det
73 juiz juiz 253 NOUN nmod
