1 se se 5 CCONJ mark
2 o o 3 DET det
3 brasil brasil 5 NOUN nsubj
4 nao nao 5 ADV advmod
5 apoiar apoiar 9 VERB advcl
6 a o 7 DET det
7 lavajato lavajato 5 NOUN obj
8 vagabundos vagabundo 7 ADJ amod
9 tomarao tomar 0 VERB root
10 conta conta 9 NOUN obj
11 de de 12 ADP case
12 tudo tudo 10 PRON nmod
13 assista assistir 10 VERB acl:relcl
14 o o 15 DET det
15 video video 13 NOUN nsubj
16 de de 18 ADP case
17 a o 18 DET det
18 transparencia transparencia 15 NOUN nmod
19 internacional internacional 18 ADJ amod
20 em em 22 ADP case
21 o o 22 DET det
22 brasil brasil 24 NOUN nmod
23 foram foram 24 AUX aux:pass
24 perdidos perder 9 VERB parataxis
25 bilhoes bilhoes 27 NUM nummod
26 de de 27 ADP case
27 dolares dolar 24 NOUN nsubj:pass
28 devido dever 30 VERB case
29 a a 28 ADP fixed
30 corrupcao corrupcao 24 NOUN nmod
31 a o 32 DET det
32 lavajato lavajato 35 NOUN nsubj
33 se se 35 PART expl:pv
34 tornou tornar 35 AUX cop
35 uma uma 24 PRON advcl
36 de de 39 ADP case
37 as o 39 DET det
38 maiores maior 39 ADJ amod
39 investigacoes investigacoe 35 NOUN nmod
40 contra contra 41 ADP case
41 corruptos corrupto 39 NOUN nmod
42 de de 44 ADP case
43 o o 44 DET det
44 mundo mundo 41 NOUN nmod
45 118 118 46 NUM nummod
46 pessoas pessoa 49 NOUN nsubj:pass
47 ja ja 49 ADV advmod
48 foram foram 49 AUX aux:pass
49 condenadas condenar 35 VERB acl:relcl
50 totalizando totalizar 49 VERB acl
51 1256 1256 52 NUM nummod
52 anos ano 50 NOUN obj
53 de de 54 ADP case
54 prisao prisao 52 NOUN nmod
55 essa essa 56 DET det
56 operacao operacao 59 NOUN nsubj
57 nao nao 59 ADV advmod
58 pode pode 59 AUX aux
59 parar parar 49 VERB conj
