1 5 2 NUM nummod
2 tweets 35 NOUN nsubj
3 que 4 PRON nsubj
4 mostram 2 VERB acl:relcl
5 que 15 CCONJ mark
6 a 8 DET det
7 principal 8 ADJ amod
8 defensora 15 NOUN nsubj
9 de 10 ADP case
10 dilma 8 NOUN nmod
11 em 13 ADP case
12 o 13 DET det
13 senado 8 NOUN nmod
14 nao 15 ADV advmod
15 e 4 VERB ccomp
16 tao 17 ADV advmod
17 fiel 15 ADJ xcomp
18 como 20 CCONJ mark
19 voce 20 PRON nsubj
20 pensa 15 VERB advcl
21 apos 23 ADP case
22 o 23 DET det
23 depoimento 20 NOUN nmod
24 de 25 ADP case
25 dilma 23 NOUN nmod
26 em 28 ADP case
27 o 28 DET det
28 senado 23 NOUN nmod
29 a 30 DET det
30 senadora 35 NOUN nsubj
31 katia 30 NOUN appos
32 abreu 31 ADJ flat
33 foi 35 AUX cop
34 a 35 DET det
35 primeira 0 NOUN root
36 a 37 ADP mark
37 discursar 35 VERB nmod
38 katia 37 NOUN obj
39 ficou 35 VERB acl:relcl
40 revoltada 39 ADJ xcomp
41 com 43 ADP case
42 o 43 DET det
43 impeachment 40 NOUN nmod
44 de 46 ADP case
45 a 46 DET det
46 expresidenta 43 NOUN nmod
47 e 48 CCONJ cc
48 defendeu 39 VERB conj
49 dilma 48 NOUN obj
50 com 51 ADP case
51 unhas 48 NOUN nmod
52 e 53 CCONJ cc
53 dentes 51 NOUN conj
54 ha 62 VERB advcl
55 alguns 56 DET det
56 anos 54 NOUN nmod
57 a 59 DET det
58 mesma 59 ADJ amod
59 katia 62 NOUN nsubj
60 abreu 59 ADJ amod
61 nao 62 ADV advmod
62 era 39 VERB conj
63 tao 64 ADV advmod
64 fa 62 ADJ xcomp
65 de 67 ADP case
66 o 67 DET det
67 pt 64 NOUN nmod
68 e 71 CCONJ cc
69 de 71 ADP case
70 seus 71 DET det:poss
71 lideres 67 NOUN conj
72 o 73 DET det
73 site 75 NOUN nsubj
74 implicante 73 ADJ amod
75 foi 62 VERB conj
76 muito 77 ADV advmod
77 feliz 75 ADJ xcomp
78 em 80 ADP case
79 uma 80 DET det
80 materia 77 NOUN nmod
81 e 82 CCONJ cc
82 resolveu 75 VERB conj
83 resgatar 82 VERB xcomp
84 algumas 85 DET det
85 postagens 83 NOUN obj
86 antigas 85 ADJ amod
87 de 89 ADP case
88 a 89 DET det
89 senadora 85 NOUN nmod
90 confira 89 VERB appos
