1 perigo perigo 6 NOUN nsubj
2 dormir dormir 1 VERB acl:relcl
3 mais mais 5 ADV advmod
4 de de 30 ADP case
5 10h 10h 2 NUM obj
6 eleva elevar 0 VERB root
7 risco risco 6 NOUN obj
8 de de 9 ADP case
9 avc avc 7 NOUN nmod
10 o o 11 DET det
11 avc avc 38 NOUN nsubj
12 pode pode 13 AUX aux
13 matar matar 1 VERB acl:relcl
14 alguem alguem 13 PRON obj
15 que que 16 PRON nsubj
16 dorme dormer 14 VERB acl:relcl
17 com com 18 ADP case
18 voce voce 16 PRON nmod
19 compartilhe compartilhar 13 VERB ccomp
20 esta esta 21 DET det
21 mensagem mensagem 19 NOUN obj
22 urgentemente urgentemente 21 ADV advmod
23 com com 25 ADP mark
24 quem quem 25 PRON nsubj
25 tem ter 21 VERB nmod
26 o o 27 DET det
27 habito habito 25 NOUN obj
28 de de 29 ADP mark
29 dormir dormir 27 VERB nmod
30 mais mais 32 ADV advmod
31 de de 30 ADP case
32 10 10 33 NUM nummod
33 horas hora 29 NOUN nmod
34 por por 35 ADP case
35 dia dia 33 NOUN nmod
36 voce voce 38 PRON nsubj
37 pode pode 38 AUX aux
38 salvar salvar 6 VERB parataxis
39 a o 40 DET det
40 vida vida 38 NOUN obj
41 de de 42 ADP case
42 alguem alguem 40 PRON nmod
43 que que 44 PRON nsubj
44 ama amar 42 VERB acl:relcl
45 este este 46 DET det
46 risco risco 44 NOUN obj
47 e e 48 CCONJ cc
48 elevadissimo elevadissimo 46 ADJ conj
49 dormir dormir 38 VERB csubj
50 mais mais 51 DET det
51 horas hora 49 NOUN nmod
52 de de 432 ADP case
53 o o 432 DET det
54 que que 52 CCONJ fixed
55 o o 56 DET det
56 necessario necessario 57 NOUN nsubj
57 traz trazer 38 VERB advcl
58 mais mais 59 DET det
59 riscos risco 57 NOUN obj
60 de de 61 ADP case
61 problemas problema 59 NOUN nmod
62 cardiovasculares cardiovascular 61 ADJ amod
63 de de 66 ADP case
64 o o 66 DET det
65 que que 63 CCONJ fixed
66 dormir dormir 250 VERB advcl
67 pouco pouco 66 ADV advmod
68 o o 69 DET det
69 alerta alerta 66 NOUN nsubj
70 foi foi 71 AUX aux:pass
71 feito feito 448 VERB ccomp
72 por por 73 ADP case
