1 guerra guerra 7 NOUN nsubj
2 declarada declarado 1 ADJ amod
3 a a 5 ADP case
4 os o 5 DET det
5 corruptos corrupto 2 NOUN nmod
6 nao nao 7 ADV advmod
7 importa importar 0 VERB root
8 se se 19 CCONJ mark
9 a o 10 DET det
10 pessoa pessoa 19 NOUN nsubj:pass
11 e e 13 CCONJ cc
12 a o 13 DET det
13 b b 10 NOUN conj
14 c c 13 NOUN appos
15 ou ou 16 CCONJ cc
16 d d 14 X conj
17 todos todos 19 PRON nsubj:pass
18 serao serao 19 AUX aux:pass
19 investigados investigar 7 VERB ccomp
20 alexandre alexandre 19 NOUN nsubj:pass
21 de de 22 ADP case
22 moraes morae 20 NOUN nmod
23 novo novo 24 ADJ amod
24 ministro ministro 19 NOUN nsubj:pass
25 de de 27 ADP case
26 a o 27 DET det
27 justica justica 24 NOUN nmod
28 disse dizer 7 VERB ccomp
29 que que 30 CCONJ mark
30 dara darar 28 VERB ccomp
31 apoio apoio 30 NOUN obj
32 total total 31 ADJ amod
33 para para 34 ADP mark
34 combater combater 30 VERB advcl
35 a o 36 DET det
36 corrupcao corrupcao 34 NOUN obj
37 vou ir 38 AUX aux
38 dar dar 28 VERB ccomp
39 total total 40 ADJ amod
40 respaldo respaldo 38 NOUN obj
41 e e 43 CCONJ cc
42 maiores maior 43 ADJ amod
43 condicoes condicoes 40 NOUN conj
44 para para 45 ADP mark
45 combater combater 43 VERB nmod
46 a o 47 DET det
47 corrupcao corrupcao 45 NOUN obj
48 disse dizer 52 VERB parataxis
49 alexandre alexandre 48 NOUN nsubj
50 todos todos 52 PRON nsubj:pass
51 serao ser 52 AUX aux:pass
52 investigados investigar 7 VERB ccomp
53 independentemente independentemente 52 ADV advmod
54 de de 57 ADP mark
55 quem quem 57 PRON nsubj
56 seja ser 57 AUX aux
57 dizendo dizer 53 VERB nmod
58 que que 67 CCONJ mark
59 a o 60 DET det
60 investigacao investigacao 67 NOUN nsubj
61 de de 63 ADP case
62 o o 63 DET det
63 escandalo escandalo 60 NOUN nmod
64 de de 66 ADP case
65 o o 66 DET det
66 petrolao petrolao 63 NOUN nmod
67 chegou chegar 57 VERB ccomp
68 a a 70 ADP case
69 o o 70 DET det
70 topo topo 67 NOUN nmod
71 de de 73 ADP case
72 a o 73 DET det
73 organizacao organizacao 70 NOUN nmod
74 criminosa criminoso 73 ADJ amod
75 onde onde 76 ADV advmod
76 esta esta 73 VERB acl:relcl
77 a o 78 DET det
78 elite elite 76 NOUN nsubj
79 politica politico 78 ADJ amod
80 de de 82 ADP case
81 o o 82 DET det
82 pais pais 78 NOUN nmod
83 incluindo incluir 78 VERB acl
84 ministros ministro 83 NOUN obj
85 e e 86 CCONJ cc
86 colegas colega 84 NOUN conj
87 de de 88 ADP case
88 governo governo 86 NOUN nmod
89 o o 90 DET det
90 ministro ministro 261 NOUN nsubj
91 se se 92 PRON expl:pv
92 diz dizer 200 VERB ccomp
93 favoravel favoravel 92 ADJ xcomp
94 a a 95 ADP case
95 delacao delacao 93 NOUN nmod
96 premiada premiado 95 ADJ amod
97 e e 99 CCONJ cc
98 a o 99 DET det
99 participacao participacao 174 NOUN conj
100 de de 102 ADP case
101 a o 102 DET det
102 policia policia 99 NOUN nmod
103 federal federal 102 ADJ amod
104 em em 106 ADP case
105 a o 106 DET det
106 elaboracao elaboracao 99 NOUN nmod
107 desses desses 108 ADP case
108 acordos acordo 106 NOUN nmod
109 alexandre alexandre 108 ADJ appos
110 cita citar 57 VERB ccomp
111 um um 112 DET det
112 discurso discurso 110 NOUN obj
113 de de 115 ADP case
114 o o 115 DET det
115 senador senador 112 NOUN nmod
116 cicero cicero 115 ADJ amod
117 de de 118 ADP case
118 roma roma 115 NOUN nmod
119 o o 120 DET det
120 agente agente 222 NOUN nsubj:pass
121 publico publico 120 ADJ amod
122 corrupto corrupto 120 ADJ amod
123 deveria dever 125 AUX aux
124 ser ser 125 AUX aux:pass
125 punido punir 7 VERB ccomp
126 duas duas 127 NUM nummod
127 vezes vez 125 NOUN nmod
128 por por 130 ADP case
129 a o 130 DET det
130 corrupcao corrupcao 125 NOUN nmod
131 e e 222 CCONJ cc
132 por por 134 ADP case
133 o o 134 DET det
134 exemplo exemplo 52 NOUN nmod
135 que que 230 CCONJ mark
136 de de 140 ADP case
137 a o 140 DET det
138 para para 140 ADP case
139 novas novo 140 ADJ amod
140 geracoes geracoe 141 NOUN nmod
141 ha ha 57 VERB ccomp
142 ainda ainda 141 ADV advmod
143 um um 145 DET det
144 terceiro terceiro 145 ADJ amod
145 fator fator 141 NOUN obj
146 ele ele 148 PRON nsubj
147 esta esta 148 AUX aux
148 tirando tirar 57 VERB ccomp
149 o o 150 DET det
150 dinheiro dinheiro 148 NOUN obj
151 que que 148 PRON nsubj
152 e e 238 CCONJ cc
153 para para 155 ADP case
