1 enfim enfim 12 ADV advmod
2 uma um 4 DET det
3 boa bom 4 ADJ amod
4 noticia noticia 12 NOUN nsubj
5 denuncia denuncia 4 NOUN appos
6 protocolada protocolar 4 VERB acl
7 em em 9 ADP case
8 a o 9 DET det
9 procuradoria procuradoria 6 NOUN nmod
10 geral geral 9 ADJ amod
11 pode pode 12 AUX aux
12 colocar colocar 0 VERB root
13 um um 14 DET det
14 ponto ponto 12 NOUN obj
15 final final 14 ADJ amod
16 em em 18 ADP case
17 o o 18 DET det
18 pt pt 12 NOUN nmod
19 o o 20 DET det
20 psdb psdb 21 PROPN nsubj
21 ingressou ingressar 12 VERB parataxis
22 hoje hoje 21 ADV advmod
23 20 20 22 NUM nmod
24 com com 26 ADP case
25 um um 26 DET det
26 pedido pedido 21 NOUN nmod
27 de de 28 ADP case
28 investigacao investigacao 26 NOUN nmod
29 em em 31 ADP case
30 a o 31 DET det
31 procuradoriageral procuradoriageral 26 NOUN nmod
32 eleitoral eleitoral 31 ADJ amod
33 contra contra 35 ADP case
34 o o 35 DET det
35 partido partido 31 NOUN nmod
36 de de 38 ADP case
37 os o 38 DET det
38 trabalhadores trabalhador 35 NOUN nmod
39 patricia patricia 31 NOUN appos
40 carvalho carvalho 39 ADJ flat
41 para para 43 ADP case
42 o o 43 DET det
43 diario diario 21 NOUN nmod
44 de de 46 ADP case
45 o o 46 DET det
46 brasil brasil 43 NOUN nmod
47 / / 49 PUNCT punct
48 com com 49 ADP case
49 informacoes informacoe 21 NOUN nmod
50 de de 51 ADP case
51 marcela marcela 49 NOUN nmod
52 mattos matto 51 NOUN flat
53 de de 55 ADP case
54 a o 55 DET det
55 revista revista 49 NOUN nmod
56 veja ver 55 VERB appos
57 a o 58 DET det
58 denuncia denuncia 21 NOUN obj
59 e e 61 CCONJ cc
60 por por 61 ADP case
61 suspeita suspeita 21 NOUN conj
62 de de 63 ADP case
63 uso uso 61 NOUN nmod
64 de de 65 ADP case
65 recursos recurso 63 NOUN nmod
66 provenientes proveniente 65 ADJ amod
67 de de 69 ADP case
68 o o 69 DET det
69 exterior exterior 66 NOUN nmod
70 em em 71 ADP case
71 campanha campanha 63 NOUN nmod
72 o o 73 PRON det
73 que que 201 PRON nsubj
74 e e 75 CCONJ aux:pass
75 proibido proibir 72 VERB acl:relcl
76 por por 78 ADP case
77 a o 78 DET det
78 constituicao constituicao 75 NOUN nmod
79 federal federal 78 ADJ amod
80 e e 83 CCONJ cc
81 por por 83 ADP case
82 a o 83 DET det
83 lei lei 78 NOUN conj
84 de de 86 ADP case
85 os o 86 DET det
86 partidos partido 83 NOUN nmod
87 politicos politico 86 ADJ amod
88 sob sob 89 ADP case
89 pena pena 75 NOUN nmod
90 de de 91 ADP case
91 cancelamento cancelamento 89 NOUN nmod
92 de de 94 ADP case
93 o o 94 DET det
94 registro registro 91 NOUN nmod
95 e e 98 CCONJ cc
96 de de 98 ADP case
97 o o 98 DET det
98 estatuto estatuto 94 NOUN conj
99 partidarios partidario 98 ADJ amod
100 as o 101 DET det
101 declaracoes declaracoe 198 NOUN nsubj
102 feitas feitas 101 VERB acl
103 por por 104 ADP case
104 nestor nestor 102 NOUN nmod
105 cervero cervero 104 NOUN flat
106 sustentam sustentar 115 VERB ccomp
107 o o 108 DET det
108 pedido pedido 106 NOUN obj
109 a a 111 ADP mark
110 ser ser 111 AUX aux:pass
111 feito feito 108 VERB acl:inf
112 a o 113 DET det
113 procuradoria procuradoria 210 NOUN nsubj
114 cervero cervero 113 NOUN appos
115 afirmou afirmar 12 VERB parataxis
116 que que 119 CCONJ mark
117 o o 118 DET det
118 pt pt 119 PROPN nsubj
119 recorreu recorrer 115 VERB ccomp
120 a a 121 ADP case
121 contratos contrato 119 NOUN nmod
122 de de 124 ADP case
123 a o 124 DET det
124 diretoria diretoria 121 NOUN nmod
125 internacional internacional 124 ADJ amod
126 para para 127 ADP mark
127 pagar pagar 119 VERB advcl
128 divida divida 127 NOUN obj
129 de de 131 ADP case
130 a o 131 DET det
131 campanha campanha 128 NOUN nmod
132 a a 133 ADP case
133 reeleicao reeleicao 127 NOUN nmod
134 de de 135 ADP case
135 lula lula 133 NOUN nmod
136 em em 137 ADP case
137 2006 2006 127 NUM nmod
138 o o 139 DET det
139 exdiretor exdiretor 180 NOUN nsubj
140 de de 142 ADP case
141 a o 142 DET det
142 area area 139 NOUN nmod
143 internacional internacional 142 ADJ amod
144 de de 146 ADP case
145 a o 146 DET det
146 petrobras petrobra 142 NOUN nmod
147 tambem tambem 148 ADV advmod
148 relatou relatar 12 VERB parataxis
149 que que 152 CCONJ mark
150 o o 151 DET det
151 pt pt 152 PROPN nsubj
152 terminou terminar 148 VERB ccomp
153 2006 2006 152 NUM nmod
154 com com 156 ADP case
155 uma um 156 DET det
156 divida divida 152 NOUN nmod
157 de de 158 ADP case
158 campanha campanha 156 NOUN nmod
159 de de 163 ADP case
160 60 60 161 NUM nummod
161 milhoes milhoes 163 NUM nummod
162 de de 163 ADP case
163 reais real 156 NOUN nmod
164 com com 166 ADP case
165 o o 166 DET det
166 banco banco 156 NOUN nmod
167 schahin schahin 166 NOUN flat
168 sem sem 169 ADP case
169 condicoes condicoes 49 NOUN nmod
170 de de 171 ADP mark
171 quitar quitar 169 VERB nmod
172 o o 173 DET det
173 debito debito 171 NOUN obj
174 por por 176 ADP case
175 as o 176 DET det
176 vias via 171 NOUN nmod
177 tradicionais tradicional 176 ADJ amod
178 o o 179 DET det
179 partido partido 180 NOUN nsubj
180 usou usar 148 VERB ccomp
181 os o 182 DET det
182 contratos contrato 180 NOUN obj
183 de de 185 ADP case
184 a o 185 DET det
185 diretoria diretoria 182 NOUN nmod
186 internacional internacional 185 ADJ amod
187 para para 188 ADP mark
188 pagar pagar 63 VERB nmod
189 a o 190 DET det
190 divida divida 188 NOUN obj
191 de de 193 ADP case
192 a o 193 DET det
193 campanha campanha 190 NOUN nmod
194 o o 195 DET det
195 jornal jornal 180 NOUN nsubj
196 valor valor 195 NOUN appos
197 economico economico 196 ADJ amod
198 informou informar 12 VERB parataxis
199 que que 201 CCONJ mark
200 cervero cervero 201 NOUN nsubj
201 disse dizer 198 VERB ccomp
202 em em 203 ADP case
203 depoimento depoimento 201 NOUN nmod
204 de de 205 ADP case
205 delacao delacao 203 NOUN nmod
206 que que 210 CCONJ mark
207 a o 208 DET det
208 campanha campanha 210 NOUN nsubj
209 petista petista 208 ADJ amod
